number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
15	0.040825059910989385	2020-03-26 23:46:47.769300	2020-03-27 01:06:42.122355	0.6977740157552353	21.014215601102276	64	1	49	0.016577923009415976	128	0.35447952489329443	0.005135227661759671	0.040825059910989385	0.01323747575031382	0.02156795617939062	2502.459260527217	0.019574054763826926	0.005135227661759671	0.040825059910989385	0.01323747575031382	0.02156795617939062	2502.458575830195	0.019574105892033188	601139893	500	0.005135227661759671	0.040825059910989385	0.01323747575031382	0.02156795617939062	2502.4599452242383	0.019574005694872294	15	COMPLETE
16	0.02758758416067557	2020-03-27 01:06:42.210274	2020-03-27 01:32:55.661987	0.5127337060882271	25.29696828835816	256	1	48	0.006341344539468086	256	0.4640381480902214	0.005135227661759671	0.02758758416067557	0.009642816387082049	0.01494921830423371	3287.154969759215	0.014724386061614797	0.005135227661759671	0.02758758416067557	0.009642816387082049	0.01494921830423371	3287.153714481342	0.014724704525690625	2299744616	300	0.005135227661759671	0.02758758416067557	0.009642816387082049	0.01494921830423371	3287.1562250370876	0.014724084719595066	16	COMPLETE
17	0.0796816158849709	2020-03-27 01:32:55.743544	2020-03-27 03:01:39.657067	0.86078394998196	4.307429584712467	64	1	73	0.03459369230128325	128	0.20401371348686856	0.005135227661759671	0.0796816158849709	0.025590551181102362	0.04379208033778387	1426.7348938719617	0.03237703735736697	0.005135227661759671	0.0796816158849709	0.025590551181102362	0.04379208033778387	1426.734508729887	0.03237704059819465	2452960516	550	0.005135227661759671	0.0796816158849709	0.025590551181102362	0.04379208033778387	1426.7352790140362	0.03237703414671963	17	COMPLETE
18	0.0172030126668949	2020-03-27 03:01:39.768714	2020-03-27 03:11:41.919519	0.25439348628987773	13.986340654905568	256	1	18	0.004890571313953377	512	0.4815372396532728	0.005135227661759671	0.0172030126668949	0.007274905854159535	0.009671345429647382	3412.1831992468333	0.012696895637019708	0.005135227661759671	0.0172030126668949	0.007274905854159535	0.009671345429647382	3412.1821864658223	0.01269692479009216	1759369564	200	0.005135227661759671	0.0172030126668949	0.007274905854159535	0.009671345429647382	3412.1842120278443	0.012696867486529623	18	COMPLETE
19	0.012410133515919205	2020-03-27 03:11:41.986666	2020-03-27 03:21:20.699138	0.4892785710849209	11.217179844123411	64	1	81	0.004118606024880981	512	0.630520840604285	0.005135227661759671	0.012410133515919205	0.006419034577199589	0.00775989957777017	4480.8844573776105	0.01015496113460933	0.005135227661759671	0.012410133515919205	0.006419034577199589	0.00775989957777017	4480.883059454524	0.01015497607564725	2361420306	200	0.005135227661759671	0.012410133515919205	0.006419034577199589	0.00775989957777017	4480.885855300696	0.010154946650610048	19	COMPLETE
20	0.009813990642474039	2020-03-27 03:21:20.801429	2020-03-27 03:28:13.461777	0.8967144926857006	16.20272413103038	128	2	57	0.06549308456374109	512	0.597543624560106	0.005135227661759671	0.009813990642474039	0.005905511811023622	0.0069896154285062195	4245.062193312792	0.007761667931494044	0.005135227661759671	0.009813990642474039	0.005905511811023622	0.0069896154285062195	4245.058741298642	0.007761669329237356	966912363	150	0.005135227661759671	0.009813990642474039	0.005905511811023622	0.0069896154285062195	4245.065645326943	0.00776166653817781	20	COMPLETE
21	0.04293620906082392	2020-03-27 03:28:13.545686	2020-03-27 03:49:46.993668	0.5545299383432309	26.18043854617057	64	1	70	0.06195372436586153	512	0.24795200321621402	0.005135227661759671	0.04293620906082392	0.01591920575145498	0.025219673627753052	1747.3579253680246	0.020753342248850216	0.005135227661759671	0.04293620906082392	0.01591920575145498	0.025219673627753052	1747.3570694967477	0.02075334666620988	3942381666	400	0.005135227661759671	0.04293620906082392	0.01591920575145498	0.025219673627753052	1747.3587812393016	0.020753337868155614	21	COMPLETE
22	0.07779869907565902	2020-03-27 03:49:47.093410	2020-03-27 04:23:39.831534	0.9811652376478562	2.4177702394824103	64	1	21	0.057466768424191475	256	0.20208734850645077	0.005135227661759671	0.07779869907565902	0.0255334930959717	0.04336414469930389	1412.2431530297843	0.031160390274719663	0.005135227661759671	0.07779869907565902	0.0255334930959717	0.04336414469930389	1412.2428106812736	0.031160451850100943	2002111305	400	0.005135227661759671	0.07779869907565902	0.0255334930959717	0.04336414469930389	1412.2434953782952	0.031160332534324483	22	COMPLETE
23	0.011554262238959261	2020-03-27 04:23:40.062376	2020-03-27 04:50:41.862408	0.34386886206221856	7.4701722594585185	64	1	90	0.009857491883625042	128	0.5117745255548025	0.005135227661759671	0.011554262238959261	0.006419034577199589	0.007617254364943512	3629.628180988246	0.00959744591679911	0.005135227661759671	0.011554262238959261	0.006419034577199589	0.007617254364943512	3629.627153942714	0.00959745000543897	725896757	200	0.005135227661759671	0.011554262238959261	0.006419034577199589	0.007617254364943512	3629.6292080337785	0.009597441867897124	23	COMPLETE
24	0.054775761725436495	2020-03-27 04:50:41.935765	2020-03-27 05:15:11.121970	0.7917577596570624	14.351342861258066	64	1	58	0.09925771911939572	256	0.19267308014928647	0.005163756704325003	0.054775761725436495	0.01854387766746548	0.02858610065046217	1352.7374186922286	0.025400646713200484	0.005163756704325003	0.054775761725436495	0.01854387766746548	0.02858610065046217	1352.7367625242498	0.02540064805569882	3265126912	300	0.005163756704325003	0.054775761725436495	0.01854387766746548	0.02858610065046217	1352.7380748602077	0.025400645379712636	24	COMPLETE
