number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
35	0.18632958801498128	2020-04-11 03:26:23.214908	2020-04-11 03:29:36.092974	64	2	61	256	0.7975411866721784	0.020131086142322098	0.18632958801498128	0.06601123595505617	0.09878277153558053	38.41783707865169	0.08343876356423442	0.020131086142322098	0.18632958801498128	0.06601123595505617	0.09878277153558053	38.41760299625468	0.08343879902320542	240622608		0.020131086142322098	0.18632958801498128	0.06601123595505617	0.09878277153558053	38.41807116104869	0.08343872853768992	35	COMPLETE
36	0.6399812734082397	2020-04-11 03:29:36.120444	2020-04-11 03:30:16.277298	128	1	14	256	0.2694223236723381	0.15777153558052434	0.6399812734082397	0.3895131086142322	0.4934456928838951	13.090355805243446	0.3203021436230776	0.15777153558052434	0.6399812734082397	0.3895131086142322	0.4934456928838951	13.090355805243446	0.3203021436230776	2706586506	250.0	0.15777153558052434	0.6399812734082397	0.3895131086142322	0.4934456928838951	13.090355805243446	0.3203021436230776	36	COMPLETE
37	0.0749063670411985	2020-04-11 03:30:16.303958	2020-04-11 03:30:30.686003	128	2	79	512	1.066575098260435	0.0009363295880149813	0.0749063670411985	0.01638576779026217	0.0299625468164794	51.46301498127341	0.039012801765490254	0.0009363295880149813	0.0749063670411985	0.01638576779026217	0.0299625468164794	51.46301498127341	0.039012801765490254	147224168	150.0	0.0009363295880149813	0.0749063670411985	0.01638576779026217	0.0299625468164794	51.46301498127341	0.039012801765490254	37	COMPLETE
38	0.6296816479400749	2020-04-11 03:30:30.712813	2020-04-11 03:32:30.514876	64	1	20	128	0.29765584997044464	0.14653558052434457	0.6296816479400749	0.375	0.49063670411985016	14.484550561797754	0.3071016129176297	0.14653558052434457	0.6296816479400749	0.375	0.49063670411985016	14.484550561797754	0.3071016129176297	485666086	350.0	0.14653558052434457	0.6296816479400749	0.375	0.49063670411985016	14.484550561797754	0.3071016129176297	38	COMPLETE
39	0.08333333333333333	2020-04-11 03:32:30.543003	2020-04-11 03:32:46.670510	256	2	86	512	1.0727735826839808	0.0	0.08333333333333333	0.019662921348314606	0.03838951310861423	51.77949438202247	0.03989510183143612	0.0	0.08333333333333333	0.019662921348314606	0.03838951310861423	51.77949438202247	0.03989510183143612	2171416040	150.0	0.0	0.08333333333333333	0.019662921348314606	0.03838951310861423	51.77949438202247	0.03989510183143612	39	COMPLETE
40	0.6858614232209738	2020-04-11 03:32:46.697103	2020-04-11 03:34:55.469306	256	1	42	128	0.22977153657000748	0.16338951310861424	0.6858614232209738	0.41619850187265917	0.5351123595505618	11.156367041198502	0.3366094442848413	0.16338951310861424	0.6858614232209738	0.41619850187265917	0.5351123595505618	11.156367041198502	0.3366094442848413	2993636959	400.0	0.16338951310861424	0.6858614232209738	0.41619850187265917	0.5351123595505618	11.156367041198502	0.3366094442848413	40	COMPLETE
41	0.7083333333333334	2020-04-11 03:34:55.507185	2020-04-11 03:36:29.909350	256	1	47	512	0.21915437829024978	0.14934456928838952	0.7083333333333334	0.4190074906367041	0.5500936329588015	10.64185393258427	0.3302377730015577	0.14934456928838952	0.7083333333333334	0.4190074906367041	0.5500936329588015	10.64185393258427	0.3302377730015577	1580422163	750.0	0.14934456928838952	0.7083333333333334	0.4190074906367041	0.5500936329588015	10.64185393258427	0.3302377730015577	41	COMPLETE
42	0.17696629213483145	2020-04-11 03:36:29.935768	2020-04-11 03:39:54.896080	64	2	63	256	0.7943904688241734	0.018726591760299626	0.17696629213483145	0.05196629213483146	0.08801498127340825	38.23923220973783	0.0778273869330559	0.018726591760299626	0.17696629213483145	0.05196629213483146	0.08801498127340825	38.23923220973783	0.0778273869330559	3910890709		0.018726591760299626	0.17696629213483145	0.05196629213483146	0.08801498127340825	38.23923220973783	0.0778273869330559	42	COMPLETE
43	0.6320224719101124	2020-04-11 03:39:54.922205	2020-04-11 03:42:27.190886	64	1	88	256	0.30359509172116855	0.10440074906367042	0.6320224719101124	0.33707865168539325	0.4700374531835206	14.71629213483146	0.2730625470290545	0.10440074906367042	0.6320224719101124	0.33707865168539325	0.4700374531835206	14.71629213483146	0.2730625470290545	3838633784	800.0	0.10440074906367042	0.6320224719101124	0.33707865168539325	0.4700374531835206	14.71629213483146	0.2730625470290545	43	COMPLETE
44	0.1989700374531835	2020-04-11 03:42:27.217888	2020-04-11 03:46:20.419817	64	2	48	128	0.7849924282549291	0.03277153558052434	0.1989700374531835	0.07865168539325842	0.11844569288389513	37.870318352059925	0.09675950289493178	0.03277153558052434	0.1989700374531835	0.07865168539325842	0.11844569288389513	37.870318352059925	0.09675950289493178	3303276939	700.0	0.03277153558052434	0.1989700374531835	0.07865168539325842	0.11844569288389513	37.870318352059925	0.09675950289493178	44	COMPLETE
