number	value	datetime_start	datetime_complete	params_loss.margin	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
10	0.9386704119850188	2021-04-01 01:48:36.496856	2021-04-01 01:54:00.110599	8.39263721683103	256	65	0.0016370685008077028	256	0.08793885916844708	0.32771535580524347	0.9386704119850188	0.6835205992509363	0.8380149812734082	4.258426966292135	0.5357742941330476	0.32771535580524347	0.9386704119850188	0.6835205992509363	0.8380149812734082	4.258426966292135	0.5357742941330476	4028514790	151	0.32771535580524347	0.9386704119850188	0.6835205992509363	0.8380149812734082	4.258426966292135	0.5357742941330476	10	COMPLETE
11	0.9386704119850188	2021-04-01 01:54:00.119692	2021-04-01 01:56:40.464042	5.918665702351051	128	30	0.0013275857138375208	256	0.08422527573165599	0.3637640449438202	0.9386704119850188	0.6961610486891385	0.8333333333333334	4.0889513108614235	0.5592255998098369	0.3637640449438202	0.9386704119850188	0.6961610486891385	0.8333333333333334	4.0889513108614235	0.5592255998098369	1276668968	151	0.3637640449438202	0.9386704119850188	0.6961610486891385	0.8333333333333334	4.0889513108614235	0.5592255998098369	11	COMPLETE
12	0.9147940074906367	2021-04-01 01:56:40.473891	2021-04-01 01:58:45.668585	5.827596141401722	128	21	0.0028675969799567156	256	0.10736073280792781	0.2818352059925094	0.9147940074906367	0.602996254681648	0.7537453183520599	5.206928838951311	0.48360383969281895	0.2818352059925094	0.9147940074906367	0.602996254681648	0.7537453183520599	5.206928838951311	0.48360383969281895	3505921681	151	0.2818352059925094	0.9147940074906367	0.602996254681648	0.7537453183520599	5.206928838951311	0.48360383969281895	12	COMPLETE
13	0.8857677902621723	2021-04-01 01:58:45.686302	2021-04-01 02:00:50.568254	6.724776105185264	64	34	0.006906418191887403	256	0.11437386122779844	0.27668539325842695	0.8857677902621723	0.5828651685393258	0.7322097378277154	5.559925093632959	0.4695592718827052	0.27668539325842695	0.8857677902621723	0.5828651685393258	0.7322097378277154	5.559925093632959	0.4695592718827052	640856671	151	0.27668539325842695	0.8857677902621723	0.5828651685393258	0.7322097378277154	5.559925093632959	0.4695592718827052	13	COMPLETE
14	0.8740636704119851	2021-04-01 02:00:50.577412	2021-04-01 02:03:27.871057	4.363059476607796	256	6	0.003587248299780122	256	0.11323392984792172	0.28277153558052437	0.8740636704119851	0.5692883895131086	0.7144194756554307	5.4882958801498125	0.468849667839689	0.28277153558052437	0.8740636704119851	0.5692883895131086	0.7144194756554307	5.4882958801498125	0.468849667839689	3260127849	201	0.28277153558052437	0.8740636704119851	0.5692883895131086	0.7144194756554307	5.4882958801498125	0.468849667839689	14	COMPLETE
15	0.9419475655430711	2021-04-01 02:03:27.880256	2021-04-01 02:10:43.755744	4.527840730110009	256	96	0.012312033763272922	128	0.08646164361164253	0.3487827715355805	0.9419475655430711	0.6783707865168539	0.8305243445692884	4.185393258426966	0.5477516944990857	0.3487827715355805	0.9419475655430711	0.6783707865168539	0.8305243445692884	4.185393258426966	0.5477516944990857	3181397514	151	0.3487827715355805	0.9419475655430711	0.6783707865168539	0.8305243445692884	4.185393258426966	0.5477516944990857	15	COMPLETE
16	0.9307116104868914	2021-04-01 02:10:43.766746	2021-04-01 02:19:04.400222	4.325369882897933	128	85	0.016140698878331878	256	0.09156124155152212	0.31226591760299627	0.9307116104868914	0.6367041198501873	0.7902621722846442	4.428838951310861	0.5104099516927083	0.31226591760299627	0.9307116104868914	0.6367041198501873	0.7902621722846442	4.428838951310861	0.5104099516927083	1746503976	351	0.31226591760299627	0.9307116104868914	0.6367041198501873	0.7902621722846442	4.428838951310861	0.5104099516927083	16	COMPLETE
17	0.9447565543071161	2021-04-01 02:19:04.409246	2021-04-01 02:33:45.213083	6.165977315264019	128	62	0.07522840505102207	128	0.0787957315943605	0.4143258426966292	0.9447565543071161	0.7275280898876404	0.8553370786516854	3.7982209737827715	0.5965905963556362	0.4143258426966292	0.9447565543071161	0.7275280898876404	0.8553370786516854	3.7982209737827715	0.5965905963556362	2470563946	351	0.4143258426966292	0.9447565543071161	0.7275280898876404	0.8553370786516854	3.7982209737827715	0.5965905963556362	17	COMPLETE
18	0.9213483146067416	2021-04-01 02:33:45.228975	2021-04-01 02:42:39.678858	7.842691473669758	256	19	0.01063658749162677	128	0.09258002786346003	0.324438202247191	0.9213483146067416	0.6352996254681648	0.7982209737827716	4.477528089887641	0.519551242531989	0.324438202247191	0.9213483146067416	0.6352996254681648	0.7982209737827716	4.477528089887641	0.519551242531989	3009610379	251	0.324438202247191	0.9213483146067416	0.6352996254681648	0.7982209737827716	4.477528089887641	0.519551242531989	18	COMPLETE
19	0.924625468164794	2021-04-01 02:42:39.690244	2021-04-01 02:47:42.793271	9.844737675382262	128	73	0.005218660693470551	128	0.10057963945812193	0.27762172284644193	0.924625468164794	0.5917602996254682	0.7677902621722846	4.879213483146067	0.4792574534900481	0.27762172284644193	0.924625468164794	0.5917602996254682	0.7677902621722846	4.879213483146067	0.4792574534900481	253691886	151	0.27762172284644193	0.924625468164794	0.5917602996254682	0.7677902621722846	4.879213483146067	0.4792574534900481	19	COMPLETE
