number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.scoring_fct_norm	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
10	0.09878277153558053	2020-05-13 11:56:50.471199	2020-05-13 11:58:44.070729	256	2	512	0.05835263272476267	0.988004865523337	0.011235955056179775	0.09878277153558053	0.027153558052434457	0.04681647940074907	47.602059925093634	0.052501526597855695	0.011235955056179775	0.09878277153558053	0.027153558052434457	0.04681647940074907	47.602059925093634	0.052501526597855695	4057522235	150.0	0.011235955056179775	0.09878277153558053	0.027153558052434457	0.04681647940074907	47.602059925093634	0.052501526597855695	10	COMPLETE
11	0.2247191011235955	2020-05-13 11:58:44.086108	2020-05-13 12:04:47.446743	128	2	256	0.0013431154228996651	0.6899848286566509	0.037921348314606744	0.2247191011235955	0.09222846441947566	0.1301498127340824	33.176029962546814	0.10857499806175828	0.037921348314606744	0.2247191011235955	0.09222846441947566	0.1301498127340824	33.176029962546814	0.10857499806175828	1543983625		0.037921348314606744	0.2247191011235955	0.09222846441947566	0.1301498127340824	33.176029962546814	0.10857499806175828	11	COMPLETE
12	0.10627340823970037	2020-05-13 12:04:47.458903	2020-05-13 12:05:25.321635	64	2	512	0.007635901700683797	0.9866920574751338	0.014044943820224719	0.10627340823970037	0.02902621722846442	0.05898876404494382	47.631554307116104	0.056630261462369935	0.014044943820224719	0.10627340823970037	0.02902621722846442	0.05898876404494382	47.631554307116104	0.056630261462369935	2412024863	250.0	0.014044943820224719	0.10627340823970037	0.02902621722846442	0.05898876404494382	47.631554307116104	0.056630261462369935	12	COMPLETE
13	0.10720973782771535	2020-05-13 12:05:25.333864	2020-05-13 12:08:10.436015	256	2	512	0.007114659168624397	0.9713724626939786	0.008426966292134831	0.10720973782771535	0.025749063670411985	0.04447565543071161	46.82537453183521	0.05147602457601945	0.008426966292134831	0.10720973782771535	0.025749063670411985	0.04447565543071161	46.82537453183521	0.05147602457601945	3368677895	200.0	0.008426966292134831	0.10720973782771535	0.025749063670411985	0.04447565543071161	46.82537453183521	0.05147602457601945	13	COMPLETE
14	0.11610486891385768	2020-05-13 12:08:10.448157	2020-05-13 12:08:54.751731	64	2	128	0.05938218124053912	0.9647229972935529	0.011704119850187267	0.11610486891385768	0.039794007490636704	0.06320224719101124	46.50421348314607	0.05866313108981236	0.011704119850187267	0.11610486891385768	0.039794007490636704	0.06320224719101124	46.50421348314607	0.05866313108981236	3470505618	200.0	0.011704119850187267	0.11610486891385768	0.039794007490636704	0.06320224719101124	46.50421348314607	0.05866313108981236	14	COMPLETE
15	0.9536516853932584	2020-05-13 12:08:54.766030	2020-05-13 12:12:31.981429	128	1	256	0.08613109343475997	0.06765030269957521	0.4747191011235955	0.9536516853932584	0.7911985018726592	0.8834269662921348	3.2593632958801497	0.6501962207766305	0.4747191011235955	0.9536516853932584	0.7911985018726592	0.8834269662921348	3.2593632958801497	0.6501962207766305	2071514495	650.0	0.4747191011235955	0.9536516853932584	0.7911985018726592	0.8834269662921348	3.2593632958801497	0.6501962207766305	15	COMPLETE
16	0.09363295880149813	2020-05-13 12:12:31.993618	2020-05-13 12:13:12.594485	128	2	256	0.0034500617684950145	0.9919269947703119	0.00749063670411985	0.09363295880149813	0.023408239700374533	0.04400749063670412	47.72565543071161	0.048995804313696406	0.00749063670411985	0.09363295880149813	0.023408239700374533	0.04400749063670412	47.72565543071161	0.048995804313696406	686461828	150.0	0.00749063670411985	0.09363295880149813	0.023408239700374533	0.04400749063670412	47.72565543071161	0.048995804313696406	16	COMPLETE
17	0.9456928838951311	2020-05-13 12:13:12.606469	2020-05-13 12:16:03.018531	64	1	512	0.07828383247697557	0.07033363462526923	0.47284644194756553	0.9456928838951311	0.7832397003745318	0.87312734082397	3.3918539325842696	0.6469956113608175	0.47284644194756553	0.9456928838951311	0.7832397003745318	0.87312734082397	3.3918539325842696	0.6469956113608175	562973080	1000.0	0.47284644194756553	0.9456928838951311	0.7832397003745318	0.87312734082397	3.3918539325842696	0.6469956113608175	17	COMPLETE
18	0.2612359550561798	2020-05-13 12:16:03.028665	2020-05-13 12:22:02.279882	128	2	256	0.003533595176534182	0.6167034664311645	0.03277153558052434	0.2612359550561798	0.10533707865168539	0.149812734082397	29.549157303370787	0.11545843991969126	0.03277153558052434	0.2612359550561798	0.10533707865168539	0.149812734082397	29.549157303370787	0.11545843991969126	2199758655		0.03277153558052434	0.2612359550561798	0.10533707865168539	0.149812734082397	29.549157303370787	0.11545843991969126	18	COMPLETE
19	0.10486891385767791	2020-05-13 12:22:02.290029	2020-05-13 12:22:32.223434	64	2	512	0.21366916768979025	0.9948288240585099	0.007022471910112359	0.10486891385767791	0.025749063670411985	0.047752808988764044	47.97097378277154	0.05007650909769523	0.007022471910112359	0.10486891385767791	0.025749063670411985	0.047752808988764044	47.97097378277154	0.05007650909769523	2013655641	200.0	0.007022471910112359	0.10486891385767791	0.025749063670411985	0.047752808988764044	47.97097378277154	0.05007650909769523	19	COMPLETE
20	0.9527153558052435	2020-05-13 12:22:32.233662	2020-05-13 12:28:08.123623	128	1	512	0.5595299219008775	0.0682230818875427	0.46863295880149813	0.9527153558052435	0.7902621722846442	0.8834269662921348	3.2926029962546814	0.6474594383156932	0.46863295880149813	0.9527153558052435	0.7902621722846442	0.8834269662921348	3.2926029962546814	0.6474594383156932	2615124954		0.46863295880149813	0.9527153558052435	0.7902621722846442	0.8834269662921348	3.2926029962546814	0.6474594383156932	20	COMPLETE
