number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.relation_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
21	0.07818352059925093	2020-05-20 12:58:32.046812	2020-05-20 12:59:31.066948	64	64	2	70	512	1.0731072230979606	0.0	0.07818352059925093	0.017790262172284643	0.03651685393258427	51.77715355805243	0.03946946195072909	0.0	0.07818352059925093	0.017790262172284643	0.03651685393258427	51.77715355805243	0.03946946195072909	1897665823	150.0	0.0	0.07818352059925093	0.017790262172284643	0.03651685393258427	51.77715355805243	0.03946946195072909	21	COMPLETE
22	0.1540262172284644	2020-05-20 12:59:31.079008	2020-05-20 13:36:19.301199	128	128	2	81	128	0.903513399019056	0.0	0.1540262172284644	0.025280898876404494	0.054775280898876406	43.49110486891386	0.054530799881139194	0.0	0.1540262172284644	0.025280898876404494	0.054775280898876406	43.49110486891386	0.054530799881139194	1356080609		0.0	0.1540262172284644	0.025280898876404494	0.054775280898876406	43.49110486891386	0.054530799881139194	22	COMPLETE
23	0.08848314606741572	2020-05-20 13:36:19.312992	2020-05-20 13:37:45.252263	64	256	1	38	512	1.0468014396399203	0.0	0.08848314606741572	0.013108614232209739	0.032303370786516857	50.49765917602996	0.03901939389249491	0.0	0.08848314606741572	0.013108614232209739	0.032303370786516857	50.49765917602996	0.03901939389249491	3226663632	150.0	0.0	0.08848314606741572	0.013108614232209739	0.032303370786516857	50.49765917602996	0.03901939389249491	23	COMPLETE
24	0.06835205992509363	2020-05-20 13:37:45.264352	2020-05-20 13:41:57.541294	256	128	2	67	512	1.1052091770494978	0.0	0.06835205992509363	0.017322097378277154	0.0299625468164794	53.27949438202247	0.0371795829461787	0.0	0.06835205992509363	0.017322097378277154	0.0299625468164794	53.27949438202247	0.0371795829461787	3484918566	150.0	0.0	0.06835205992509363	0.017322097378277154	0.0299625468164794	53.27949438202247	0.0371795829461787	24	COMPLETE
25	0.07303370786516854	2020-05-20 13:41:57.554922	2020-05-20 13:43:01.292223	64	64	1	84	512	1.0714424939665679	0.0	0.07303370786516854	0.013108614232209739	0.03089887640449438	51.68867041198502	0.037549818825308	0.0	0.07303370786516854	0.013108614232209739	0.03089887640449438	51.68867041198502	0.037549818825308	1331304551	150.0	0.0	0.07303370786516854	0.013108614232209739	0.03089887640449438	51.68867041198502	0.037549818825308	25	COMPLETE
26	0.07303370786516854	2020-05-20 13:43:01.303040	2020-05-20 13:45:31.324885	64	64	2	72	128	1.1128549089041375	0.0	0.07303370786516854	0.01638576779026217	0.02902621722846442	53.73548689138577	0.037312939625863364	0.0	0.07303370786516854	0.01638576779026217	0.02902621722846442	53.73548689138577	0.037312939625863364	1112207899	150.0	0.0	0.07303370786516854	0.01638576779026217	0.02902621722846442	53.73548689138577	0.037312939625863364	26	COMPLETE
27	0.06647940074906367	2020-05-20 13:45:31.338084	2020-05-20 13:48:48.164609	128	256	1	50	256	1.1095647532231268	0.0	0.06647940074906367	0.012640449438202247	0.024812734082397005	53.5252808988764	0.03557414089380959	0.0	0.06647940074906367	0.012640449438202247	0.024812734082397005	53.5252808988764	0.03557414089380959	4028542639	150.0	0.0	0.06647940074906367	0.012640449438202247	0.024812734082397005	53.5252808988764	0.03557414089380959	27	COMPLETE
28	0.2205056179775281	2020-05-20 13:48:48.176693	2020-05-20 13:56:02.639510	64	64	1	30	512	0.546798536801634	0.0	0.2205056179775281	0.04119850187265917	0.09082397003745318	26.302902621722847	0.07756533445799005	0.0	0.2205056179775281	0.04119850187265917	0.09082397003745318	26.302902621722847	0.07756533445799005	3267438416		0.0	0.2205056179775281	0.04119850187265917	0.09082397003745318	26.302902621722847	0.07756533445799005	28	COMPLETE
29	0.06179775280898876	2020-05-20 13:56:02.659343	2020-05-20 13:58:33.148008	64	256	1	64	256	1.1373678927051691	0.0	0.06179775280898876	0.013108614232209739	0.02762172284644195	54.890917602996254	0.03428140965516954	0.0	0.06179775280898876	0.013108614232209739	0.02762172284644195	54.890917602996254	0.03428140965516954	1099181584	150.0	0.0	0.06179775280898876	0.013108614232209739	0.02762172284644195	54.890917602996254	0.03428140965516954	29	COMPLETE
30	0.2055243445692884	2020-05-20 13:58:33.160312	2020-05-20 14:04:23.049299	64	256	1	13	512	0.7202474986576242	0.0	0.2055243445692884	0.06975655430711611	0.1100187265917603	34.5809925093633	0.07819964731287724	0.0	0.2055243445692884	0.06975655430711611	0.1100187265917603	34.5809925093633	0.07819964731287724	2437044953	750.0	0.0	0.2055243445692884	0.06975655430711611	0.1100187265917603	34.5809925093633	0.07819964731287724	30	COMPLETE
31	0.06132958801498127	2020-05-20 14:04:23.065069	2020-05-20 14:05:56.828262	128	64	2	93	512	1.1267408105694734	0.0	0.06132958801498127	0.016853932584269662	0.02762172284644195	54.353932584269664	0.035290365164938074	0.0	0.06132958801498127	0.016853932584269662	0.02762172284644195	54.353932584269664	0.035290365164938074	1580958119	150.0	0.0	0.06132958801498127	0.016853932584269662	0.02762172284644195	54.353932584269664	0.035290365164938074	31	COMPLETE
32	0.5070224719101124	2020-05-20 14:05:56.840274	2020-05-20 14:23:37.279437	256	128	1	18	256	0.29856330136792936	0.0	0.5070224719101124	0.08848314606741572	0.20880149812734083	14.289794007490636	0.12869946303816457	0.0	0.5070224719101124	0.08848314606741572	0.20880149812734083	14.289794007490636	0.12869946303816457	441405652		0.0	0.5070224719101124	0.08848314606741572	0.20880149812734083	14.289794007490636	0.12869946303816457	32	COMPLETE
33	0.22893258426966293	2020-05-20 14:23:37.291480	2020-05-20 14:35:07.618980	128	64	2	57	512	0.6486180455245999	0.0	0.22893258426966293	0.037921348314606744	0.08614232209737828	31.244147940074907	0.0731253960038589	0.0	0.22893258426966293	0.037921348314606744	0.08614232209737828	31.243913857677903	0.07312549251278365	3180607056		0.0	0.22893258426966293	0.037921348314606744	0.08614232209737828	31.24438202247191	0.07312530142511262	33	COMPLETE
34	0.2551498127340824	2020-05-20 14:35:07.631056	2020-05-20 14:51:59.610114	128	64	2	60	256	0.6351899054452553	0.0	0.2551498127340824	0.03838951310861423	0.09597378277153558	30.511704119850187	0.07586267142560406	0.0	0.2551498127340824	0.03838951310861423	0.09597378277153558	30.511704119850187	0.07586267142560406	2416172003		0.0	0.2551498127340824	0.03838951310861423	0.09597378277153558	30.511704119850187	0.07586267142560406	34	COMPLETE
35	0.273876404494382	2020-05-20 14:51:59.622165	2020-05-20 15:14:08.114340	64	64	1	37	128	0.4596188462736985	0.0	0.273876404494382	0.04073033707865169	0.09550561797752809	22.088014981273407	0.08472610046518637	0.0	0.273876404494382	0.04073033707865169	0.09550561797752809	22.088014981273407	0.08472610046518637	3856439499		0.0	0.273876404494382	0.04073033707865169	0.09550561797752809	22.088014981273407	0.08472610046518637	35	COMPLETE
36	0.05102996254681648	2020-05-20 15:14:08.126406	2020-05-20 15:16:07.485917	64	128	2	83	256	1.1493671585348773	0.0	0.05102996254681648	0.013108614232209739	0.023876404494382022	55.46722846441948	0.03261993179232018	0.0	0.05102996254681648	0.013108614232209739	0.023876404494382022	55.46722846441948	0.03261993179232018	1602992667	150.0	0.0	0.05102996254681648	0.013108614232209739	0.023876404494382022	55.46722846441948	0.03261993179232018	36	COMPLETE
37	0.06975655430711611	2020-05-20 15:16:07.498044	2020-05-20 15:18:30.999776	128	128	2	81	512	1.0591958566492055	0.0	0.06975655430711611	0.011704119850187267	0.023408239700374533	51.09550561797753	0.03637617432454165	0.0	0.06975655430711611	0.011704119850187267	0.023408239700374533	51.09550561797753	0.03637617432454165	2678430568	150.0	0.0	0.06975655430711611	0.011704119850187267	0.023408239700374533	51.09550561797753	0.03637617432454165	37	COMPLETE
38	0.6540262172284644	2020-05-20 15:18:31.011830	2020-05-20 15:23:00.592549	256	64	1	2	512	0.22217246906374918	0.0997191011235955	0.6540262172284644	0.24906367041198502	0.38202247191011235	10.641385767790263	0.2491672791582669	0.0997191011235955	0.6540262172284644	0.24906367041198502	0.38202247191011235	10.641385767790263	0.2491672791582669	2588058034	800.0	0.0997191011235955	0.6540262172284644	0.24906367041198502	0.38202247191011235	10.641385767790263	0.2491672791582669	38	COMPLETE
39	0.3529962546816479	2020-05-20 15:23:00.605125	2020-05-20 15:40:04.554940	256	64	2	46	128	0.4485266563074475	0.0	0.3529962546816479	0.06882022471910113	0.16853932584269662	21.482209737827716	0.1027153928674029	0.0	0.3529962546816479	0.06882022471910113	0.16853932584269662	21.482209737827716	0.1027153928674029	1316278170	650.0	0.0	0.3529962546816479	0.06882022471910113	0.16853932584269662	21.482209737827716	0.1027153928674029	39	COMPLETE
40	0.21348314606741572	2020-05-20 15:40:04.567229	2020-05-20 16:04:44.722800	128	64	1	86	128	0.8116411668464737	0.0	0.21348314606741572	0.03651685393258427	0.09222846441947566	38.99578651685393	0.06693285247556016	0.0	0.21348314606741572	0.03651685393258427	0.09222846441947566	38.99578651685393	0.06693285247556016	1198073919	900.0	0.0	0.21348314606741572	0.03651685393258427	0.09222846441947566	38.99578651685393	0.06693285247556016	40	COMPLETE
41	0.052434456928838954	2020-05-20 16:04:44.735149	2020-05-20 16:07:36.926697	64	128	1	70	128	1.1907036782640001	0.0	0.052434456928838954	0.003745318352059925	0.017790262172284643	57.462078651685395	0.03013797128361259	0.0	0.052434456928838954	0.003745318352059925	0.017790262172284643	57.462078651685395	0.03013797128361259	773590425	150.0	0.0	0.052434456928838954	0.003745318352059925	0.017790262172284643	57.462078651685395	0.03013797128361259	41	COMPLETE
42	0.2799625468164794	2020-05-20 16:07:36.938623	2020-05-20 16:33:24.052923	256	64	2	81	256	0.731736489083297	0.0	0.2799625468164794	0.05571161048689138	0.12780898876404495	35.12453183520599	0.08046609305112461	0.0	0.2799625468164794	0.05571161048689138	0.12780898876404495	35.12453183520599	0.08046609305112461	2017435542	1000.0	0.0	0.2799625468164794	0.05571161048689138	0.12780898876404495	35.12453183520599	0.08046609305112461	42	COMPLETE
43	0.15543071161048688	2020-05-20 16:33:24.064211	2020-05-20 18:19:06.884614	256	256	1	97	128	1.0330649725307992	0.0	0.15543071161048688	0.024812734082397005	0.06179775280898876	49.637172284644194	0.05185541182087783	0.0	0.15543071161048688	0.024812734082397005	0.06179775280898876	49.637172284644194	0.05185541182087783	2914398555		0.0	0.15543071161048688	0.024812734082397005	0.06179775280898876	49.637172284644194	0.05185541182087783	43	COMPLETE
44	0.5833333333333334	2020-05-20 18:19:06.894626	2020-05-20 18:26:04.404757	256	128	1	3	512	0.2421292272119082	0.0898876404494382	0.5833333333333334	0.21395131086142322	0.32069288389513106	11.630149812734082	0.22463447396979094	0.0898876404494382	0.5833333333333334	0.21395131086142322	0.32069288389513106	11.630149812734082	0.22463447396979094	307134462		0.0898876404494382	0.5833333333333334	0.21395131086142322	0.32069288389513106	11.630149812734082	0.22463447396979094	44	COMPLETE
45	0.14700374531835206	2020-05-20 18:26:04.417141	2020-05-20 18:42:30.148570	128	256	1	34	128	0.7479068727602254	0.0	0.14700374531835206	0.03464419475655431	0.06647940074906367	35.95926966292135	0.06116928978475662	0.0	0.14700374531835206	0.03464419475655431	0.06647940074906367	35.95926966292135	0.06116928978475662	3431134767	550.0	0.0	0.14700374531835206	0.03464419475655431	0.06647940074906367	35.95926966292135	0.06116928978475662	45	COMPLETE
46	0.27902621722846443	2020-05-20 18:42:30.161513	2020-05-20 19:05:25.539431	256	64	2	80	256	0.7232498504633035	0.0	0.27902621722846443	0.0599250936329588	0.13810861423220974	34.66573033707865	0.0832818063494294	0.0	0.27902621722846443	0.0599250936329588	0.13810861423220974	34.66573033707865	0.0832818063494294	556236994	900.0	0.0	0.27902621722846443	0.0599250936329588	0.13810861423220974	34.66573033707865	0.0832818063494294	46	COMPLETE
47	0.05711610486891386	2020-05-20 19:05:25.554702	2020-05-20 19:07:44.798439	128	128	2	59	256	1.1253844504453911	0.0	0.05711610486891386	0.010767790262172285	0.02153558052434457	54.32162921348315	0.033764229931887775	0.0	0.05711610486891386	0.010767790262172285	0.02153558052434457	54.32162921348315	0.033764229931887775	3375321154	150.0	0.0	0.05711610486891386	0.010767790262172285	0.02153558052434457	54.32162921348315	0.033764229931887775	47	COMPLETE
48	0.47191011235955055	2020-05-20 19:07:44.810159	2020-05-20 19:31:02.876217	128	128	1	19	128	0.31321410289773727	0.0	0.47191011235955055	0.07958801498127341	0.17228464419475656	15.013108614232209	0.12026202227801974	0.0	0.47191011235955055	0.07958801498127341	0.17228464419475656	15.013108614232209	0.12026202227801974	2986544339		0.0	0.47191011235955055	0.07958801498127341	0.17228464419475656	15.013108614232209	0.12026202227801974	48	COMPLETE
49	0.07677902621722846	2020-05-20 19:31:02.888160	2020-05-20 19:31:58.793960	64	128	2	32	512	1.0688776297421518	0.0	0.07677902621722846	0.0149812734082397	0.02949438202247191	51.61985018726592	0.03853400304110185	0.0	0.07677902621722846	0.0149812734082397	0.02949438202247191	51.61985018726592	0.03853400304110185	3657645300	150.0	0.0	0.07677902621722846	0.0149812734082397	0.02949438202247191	51.61985018726592	0.03853400304110185	49	COMPLETE
50	0.054307116104868915	2020-05-20 19:31:58.811876	2020-05-20 19:35:05.587234	64	128	1	95	128	1.1844923920050432	0.0	0.054307116104868915	0.006554307116104869	0.017790262172284643	57.210205992509366	0.030755897763676782	0.0	0.054307116104868915	0.006554307116104869	0.017790262172284643	57.210205992509366	0.030755897763676782	2328912620	150.0	0.0	0.054307116104868915	0.006554307116104869	0.017790262172284643	57.210205992509366	0.030755897763676782	50	COMPLETE
51	0.05149812734082397	2020-05-20 19:35:05.600245	2020-05-20 19:37:43.936174	64	128	2	49	128	1.1345933135093123	0.0	0.05149812734082397	0.007958801498127341	0.018726591760299626	54.70365168539326	0.03170357279633111	0.0	0.05149812734082397	0.007958801498127341	0.018726591760299626	54.70365168539326	0.03170357279633111	284895192	150.0	0.0	0.05149812734082397	0.007958801498127341	0.018726591760299626	54.70365168539326	0.03170357279633111	51	COMPLETE
52	0.20365168539325842	2020-05-20 19:37:43.953512	2020-05-20 20:09:14.788007	128	128	2	55	128	0.7185765805947228	0.0	0.20365168539325842	0.026685393258426966	0.06132958801498127	34.55547752808989	0.06421552227958724	0.0	0.20365168539325842	0.026685393258426966	0.06132958801498127	34.55524344569288	0.0642158375420748	3181557369		0.0	0.20365168539325842	0.026685393258426966	0.06132958801498127	34.55571161048689	0.06421521827647425	52	COMPLETE
53	0.525749063670412	2020-05-20 20:09:14.800023	2020-05-20 20:18:36.817119	256	64	1	20	256	0.29695469438366956	0.0	0.525749063670412	0.11423220973782772	0.2598314606741573	14.157303370786517	0.14025637246234493	0.0	0.525749063670412	0.11423220973782772	0.2598314606741573	14.157303370786517	0.14025637246234493	439697377	700.0	0.0	0.525749063670412	0.11423220973782772	0.2598314606741573	14.157303370786517	0.14025637246234493	53	COMPLETE
54	0.0749063670411985	2020-05-20 20:18:36.830556	2020-05-20 20:20:57.412342	256	64	1	81	512	1.1167119464484716	0.0	0.0749063670411985	0.014044943820224719	0.032303370786516857	53.85299625468165	0.036631927850310074	0.0	0.0749063670411985	0.014044943820224719	0.032303370786516857	53.85299625468165	0.036631927850310074	1590959931	150.0	0.0	0.0749063670411985	0.014044943820224719	0.032303370786516857	53.85299625468165	0.036631927850310074	54	COMPLETE
55	0.07069288389513109	2020-05-20 20:20:57.424262	2020-05-20 20:22:49.813261	128	64	2	74	256	1.0890484281731874	0.0	0.07069288389513109	0.01451310861423221	0.025749063670411985	52.5311329588015	0.036635587394923466	0.0	0.07069288389513109	0.01451310861423221	0.025749063670411985	52.53089887640449	0.03663572496906217	4024864711	150.0	0.0	0.07069288389513109	0.01451310861423221	0.025749063670411985	52.5313670411985	0.036635453096359495	55	COMPLETE
56	0.07162921348314606	2020-05-20 20:22:49.824077	2020-05-20 20:24:59.032426	128	128	2	51	256	1.082887266630007	0.0	0.07162921348314606	0.017322097378277154	0.03323970037453183	52.14185393258427	0.0390299287910249	0.0	0.07162921348314606	0.017322097378277154	0.03323970037453183	52.14185393258427	0.0390299287910249	3177917241	150.0	0.0	0.07162921348314606	0.017322097378277154	0.03323970037453183	52.14185393258427	0.0390299287910249	56	COMPLETE
57	0.06882022471910113	2020-05-20 20:24:59.042612	2020-05-20 20:26:31.029082	64	128	2	83	512	1.090337976802852	0.0	0.06882022471910113	0.013108614232209739	0.03089887640449438	52.56624531835206	0.03690100936920187	0.0	0.06882022471910113	0.013108614232209739	0.03089887640449438	52.56601123595506	0.03690105182927751	3186862778	150.0	0.0	0.06882022471910113	0.013108614232209739	0.03089887640449438	52.56647940074907	0.036900967475260574	57	COMPLETE
