number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
27	0.0056487504279356384	2020-03-25 22:46:01.530038	2020-03-25 22:55:18.202033	128	1	59	0.0011456027367201017	256	0.9923489712981951	0.005135227661759671	0.0056487504279356384	0.005220814789455666	0.005363460002282323	7090.202099737533	0.005767224983904333	0.005135227661759671	0.0056487504279356384	0.005220814789455666	0.005363460002282323	7090.1988188976375	0.005767225203481425	3711502432	150	0.005135227661759671	0.0056487504279356384	0.005220814789455666	0.005363460002282323	7090.205380577428	0.005767224764490915	27	COMPLETE
28	0.005591692342804975	2020-03-25 22:55:18.293541	2020-03-25 23:04:50.362470	128	1	97	0.011067289906120404	256	0.9940176623246042	0.005135227661759671	0.005591692342804975	0.005306401917151661	0.005306401917151661	7102.651959945224	0.005755579429874696	0.005135227661759671	0.005591692342804975	0.005306401917151661	0.005306401917151661	7102.648693369851	0.005755579638474702	2841591930	150	0.005135227661759671	0.005591692342804975	0.005306401917151661	0.005306401917151661	7102.655226520598	0.005755579221449933	28	COMPLETE
29	0.006019627981284948	2020-03-25 23:04:50.454445	2020-03-25 23:12:13.672642	256	1	60	0.04952118275676485	512	0.9854297578404522	0.005135227661759671	0.006019627981284948	0.005306401917151661	0.005477576172543649	7040.14257389022	0.005839729482902757	0.005135227661759671	0.006019627981284948	0.005306401917151661	0.005477576172543649	7040.138109095059	0.005839730635365638	3364013264	150	0.005135227661759671	0.006019627981284948	0.005306401917151661	0.005477576172543649	7040.147038685382	0.005839728335461954	29	COMPLETE
30	0.005620221385370307	2020-03-25 23:12:13.764011	2020-03-25 23:17:54.181281	128	1	26	0.026352913883589395	512	0.9994587724895106	0.005135227661759671	0.005620221385370307	0.005220814789455666	0.0053349309597169915	7142.2421973068585	0.00572721072189753	0.005135227661759671	0.005620221385370307	0.005220814789455666	0.0053349309597169915	7142.239016318612	0.0057272111373514855	2194250867	150	0.005135227661759671	0.005620221385370307	0.005220814789455666	0.0053349309597169915	7142.245378295104	0.0057272103070194775	30	COMPLETE
31	0.040254479059682755	2020-03-25 23:17:54.262264	2020-03-25 23:35:34.537470	256	2	8	0.002792548535861454	128	0.15707020383193962	0.005135227661759671	0.040254479059682755	0.013865114686751112	0.022395298413785233	1096.8130919776331	0.020555243506926286	0.005135227661759671	0.040254479059682755	0.013865114686751112	0.022395298413785233	1096.8127353646012	0.020555244720980026	3327844446	150	0.005135227661759671	0.040254479059682755	0.013865114686751112	0.022395298413785233	1096.8134485906653	0.020555242298061382	31	COMPLETE
32	0.03834303320780555	2020-03-25 23:35:34.618825	2020-03-25 23:53:53.559306	64	2	43	0.01700770803054441	256	0.17927913241962415	0.005135227661759671	0.03834303320780555	0.01269542394157252	0.020369736391646697	1253.2573319639394	0.019953878909509705	0.005135227661759671	0.03834303320780555	0.01269542394157252	0.020369736391646697	1253.2568469702157	0.01995388272370298	3194230738	250	0.005135227661759671	0.03834303320780555	0.01269542394157252	0.020369736391646697	1253.257816957663	0.019953875132232506	32	COMPLETE
33	0.05511811023622047	2020-03-25 23:53:53.648967	2020-03-26 00:04:00.332085	256	2	53	0.0038471504241819367	256	0.12878403090583632	0.005135227661759671	0.05511811023622047	0.01626155426223896	0.028814332990984824	895.2477462056373	0.02570031524603772	0.005135227661759671	0.05511811023622047	0.01626155426223896	0.028814332990984824	895.2475465023393	0.02570031540873775	563877661	150	0.005135227661759671	0.05511811023622047	0.01626155426223896	0.028814332990984824	895.2479459089353	0.025700315083663095	33	COMPLETE
34	0.0062478603218076	2020-03-26 00:04:00.416165	2020-03-26 00:12:59.340997	256	1	3	0.003403039767218264	256	1.008247229144819	0.005135227661759671	0.0062478603218076	0.0055346342576743125	0.005819924683327628	7203.718161588497	0.0059304523060157155	0.005135227661759671	0.0062478603218076	0.0055346342576743125	0.005819924683327628	7203.713511354559	0.005930452730939786	4022807231	150	0.005135227661759671	0.0062478603218076	0.0055346342576743125	0.005819924683327628	7203.722811822436	0.005930451881568452	34	COMPLETE
35	0.04958347597854616	2020-03-26 00:12:59.436795	2020-03-26 00:31:35.804407	64	2	94	0.008859646556448232	256	0.13576519310742283	0.005135227661759671	0.04958347597854616	0.016147438091977634	0.026189661074974325	943.2531239301609	0.024314939765625106	0.005135227661759671	0.04958347597854616	0.016147438091977634	0.026189661074974325	943.2527673171288	0.024314940509707613	1160745227	250	0.005135227661759671	0.04958347597854616	0.016147438091977634	0.026189661074974325	943.253480543193	0.024314939024516456	35	COMPLETE
36	0.026788770968846284	2020-03-26 00:31:35.870494	2020-03-26 00:45:36.694841	128	2	47	0.024014638026945697	256	0.2793357557330107	0.005135227661759671	0.026788770968846284	0.008758416067556772	0.014350108410361748	1964.4062535661303	0.015191694122940318	0.005135227661759671	0.026788770968846284	0.008758416067556772	0.014350108410361748	1964.4056259271938	0.015191720311909894	3777437351	200	0.005135227661759671	0.026788770968846284	0.008758416067556772	0.014350108410361748	1964.4068812050668	0.015191668919348573	36	COMPLETE
