number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.feature_map_dropout	params_model.input_dropout	params_model.output_channels	params_model.output_dropout	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
10	0.425561797752809	2020-05-17 13:51:25.624052	2020-05-17 13:55:31.418910	256	0.23281452670830544	0.2230914090374675	22	0.2509462762946177	20	0.010196353296882833	512	0.4762586743033697	0.08426966292134831	0.425561797752809	0.1989700374531835	0.2804307116104869	22.863295880149813	0.1921554429658207	0.08426966292134831	0.425561797752809	0.1989700374531835	0.2804307116104869	22.863295880149813	0.1921554429658207		2397016589.0	200.0	0.08426966292134831	0.425561797752809	0.1989700374531835	0.2804307116104869	22.863295880149813	0.1921554429658207	10		COMPLETE
11	0.8867041198501873	2020-05-17 13:55:31.564848	2020-05-17 14:00:08.586842	64	0.1344201888252904	0.4307956802702974	50	0.2740009368656798	26	0.00368091339756929	128	0.11284570977499897	0.22284644194756553	0.8867041198501873	0.5102996254681648	0.6849250936329588	5.46067415730337	0.4195102036803695	0.22284644194756553	0.8867041198501873	0.5102996254681648	0.6849250936329588	5.46067415730337	0.4195102036803695		984862109.0	250.0	0.22284644194756553	0.8867041198501873	0.5102996254681648	0.6849250936329588	5.46067415730337	0.4195102036803695	11		COMPLETE
12	0.27668539325842695	2020-05-17 14:00:08.708737	2020-05-17 14:13:02.283117	256	0.2848200492996454	0.18078937184888316	54	0.4167310124356705	32	0.0019078728914422207	128	0.6438723439089117	0.039794007490636704	0.27668539325842695	0.10065543071161048	0.16198501872659177	31.164091760299627	0.11936807040093322	0.039794007490636704	0.28230337078651685	0.10065543071161048	0.16198501872659177	29.10486891385768	0.1213983470396376		4281796542.0	200.0	0.039794007490636704	0.27668539325842695	0.10065543071161048	0.16198501872659177	33.223314606741575	0.11864222853671215	12		COMPLETE
13	0.3211610486891386	2020-05-17 14:13:02.387413	2020-05-17 14:19:57.969069	128	0.11998268617885022	0.22061053317147683	17	0.13871761421518036	58	0.006734521721432735	256	0.4909223848805599	0.04400749063670412	0.3211610486891386	0.1203183520599251	0.19054307116104868	23.702247191011235	0.13751588305678347	0.04400749063670412	0.32162921348314605	0.1203183520599251	0.19054307116104868	23.691479400749063	0.13756677293876596		2329816082.0	200.0	0.04400749063670412	0.32069288389513106	0.1203183520599251	0.19054307116104868	23.713014981273407	0.13747995788145034	13		COMPLETE
14	0.11142322097378277	2020-05-17 14:19:58.098967	2020-05-17 14:26:01.547752	128	0.19525829882215884	0.3055925976571996	48	0.3887214693415743	26	0.0022059747139364285	128	0.9461257658534324	0.018258426966292134	0.11142322097378277	0.04260299625468165	0.06694756554307116	45.59129213483146	0.061733357655491636	0.11797752808988764	0.36797752808988765	0.16104868913857678	0.20084269662921347	31.383426966292134	0.18829373919985118		1667805543.0	200.0	0.018258426966292134	0.11142322097378277	0.04260299625468165	0.06694756554307116	59.799157303370784	0.05783390707888413	14		COMPLETE
15	0.7495318352059925	2020-05-17 14:26:01.630855	2020-05-17 14:28:43.973012	64	0.4744035058589701	0.2785595446490172	61	0.3381132793672875	13	0.023203401188795755	512	0.18366394144018994	0.2209737827715356	0.7495318352059925	0.46207865168539325	0.6048689138576779	8.831928838951312	0.39007289038505655	0.2209737827715356	0.7495318352059925	0.46207865168539325	0.6048689138576779	8.831928838951312	0.39007289038505655		4040481421.0	250.0	0.2209737827715356	0.7495318352059925	0.46207865168539325	0.6048689138576779	8.831928838951312	0.39007289038505655	15		COMPLETE
16		2020-05-17 14:28:44.108006	2020-05-17 14:28:45.993903	256	0.14052055363515437	0.06138143162403087	62	0.3017232939247008	62	0.001038430328916751	512														The current model can't be trained on this hardware with these parameters.									16	Setting status of trial#16 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
17	0.4199438202247191	2020-05-17 14:28:46.058486	2020-05-17 14:37:25.927196	64	0.18961394639826967	0.14459521732077624	38	0.2238175047521161	88	0.0036340706138131757	128	0.36527016660815964	0.040262172284644196	0.4199438202247191	0.14138576779026218	0.2247191011235955	17.684691011235955	0.15462693962021104	0.040262172284644196	0.424625468164794	0.14138576779026218	0.22752808988764045	17.381554307116104	0.15562977731770822		745783481.0	200.0	0.040262172284644196	0.41807116104868913	0.14138576779026218	0.2247191011235955	17.987827715355806	0.15436153235533212	17		COMPLETE
18	0.5318352059925093	2020-05-17 14:37:26.052181	2020-05-17 14:41:51.817002	64	0.4131217517130623	0.3399030896466125	40	0.4434286319674572	27	0.005067174683542423	128	0.29132153920058423	0.0997191011235955	0.5318352059925093	0.2448501872659176	0.34691011235955055	14.063202247191011	0.23158703632041322	0.0997191011235955	0.5318352059925093	0.2448501872659176	0.34691011235955055	14.063202247191011	0.23158703632041322		1204045617.0	250.0	0.0997191011235955	0.5318352059925093	0.2448501872659176	0.34691011235955055	14.063202247191011	0.23158703632041322	18		COMPLETE
19		2020-05-17 14:41:51.936755	2020-05-17 14:41:54.155586	256	0.3110259450799489	0.07908190732190196	36	0.04015015881126799	71	0.004526516456999747	512														The current model can't be trained on this hardware with these parameters.									19	Setting status of trial#19 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
