number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_model.relation_dim	params_negative_sampler.num_negs_per_pos	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
10	0.06273408239700375	2020-04-09 21:31:51.575614	2020-04-09 21:35:37.365004	0.6507848960496532	8.58263203335737	64	64	31	128	1.1748202886617278	0.003745318352059925	0.06273408239700375	0.015917602996254682	0.03323970037453183	56.70177902621723	0.03705592666236797	0.003745318352059925	0.06273408239700375	0.015917602996254682	0.03323970037453183	56.70177902621723	0.03705592666236797	4127322263	250	0.003745318352059925	0.06273408239700375	0.015917602996254682	0.03323970037453183	56.70177902621723	0.03705592666236797	10	COMPLETE
11	0.05945692883895131	2020-04-09 21:35:37.388691	2020-04-09 21:36:14.089600	0.3612842204694896	7.814998267588389	64	64	51	512	1.2092355846458773	0.0009363295880149813	0.05945692883895131	0.0149812734082397	0.026685393258426966	58.401685393258425	0.03361779776316281	0.0009363295880149813	0.05945692883895131	0.0149812734082397	0.026685393258426966	58.401685393258425	0.03361779776316281	1841482196	150	0.0009363295880149813	0.05945692883895131	0.0149812734082397	0.026685393258426966	58.401685393258425	0.03361779776316281	11	COMPLETE
12	0.060393258426966294	2020-04-09 21:36:14.127592	2020-04-09 21:39:11.009376	0.5454293133659348	7.436935513973371	256	256	99	256	1.1915211420112084	0.005149812734082397	0.060393258426966294	0.01544943820224719	0.02762172284644195	57.53089887640449	0.03691915024871977	0.005149812734082397	0.060393258426966294	0.01544943820224719	0.02762172284644195	57.53089887640449	0.03691915024871977	4123176977	250	0.005149812734082397	0.060393258426966294	0.01544943820224719	0.02762172284644195	57.53089887640449	0.03691915024871977	12	COMPLETE
13	0.07209737827715355	2020-04-09 21:39:11.036255	2020-04-09 21:43:58.561757	0.5998187463377086	14.110305226708293	128	128	46	128	1.1508635500226212	0.007958801498127341	0.07209737827715355	0.018726591760299626	0.03464419475655431	55.521067415730336	0.042062430677512495	0.007958801498127341	0.07209737827715355	0.018726591760299626	0.03464419475655431	55.521067415730336	0.042062430677512495	3906953693	300	0.007958801498127341	0.07209737827715355	0.018726591760299626	0.03464419475655431	55.521067415730336	0.042062430677512495	13	COMPLETE
14	0.07443820224719101	2020-04-09 21:43:58.582013	2020-04-09 21:46:09.135340	0.11628891576439841	10.16699573997595	256	64	6	512	1.1696241648443921	0.007958801498127341	0.07443820224719101	0.026685393258426966	0.04447565543071161	56.4124531835206	0.043529327753488424	0.007958801498127341	0.07443820224719101	0.026685393258426966	0.04447565543071161	56.4124531835206	0.043529327753488424	662990125	450	0.007958801498127341	0.07443820224719101	0.026685393258426966	0.04447565543071161	56.4124531835206	0.043529327753488424	14	COMPLETE
15	0.05898876404494382	2020-04-09 21:46:09.178056	2020-04-09 21:46:50.346464	0.2006637172253818	17.780017632989072	256	64	68	512	1.1568696371450573	0.006086142322097378	0.05898876404494382	0.019194756554307114	0.030430711610486893	55.8066479400749	0.038979121933769116	0.006086142322097378	0.05898876404494382	0.019194756554307114	0.030430711610486893	55.8066479400749	0.038979121933769116	4290400617	150	0.006086142322097378	0.05898876404494382	0.019194756554307114	0.030430711610486893	55.8066479400749	0.038979121933769116	15	COMPLETE
16	0.07443820224719101	2020-04-09 21:46:50.397209	2020-04-09 21:49:55.539805	0.6616473771057735	27.57275789619813	64	128	47	256	1.1203486801732039	0.010767790262172285	0.07443820224719101	0.02247191011235955	0.03698501872659176	54.03464419475655	0.04501716241664387	0.010767790262172285	0.07443820224719101	0.02247191011235955	0.03698501872659176	54.03464419475655	0.04501716241664387	1957761579	350	0.010767790262172285	0.07443820224719101	0.02247191011235955	0.03698501872659176	54.03464419475655	0.04501716241664387	16	COMPLETE
17	0.05852059925093633	2020-04-09 21:49:55.568251	2020-04-09 21:51:58.227741	0.2175282715995734	5.971731202639175	256	64	57	128	1.226711930035638	0.0	0.05852059925093633	0.012640449438202247	0.024344569288389514	59.254681647940075	0.03267978562248922	0.0	0.05852059925093633	0.012640449438202247	0.024344569288389514	59.254681647940075	0.03267978562248922	4164338068	150	0.0	0.05852059925093633	0.012640449438202247	0.024344569288389514	59.254681647940075	0.03267978562248922	17	COMPLETE
18	0.06647940074906367	2020-04-09 21:51:58.265948	2020-04-09 21:52:34.809874	0.5769182878876083	23.99756026886053	64	64	35	512	1.178377762411578	0.0046816479400749065	0.06647940074906367	0.020131086142322098	0.03417602996254682	56.868445692883896	0.03843825920191319	0.0046816479400749065	0.06647940074906367	0.020131086142322098	0.03417602996254682	56.868445692883896	0.03843825920191319	3678527412	150	0.0046816479400749065	0.06647940074906367	0.020131086142322098	0.03417602996254682	56.868445692883896	0.03843825920191319	18	COMPLETE
19	0.08801498127340825	2020-04-09 21:52:34.836544	2020-04-09 21:59:02.189100	0.38102110352839214	21.1826701164016	128	256	81	128	1.121606371625351	0.008426966292134831	0.08801498127340825	0.02247191011235955	0.041666666666666664	54.07350187265918	0.04542866999567811	0.008426966292134831	0.08801498127340825	0.02247191011235955	0.041666666666666664	54.07350187265918	0.04542866999567811	834982900	350	0.008426966292134831	0.08801498127340825	0.02247191011235955	0.041666666666666664	54.07350187265918	0.04542866999567811	19	COMPLETE
20	0.08286516853932584	2020-04-09 21:59:02.215721	2020-04-09 22:01:28.485612	0.5342399019734128	19.538451384955636	128	128	60	512	1.154667947532902	0.005149812734082397	0.08286516853932584	0.026685393258426966	0.04400749063670412	55.68328651685393	0.042792929264330516	0.005149812734082397	0.08286516853932584	0.026685393258426966	0.04400749063670412	55.683052434456926	0.0427929665356301	344695067	400	0.005149812734082397	0.08286516853932584	0.026685393258426966	0.04400749063670412	55.68352059925093	0.042792892458922184	20	COMPLETE
21	0.07209737827715355	2020-04-09 22:01:28.512640	2020-04-09 22:04:33.069331	0.5078974750364902	17.556041520555176	256	128	59	128	1.1484699855124305	0.007022471910112359	0.07209737827715355	0.023876404494382022	0.03604868913857678	55.37523408239701	0.04285971106972736	0.007022471910112359	0.07209737827715355	0.023876404494382022	0.03604868913857678	55.375	0.042859741819467514	2692527124	200	0.007022471910112359	0.07209737827715355	0.023876404494382022	0.03604868913857678	55.37546816479401	0.042859680669416055	21	COMPLETE
22	0.20037453183520598	2020-04-09 22:04:33.096065	2020-04-09 22:08:34.358031	0.7654661404834596	2.699158896171068	256	64	61	128	0.5804583516141072	0.00046816479400749064	0.20037453183520598	0.046348314606741575	0.09129213483146068	27.99063670411985	0.07524503258871819	0.00046816479400749064	0.20037453183520598	0.046348314606741575	0.09129213483146068	27.99063670411985	0.07524503258871819	976961513	250	0.00046816479400749064	0.20037453183520598	0.046348314606741575	0.09129213483146068	27.99063670411985	0.07524503258871819	22	COMPLETE
23	0.08614232209737828	2020-04-09 22:08:34.390793	2020-04-09 22:12:13.227209	0.7494395287404098	17.31074561471062	128	64	3	256	1.1466183552992868	0.008895131086142321	0.08614232209737828	0.026685393258426966	0.04400749063670412	55.31086142322097	0.04618369971357587	0.008895131086142321	0.08614232209737828	0.026685393258426966	0.04400749063670412	55.31086142322097	0.04618369971357587	707332273	500	0.008895131086142321	0.08614232209737828	0.026685393258426966	0.04400749063670412	55.31086142322097	0.04618369971357587	23	COMPLETE
24	0.0650749063670412	2020-04-09 22:12:13.249683	2020-04-09 22:12:54.514405	0.2952633641322884	25.636142078954137	64	128	60	512	1.1711687352011253	0.005149812734082397	0.0650749063670412	0.018726591760299626	0.03417602996254682	56.49578651685393	0.03883702629251629	0.005149812734082397	0.0650749063670412	0.018726591760299626	0.03417602996254682	56.49578651685393	0.03883702629251629	4015372806	150	0.005149812734082397	0.0650749063670412	0.018726591760299626	0.03417602996254682	56.49578651685393	0.03883702629251629	24	COMPLETE
25	0.05852059925093633	2020-04-09 22:12:54.540802	2020-04-09 22:14:17.826823	0.6017212003718612	7.810301532289267	64	256	87	256	1.1784087665490666	0.0014044943820224719	0.05852059925093633	0.0149812734082397	0.02949438202247191	56.88249063670412	0.034617090344959196	0.0014044943820224719	0.05852059925093633	0.0149812734082397	0.02949438202247191	56.88249063670412	0.034617090344959196	4269188865	150	0.0014044943820224719	0.05852059925093633	0.0149812734082397	0.02949438202247191	56.88249063670412	0.034617090344959196	25	COMPLETE
26	0.06975655430711611	2020-04-09 22:14:17.869730	2020-04-09 22:18:25.559784	0.5699374868138628	5.062732926552204	256	64	36	128	0.988642023476922	0.0	0.06975655430711611	0.01544943820224719	0.03136704119850187	47.50046816479401	0.040721634061676566	0.0	0.06975655430711611	0.01544943820224719	0.03136704119850187	47.50046816479401	0.040721634061676566	1500533099	250	0.0	0.06975655430711611	0.01544943820224719	0.03136704119850187	47.50046816479401	0.040721634061676566	26	COMPLETE
27	0.07771535580524344	2020-04-09 22:18:25.581177	2020-04-09 22:20:51.577944	0.5965485862578067	18.29609313318568	256	256	79	512	1.154929731596673	0.006554307116104869	0.07771535580524344	0.021067415730337078	0.04073033707865169	55.72097378277154	0.04185908137235379	0.006554307116104869	0.07771535580524344	0.021067415730337078	0.04073033707865169	55.72097378277154	0.04185908137235379	2040229983	300	0.006554307116104869	0.07771535580524344	0.021067415730337078	0.04073033707865169	55.72097378277154	0.04185908137235379	27	COMPLETE
28	0.2743445692883895	2020-04-09 22:20:51.602934	2020-04-09 22:23:32.260877	0.22567698526519264	1.3450678495699737	128	256	22	512	0.5381940863215563	0.02855805243445693	0.2743445692883895	0.09737827715355805	0.14559925093632958	25.58567415730337	0.1145498039978424	0.02855805243445693	0.2743445692883895	0.09737827715355805	0.14559925093632958	25.58567415730337	0.1145498039978424	1998984108	500	0.02855805243445693	0.2743445692883895	0.09737827715355805	0.14559925093632958	25.58567415730337	0.1145498039978424	28	COMPLETE
29	0.31413857677902624	2020-04-09 22:23:32.287998	2020-04-09 22:34:06.050734	0.16039347906538473	2.082485746878653	256	256	97	128	0.4741790883918031	0.028089887640449437	0.31413857677902624	0.12359550561797752	0.18726591760299627	22.685393258426966	0.12919368914479284	0.028089887640449437	0.31413857677902624	0.12359550561797752	0.18726591760299627	22.685393258426966	0.12919368914479284	3167620083	550	0.028089887640449437	0.31413857677902624	0.12359550561797752	0.18726591760299627	22.685393258426966	0.12919368914479284	29	COMPLETE
30	0.056179775280898875	2020-04-09 22:34:06.083214	2020-04-09 22:34:47.757081	0.15270917747007612	27.234804889891393	64	128	83	512	1.1776009570686878	0.0023408239700374533	0.056179775280898875	0.012172284644194757	0.02949438202247191	56.78838951310861	0.034444205910185134	0.0023408239700374533	0.056179775280898875	0.012172284644194757	0.02949438202247191	56.78838951310861	0.034444205910185134	1395429968	150	0.0023408239700374533	0.056179775280898875	0.012172284644194757	0.02949438202247191	56.78838951310861	0.034444205910185134	30	COMPLETE
31	0.06788389513108614	2020-04-09 22:34:47.783324	2020-04-09 22:36:24.130056	0.6183633422125187	26.170675426886923	64	256	74	512	1.1632028779212022	0.0056179775280898875	0.06788389513108614	0.018258426966292134	0.03277153558052434	56.11985018726592	0.03865419033043983	0.0056179775280898875	0.06788389513108614	0.018258426966292134	0.03277153558052434	56.11985018726592	0.03865419033043983	3436135989	250	0.0056179775280898875	0.06788389513108614	0.018258426966292134	0.03277153558052434	56.11985018726592	0.03865419033043983	31	COMPLETE
32	0.07209737827715355	2020-04-09 22:36:24.157005	2020-04-09 22:39:31.130516	0.6672033521138062	4.485961415788195	128	64	93	256	0.9711953297585305	0.0	0.07209737827715355	0.011235955056179775	0.02855805243445693	46.747191011235955	0.04035244574474207	0.0	0.07209737827715355	0.011235955056179775	0.02855805243445693	46.747191011235955	0.04035244574474207	671971644	300	0.0	0.07209737827715355	0.011235955056179775	0.02855805243445693	46.747191011235955	0.04035244574474207	32	COMPLETE
33	0.07958801498127341	2020-04-09 22:39:31.157005	2020-04-09 22:43:58.743695	0.27128419399473813	28.268970042159243	128	256	62	128	1.1309933322499253	0.006086142322097378	0.07958801498127341	0.017322097378277154	0.039794007490636704	54.5437734082397	0.04174325331340665	0.006086142322097378	0.07958801498127341	0.017322097378277154	0.039794007490636704	54.543539325842694	0.041743287915386985	3516589698	250	0.006086142322097378	0.07958801498127341	0.017322097378277154	0.039794007490636704	54.5440074906367	0.04174321912831763	33	COMPLETE
34	0.0552434456928839	2020-04-09 22:43:58.782435	2020-04-09 22:49:48.232067	0.8936020686219878	5.443652361269704	128	256	46	128	1.2081062709197596	0.0	0.0552434456928839	0.012172284644194757	0.02200374531835206	58.315074906367045	0.03168463083902044	0.0	0.0552434456928839	0.012172284644194757	0.02200374531835206	58.315074906367045	0.03168463083902044	1145914226	350	0.0	0.0552434456928839	0.012172284644194757	0.02200374531835206	58.315074906367045	0.03168463083902044	34	COMPLETE
35	0.056179775280898875	2020-04-09 22:49:48.259429	2020-04-09 22:50:25.097583	0.6407413946349525	25.289901568807494	64	64	90	512	1.1819272024630245	0.0018726591760299626	0.056179775280898875	0.01451310861423221	0.028089887640449437	57.02200374531835	0.03428757436634113	0.0018726591760299626	0.056179775280898875	0.01451310861423221	0.028089887640449437	57.02200374531835	0.03428757436634113	3175175454	150	0.0018726591760299626	0.056179775280898875	0.01451310861423221	0.028089887640449437	57.02200374531835	0.03428757436634113	35	COMPLETE
36	0.07724719101123595	2020-04-09 22:50:25.124614	2020-04-09 22:55:09.805357	0.24026251445123245	14.491058085729886	64	256	42	128	1.1308826989039067	0.00749063670411985	0.07724719101123595	0.02294007490636704	0.03698501872659176	54.50491573033708	0.043733426602356	0.00749063670411985	0.07724719101123595	0.02294007490636704	0.03698501872659176	54.504681647940075	0.04373345806927319	2744823735	300	0.00749063670411985	0.07724719101123595	0.02294007490636704	0.03698501872659176	54.50514981273408	0.04373339549712751	36	COMPLETE
37	0.08707865168539326	2020-04-09 22:55:09.851640	2020-04-09 22:59:55.723497	0.6541042409306768	14.020303079909972	128	256	47	256	1.1238213045459784	0.006554307116104869	0.08707865168539326	0.02247191011235955	0.04681647940074907	54.17883895131086	0.044752421590246894	0.006554307116104869	0.08707865168539326	0.02247191011235955	0.04681647940074907	54.17883895131086	0.044752421590246894	3258097753	500	0.006554307116104869	0.08707865168539326	0.02247191011235955	0.04681647940074907	54.17883895131086	0.044752421590246894	37	COMPLETE
38	0.08941947565543071	2020-04-09 22:59:55.752111	2020-04-09 23:02:44.833334	0.9150175590854926	13.768913135243377	128	64	53	512	1.141361882575275	0.008426966292134831	0.08941947565543071	0.024344569288389514	0.04681647940074907	55.02153558052434	0.04538197774495628	0.008426966292134831	0.08941947565543071	0.024344569288389514	0.04681647940074907	55.02153558052434	0.04538197774495628	2732417990	550	0.008426966292134831	0.08941947565543071	0.024344569288389514	0.04681647940074907	55.02153558052434	0.04538197774495628	38	COMPLETE
39	0.06601123595505617	2020-04-09 23:02:44.860583	2020-04-09 23:04:36.077668	0.7595400162614331	6.712666165929251	256	64	21	128	1.2053447548659302	0.0014044943820224719	0.06601123595505617	0.01451310861423221	0.028089887640449437	58.20177902621723	0.03478769484081809	0.0014044943820224719	0.06601123595505617	0.01451310861423221	0.028089887640449437	58.20177902621723	0.03478769484081809	3364255907	150	0.0014044943820224719	0.06601123595505617	0.01451310861423221	0.028089887640449437	58.20177902621723	0.03478769484081809	39	COMPLETE
40	0.08099250936329588	2020-04-09 23:04:36.099661	2020-04-09 23:10:16.815790	0.5325040561866556	15.956422610157842	64	64	50	256	1.1311632982709825	0.008426966292134831	0.08099250936329588	0.024812734082397005	0.03885767790262172	54.54892322097378	0.045072681383434586	0.008426966292134831	0.08099250936329588	0.024812734082397005	0.03885767790262172	54.548689138576776	0.04507273314294746	2910754385	550	0.008426966292134831	0.08099250936329588	0.024812734082397005	0.03885767790262172	54.549157303370784	0.04507263038509101	40	COMPLETE
41	0.2102059925093633	2020-04-09 23:10:16.843230	2020-04-09 23:19:04.243659	0.6584249315385189	2.9608012076364862	256	256	22	128	0.5943331831337165	0.0	0.2102059925093633	0.04307116104868914	0.09035580524344569	28.603464419475657	0.07487822500151205	0.0	0.2102059925093633	0.04307116104868914	0.09035580524344569	28.603464419475657	0.07487822500151205	2965896494	450	0.0	0.2102059925093633	0.04307116104868914	0.09035580524344569	28.603464419475657	0.07487822500151205	41	COMPLETE
42	0.05711610486891386	2020-04-09 23:19:04.270994	2020-04-09 23:19:39.494121	0.1698923650012103	6.502628649035051	256	64	14	512	1.20980912338147	0.0	0.05711610486891386	0.010767790262172285	0.024344569288389514	58.44241573033708	0.032249380892564045	0.0	0.05711610486891386	0.010767790262172285	0.024344569288389514	58.44241573033708	0.032249380892564045	222320033	150	0.0	0.05711610486891386	0.010767790262172285	0.024344569288389514	58.44241573033708	0.032249380892564045	42	COMPLETE
43	0.07724719101123595	2020-04-09 23:19:39.520845	2020-04-09 23:23:36.689583	0.8370538912298308	10.564674284165365	256	64	68	128	1.1594605908549498	0.006554307116104869	0.07724719101123595	0.027153558052434457	0.046348314606741575	55.91151685393258	0.04385550462536067	0.006554307116104869	0.07724719101123595	0.027153558052434457	0.046348314606741575	55.91151685393258	0.04385550462536067	4014349299	250	0.006554307116104869	0.07724719101123595	0.027153558052434457	0.046348314606741575	55.91151685393258	0.04385550462536067	43	COMPLETE
44	0.05852059925093633	2020-04-09 23:23:36.731486	2020-04-09 23:24:10.415398	0.6689265159656774	24.2616002320911	128	256	11	512	1.1881859678503	0.003745318352059925	0.05852059925093633	0.017790262172284643	0.031835205992509365	57.34410112359551	0.036597217045447945	0.003745318352059925	0.05852059925093633	0.017790262172284643	0.031835205992509365	57.34410112359551	0.036597217045447945	1467488523	150	0.003745318352059925	0.05852059925093633	0.017790262172284643	0.031835205992509365	57.34410112359551	0.036597217045447945	44	COMPLETE
45	0.07443820224719101	2020-04-09 23:24:10.453923	2020-04-09 23:28:12.735296	0.23466188720931772	11.235332389855975	256	128	90	256	1.150875081270689	0.008426966292134831	0.07443820224719101	0.023876404494382022	0.0351123595505618	55.50210674157304	0.04267563219400129	0.008426966292134831	0.07443820224719101	0.023876404494382022	0.0351123595505618	55.50187265917603	0.04267566765297229	2936026416	400	0.008426966292134831	0.07443820224719101	0.023876404494382022	0.0351123595505618	55.50234082397004	0.04267559716745678	45	COMPLETE
46	0.23595505617977527	2020-04-09 23:28:12.778227	2020-04-09 23:35:04.023783	0.7004701426743153	2.587476454828083	64	128	51	128	0.539414484153261	0.0014044943820224719	0.23595505617977527	0.060393258426966294	0.11610486891385768	25.80992509363296	0.08518524753670874	0.0014044943820224719	0.23595505617977527	0.060393258426966294	0.11610486891385768	25.80992509363296	0.08518524753670874	1606357647	400	0.0014044943820224719	0.23595505617977527	0.060393258426966294	0.11610486891385768	25.80992509363296	0.08518524753670874	46	COMPLETE
47	0.06554307116104868	2020-04-09 23:35:04.059301	2020-04-09 23:36:09.008596	0.9526959977419136	8.280187855144813	128	64	25	256	1.1874079001205886	0.0023408239700374533	0.06554307116104868	0.014044943820224719	0.025749063670411985	57.327715355805246	0.03567536518322574	0.0023408239700374533	0.06554307116104868	0.014044943820224719	0.025749063670411985	57.327715355805246	0.03567536518322574	4246354482	150	0.0023408239700374533	0.06554307116104868	0.014044943820224719	0.025749063670411985	57.327715355805246	0.03567536518322574	47	COMPLETE
48	0.0552434456928839	2020-04-09 23:36:09.035373	2020-04-09 23:36:53.915883	0.5443040389191669	5.858740637628152	128	64	81	512	1.239825020863392	0.0	0.0552434456928839	0.012172284644194757	0.027153558052434457	59.88202247191011	0.03163264759311785	0.0	0.0552434456928839	0.012172284644194757	0.027153558052434457	59.88202247191011	0.03163264759311785	774954146	150	0.0	0.0552434456928839	0.012172284644194757	0.027153558052434457	59.88202247191011	0.03163264759311785	48	COMPLETE
49	0.05898876404494382	2020-04-09 23:36:53.943295	2020-04-09 23:37:46.829579	0.684852612707676	20.360447412547366	128	256	68	512	1.1772445232384185	0.0032771535580524347	0.05898876404494382	0.017322097378277154	0.03136704119850187	56.77621722846442	0.03628112935122271	0.0032771535580524347	0.05898876404494382	0.017322097378277154	0.03136704119850187	56.77621722846442	0.03628112935122271	1467642272	150	0.0032771535580524347	0.05898876404494382	0.017322097378277154	0.03136704119850187	56.77621722846442	0.03628112935122271	49	COMPLETE
50	0.07958801498127341	2020-04-09 23:37:46.859580	2020-04-09 23:41:59.676429	0.5128035203302864	27.55061371445766	64	64	96	256	1.1356748885366967	0.007022471910112359	0.07958801498127341	0.02200374531835206	0.03464419475655431	54.769194756554306	0.042618097068519996	0.007022471910112359	0.07958801498127341	0.02200374531835206	0.03464419475655431	54.76825842696629	0.04261824860226944	4065498548	400	0.007022471910112359	0.07958801498127341	0.02200374531835206	0.03464419475655431	54.77013108614232	0.04261794749115885	50	COMPLETE
51	0.06788389513108614	2020-04-09 23:41:59.715347	2020-04-09 23:43:16.228823	0.22225943628233955	19.01218838174369	64	64	41	512	1.1641472910264026	0.0056179775280898875	0.06788389513108614	0.018258426966292134	0.03323970037453183	56.17462546816479	0.03986077364599915	0.0056179775280898875	0.06788389513108614	0.018258426966292134	0.03323970037453183	56.17462546816479	0.03986077364599915	581208610	250	0.0056179775280898875	0.06788389513108614	0.018258426966292134	0.03323970037453183	56.17462546816479	0.03986077364599915	51	COMPLETE
