number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
36	0.10533707865168539	2020-04-08 20:34:03.927335	2020-04-08 20:34:26.313758	64	128	0.6369630643750298	1.005706188739853	0.012172284644194757	0.10533707865168539	0.026685393258426966	0.04962546816479401	48.574438202247194	0.053288220685947	0.012172284644194757	0.10533707865168539	0.026685393258426966	0.04962546816479401	48.574438202247194	0.053288220685947	430283653	150.0	0.012172284644194757	0.10533707865168539	0.026685393258426966	0.04962546816479401	48.574438202247194	0.053288220685947	36	COMPLETE
37	0.1104868913857678	2020-04-08 20:34:26.324580	2020-04-08 20:34:48.629301	256	128	0.05911961479762628	0.9541960885811053	0.01544943820224719	0.1104868913857678	0.035580524344569285	0.05711610486891386	45.95411985018727	0.06008181452390641	0.01544943820224719	0.1104868913857678	0.035580524344569285	0.05711610486891386	45.95411985018727	0.06008181452390641	1644031323	150.0	0.01544943820224719	0.1104868913857678	0.035580524344569285	0.05711610486891386	45.95411985018727	0.06008181452390641	37	COMPLETE
38	0.10908239700374532	2020-04-08 20:34:48.641327	2020-04-08 20:35:10.912458	128	128	0.8396906922940812	0.9970641990867182	0.012640449438202247	0.10908239700374532	0.033707865168539325	0.05711610486891386	48.102059925093634	0.05624109229064188	0.012640449438202247	0.10908239700374532	0.033707865168539325	0.05711610486891386	48.102059925093634	0.05624109229064188	2692646902	150.0	0.012640449438202247	0.10908239700374532	0.033707865168539325	0.05711610486891386	48.102059925093634	0.05624109229064188	38	COMPLETE
39	0.10346441947565543	2020-04-08 20:35:10.924580	2020-04-08 20:35:36.108226	256	256	0.33966232964195153	1.0104256166635284	0.012640449438202247	0.10346441947565543	0.03885767790262172	0.05758426966292135	48.7373595505618	0.05668921361145873	0.012640449438202247	0.10346441947565543	0.03885767790262172	0.05758426966292135	48.7373595505618	0.05668921361145873	716844853	200.0	0.012640449438202247	0.10346441947565543	0.03885767790262172	0.05758426966292135	48.7373595505618	0.05668921361145873	39	COMPLETE
40	0.10486891385767791	2020-04-08 20:35:36.120006	2020-04-08 20:36:03.933183	128	512	0.0037193689199323692	0.9661618413548386	0.008426966292134831	0.10486891385767791	0.026217228464419477	0.04915730337078652	46.48689138576779	0.052574845663167745	0.008426966292134831	0.10486891385767791	0.026217228464419477	0.04915730337078652	46.48689138576779	0.052574845663167745	3351158961	250.0	0.008426966292134831	0.10486891385767791	0.026217228464419477	0.04915730337078652	46.48689138576779	0.052574845663167745	40	COMPLETE
41	0.3899812734082397	2020-04-08 20:36:03.945206	2020-04-08 20:39:38.507177	256	128	0.01515371933722664	0.43955236253300717	0.05758426966292135	0.3899812734082397	0.15777153558052434	0.2308052434456929	21.002808988764045	0.1636262350151433	0.05758426966292135	0.3899812734082397	0.15777153558052434	0.2308052434456929	21.002808988764045	0.1636262350151433	1410438849		0.05758426966292135	0.3899812734082397	0.15777153558052434	0.2308052434456929	21.002808988764045	0.1636262350151433	41	COMPLETE
42	0.21863295880149813	2020-04-08 20:39:38.525003	2020-04-08 20:43:13.510558	128	128	0.2527965110428559	0.663159053496256	0.027153558052434457	0.21863295880149813	0.06741573033707865	0.11750936329588015	31.73174157303371	0.09673165802438766	0.027153558052434457	0.21863295880149813	0.06741573033707865	0.11750936329588015	31.73174157303371	0.09673165802438766	2999505894		0.027153558052434457	0.21863295880149813	0.06741573033707865	0.11750936329588015	31.73174157303371	0.09673165802438766	42	COMPLETE
43	0.11376404494382023	2020-04-08 20:43:13.524917	2020-04-08 20:43:35.578986	64	128	0.002086890316191248	0.9588180948144753	0.011704119850187267	0.11376404494382023	0.03885767790262172	0.062265917602996254	46.199438202247194	0.05775860167776377	0.011704119850187267	0.11376404494382023	0.03885767790262172	0.062265917602996254	46.199438202247194	0.05775860167776377	2491350007	150.0	0.011704119850187267	0.11376404494382023	0.03885767790262172	0.062265917602996254	46.199438202247194	0.05775860167776377	43	COMPLETE
44	0.0950374531835206	2020-04-08 20:43:35.592348	2020-04-08 20:44:03.488485	64	512	0.009784435084165278	1.0128696656119678	0.009831460674157303	0.0950374531835206	0.027153558052434457	0.04541198501872659	48.86938202247191	0.05097297384276245	0.009831460674157303	0.0950374531835206	0.027153558052434457	0.04541198501872659	48.86938202247191	0.05097297384276245	2992640487	250.0	0.009831460674157303	0.0950374531835206	0.027153558052434457	0.04541198501872659	48.86938202247191	0.05097297384276245	44	COMPLETE
45	0.25280898876404495	2020-04-08 20:44:03.500222	2020-04-08 20:47:37.449574	64	128	0.007502532815894773	0.5852635405828639	0.033707865168539325	0.25280898876404495	0.08707865168539326	0.13764044943820225	27.937265917602996	0.11181708218498555	0.033707865168539325	0.25280898876404495	0.08707865168539326	0.13764044943820225	27.937265917602996	0.11181708218498555	674477824		0.033707865168539325	0.25280898876404495	0.08707865168539326	0.13764044943820225	27.937265917602996	0.11181708218498555	45	COMPLETE
