number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_model.relation_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
10	0.005620221385370307	2020-03-05 21:44:36.828554	2020-03-05 22:35:57.102002	0.78076028725957	7.3108205354103175	256	128	60	0.011179390157743444	128	1.3057483866498978	0.00510669861919434	0.005620221385370307	0.005220814789455666	0.005306401917151661	9360.837384457378	0.0055112574043550055	0.00510669861919434	0.005620221385370307	0.005220814789455666	0.005306401917151661	9360.834132146525	0.00551125824166149	3980193128	150	0.00510669861919434	0.005620221385370307	0.005220814789455666	0.005306401917151661	9360.84063676823	0.005511256571028537	10	COMPLETE
11	0.004849937236106356	2020-03-05 22:35:57.141931	2020-03-05 22:52:33.881365	0.9139212405686792	3.185034995092693	256	64	30	0.0034738698915906673	512	1.1379794758819983	0.0027958461714024875	0.004849937236106356	0.003708775533493096	0.004079653086842406	8144.790183156453	0.0038041375231633134	0.0027958461714024875	0.004849937236106356	0.003708775533493096	0.004079653086842406	8144.787829510442	0.0038041377863352486	930090469	150	0.0027958461714024875	0.004849937236106356	0.003708775533493096	0.004079653086842406	8144.792536802465	0.0038041372602831227	11	COMPLETE
12	0.005477576172543649	2020-03-05 22:52:33.922739	2020-03-05 23:13:15.159224	0.3037409608944319	6.543351086799999	256	128	84	0.0057581716429285605	512	1.2071618688779333	0.005135227661759671	0.005477576172543649	0.005163756704325003	0.005306401917151661	8644.07685724067	0.005563663465182209	0.005135227661759671	0.005477576172543649	0.005163756704325003	0.005306401917151661	8644.074803149606	0.005563663682805682	1895433384	150	0.005135227661759671	0.005477576172543649	0.005163756704325003	0.005306401917151661	8644.078911331735	0.005563663247786746	12	COMPLETE
13	0.005477576172543649	2020-03-05 23:13:15.197500	2020-03-06 00:03:02.633061	0.9425069943293245	7.626435989651464	128	128	28	0.005139224815932215	128	1.378301215813455	0.00510669861919434	0.005477576172543649	0.005220814789455666	0.005363460002282323	9882.75009985165	0.005475838932204772	0.00510669861919434	0.005477576172543649	0.005220814789455666	0.005363460002282323	9882.74788885085	0.005475840077282078	1599621111	150	0.00510669861919434	0.005477576172543649	0.005220814789455666	0.005363460002282323	9882.752310852447	0.005475837795775173	13	COMPLETE
14	0.005249343832020997	2020-03-06 00:03:02.674030	2020-03-06 00:54:25.136947	0.9260634782153365	25.80019951308481	256	128	63	0.04592267838473995	128	1.471377701138346	0.004450530640191715	0.005249343832020997	0.0047072920232796986	0.0049069953212370196	10556.925838753852	0.00490556223544732	0.004450530640191715	0.005249343832020997	0.0047072920232796986	0.0049069953212370196	10556.92080337784	0.004905562362208492	4000748748	150	0.004450530640191715	0.005249343832020997	0.0047072920232796986	0.0049069953212370196	10556.930874129865	0.0049055621087640815	14	COMPLETE
15	0.005563163300239644	2020-03-06 00:54:25.178059	2020-03-06 01:45:19.850407	0.6499635725778897	24.5843056124072	128	256	36	0.016196740174242052	128	1.5862872666648005	0.00510669861919434	0.005563163300239644	0.005192285746890335	0.005277872874586329	11368.375156909735	0.0054290582283385075	0.00510669861919434	0.005563163300239644	0.005192285746890335	0.005277872874586329	11368.371105785689	0.0054290583397942505	2574508798	150	0.00510669861919434	0.005563163300239644	0.005192285746890335	0.005277872874586329	11368.379208033779	0.005429058116991464	15	COMPLETE
16	0.0034520141504051126	2020-03-06 01:45:19.890544	2020-03-06 02:36:40.742567	0.49093703624667184	29.081590312930512	256	64	53	0.017133681348339282	128	1.3631582125194472	0.001797329681615885	0.0034520141504051126	0.0024534976606185098	0.0027387880862718246	9769.17359922401	0.0025509234021730927	0.001797329681615885	0.0034520141504051126	0.0024534976606185098	0.0027387880862718246	9769.167294305604	0.0025509244948869105	4282955430	150	0.001797329681615885	0.0034520141504051126	0.0024534976606185098	0.0027387880862718246	9769.179904142416	0.0025509223160719895	16	COMPLETE
17	0.005563163300239644	2020-03-06 02:36:40.783322	2020-03-06 03:26:58.119641	0.9862981461221528	26.03867457634974	128	128	60	0.05510277913741746	128	1.5700489294496118	0.005049640534063677	0.005563163300239644	0.005220814789455666	0.005306401917151661	11227.196251283807	0.005355477624886433	0.005049640534063677	0.005563163300239644	0.005220814789455666	0.005306401917151661	11227.17616683784	0.005355477831653516	2750898395	150	0.005049640534063677	0.005563163300239644	0.005220814789455666	0.005306401917151661	11227.216335729772	0.005355477418171921	17	COMPLETE
18	0.005420518087412987	2020-03-06 03:26:58.159228	2020-03-06 03:54:05.441195	0.7451223029116616	28.170509490765212	128	128	8	0.024125831108778088	256	1.4655772391216058	0.00510669861919434	0.005420518087412987	0.005163756704325003	0.005249343832020997	10519.9775476435	0.005432834319396139	0.00510669861919434	0.005420518087412987	0.005163756704325003	0.005249343832020997	10519.975607668606	0.005432834447330094	4255963835	150	0.00510669861919434	0.005420518087412987	0.005163756704325003	0.005249343832020997	10519.979487618395	0.005432834191595367	18	COMPLETE
19	0.005591692342804975	2020-03-06 03:54:05.480165	2020-03-06 04:44:57.955412	0.8546272502831134	26.37800307296174	64	256	89	0.0020036293290593508	128	1.1777879727930312	0.005135227661759671	0.005591692342804975	0.005306401917151661	0.005391989044847655	8432.057528814334	0.00565374769136037	0.005135227661759671	0.005591692342804975	0.005306401917151661	0.005391989044847655	8432.054804290769	0.005653748251932291	1057602583	150	0.005135227661759671	0.005591692342804975	0.005306401917151661	0.005391989044847655	8432.060253337899	0.005653747132809089	19	COMPLETE
