number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
42	0.10018726591760299	2020-04-26 15:41:24.788774	2020-04-26 15:41:59.658860	64	128	0.2784126635769313	1.0007170787715955	0.0014044943820224719	0.10018726591760299	0.026685393258426966	0.05290262172284644	48.27247191011236	0.04900075738396606	0.03838951310861423	0.11470037453183521	0.047752808988764044	0.06788389513108614	46.85440074906367	0.07612981064537971	1945666338	150	0.0014044943820224719	0.0852059925093633	0.01638576779026217	0.03698501872659176	49.69054307116105	0.042192560509580875	42	COMPLETE
43	0.10159176029962547	2020-04-26 15:41:59.685503	2020-04-26 15:42:59.067770	256	256	0.0046072484700602385	0.9970649451571988	0.00046816479400749064	0.10159176029962547	0.023876404494382022	0.05383895131086142	48.14255617977528	0.04698878947325926	0.054307116104868915	0.13389513108614232	0.060861423220973786	0.075374531835206	45.63998127340824	0.09020874594903594	2160328159	200	0.00046816479400749064	0.08146067415730338	0.0046816479400749065	0.026217228464419477	50.64513108614232	0.03742628962577657	43	COMPLETE
44	0.10486891385767791	2020-04-26 15:42:59.094862	2020-04-26 15:43:47.625148	256	128	0.05296606501685787	1.0079540222611152	0.0	0.10486891385767791	0.02200374531835206	0.05337078651685393	48.6502808988764	0.04680594224758241	0.04962546816479401	0.1343632958801498	0.05852059925093633	0.07350187265917603	46.16573033707865	0.08656799582943234	368489552	150	0.0	0.0800561797752809	0.009831460674157303	0.024812734082397005	51.13483146067416	0.03742869055535554	44	COMPLETE
45	0.10065543071161048	2020-04-26 15:43:47.652342	2020-04-26 15:44:25.243375	128	128	0.0015049324696212963	1.013819894168268	0.00046816479400749064	0.10065543071161048	0.02153558052434457	0.05290262172284644	48.901451310861425	0.04654686854352703	0.04400749063670412	0.12827715355805244	0.05290262172284644	0.06975655430711611	46.86704119850187	0.08112826606469012	236959038	150	0.00046816479400749064	0.08192883895131087	0.009831460674157303	0.02762172284644195	50.93586142322097	0.03842433812695239	45	COMPLETE
46	0.10299625468164794	2020-04-26 15:44:25.265119	2020-04-26 15:45:40.323346	128	128	0.011167816715470817	0.9797696780818008	0.0	0.10299625468164794	0.025280898876404494	0.054775280898876406	47.2560861423221	0.047727546823010135	0.04541198501872659	0.12780898876404495	0.05383895131086142	0.07303370786516854	45.19522471910113	0.08358878230078641	2636535574	250	0.0	0.08380149812734082	0.008426966292134831	0.033707865168539325	49.316947565543074	0.03911983106392697	46	COMPLETE
47	0.10018726591760299	2020-04-26 15:45:40.350409	2020-04-26 15:46:40.309430	64	512	0.0022820609753371355	1.0106810642657487	0.0028089887640449437	0.10018726591760299	0.035580524344569285	0.0599250936329588	48.74016853932584	0.051003088008018845	0.04681647940074907	0.11938202247191011	0.05196629213483146	0.06741573033707865	47.45973782771536	0.08135191521082538	3156999548	350	0.0028089887640449437	0.09082397003745318	0.01638576779026217	0.04541198501872659	50.02059925093633	0.043358586620399646	47	COMPLETE
48	0.09784644194756555	2020-04-26 15:46:40.334698	2020-04-26 15:47:36.974230	128	128	0.5227678256064213	1.011888220712668	0.0009363295880149813	0.09784644194756555	0.025749063670411985	0.04588014981273408	48.81624531835206	0.04656347757473046	0.04400749063670412	0.1203183520599251	0.04868913857677903	0.06554307116104868	46.87078651685393	0.07928872252434357	3029407592	200	0.0009363295880149813	0.08286516853932584	0.009831460674157303	0.02762172284644195	50.76170411985019	0.03846092132909151	48	COMPLETE
49	0.10814606741573034	2020-04-26 15:47:36.995167	2020-04-26 15:49:02.322412	64	128	0.594063090184424	0.99074142420497	0.0014044943820224719	0.10814606741573034	0.030430711610486893	0.05196629213483146	47.77036516853933	0.0493253792532398	0.03464419475655431	0.12125468164794008	0.04541198501872659	0.06413857677902622	46.44054307116105	0.07356670204651795	1086683074	300	0.0014044943820224719	0.09129213483146068	0.0149812734082397	0.03838951310861423	49.100187265917604	0.04239497051510157	49	COMPLETE
50	0.10814606741573034	2020-04-26 15:49:02.348949	2020-04-26 15:49:38.454074	64	128	0.006503835571992742	0.9787018164488303	0.0028089887640449437	0.10814606741573034	0.02902621722846442	0.05758426966292135	47.20692883895131	0.051273373137056155	0.040262172284644196	0.12921348314606743	0.05056179775280899	0.06975655430711611	45.83239700374532	0.079148155993964	1554587075	150	0.0028089887640449437	0.09316479400749064	0.015917602996254682	0.03838951310861423	48.581460674157306	0.04417099880598347	50	COMPLETE
51	0.09737827715355805	2020-04-26 15:49:38.488291	2020-04-26 15:50:16.183141	256	512	0.0034360045240385407	1.0085796454994616	0.0009363295880149813	0.09737827715355805	0.025280898876404494	0.05149812734082397	48.681179775280896	0.046851364722866586	0.054775280898876406	0.12172284644194757	0.060393258426966294	0.07443820224719101	46.234082397003746	0.08934280638648569	2840966081	150	0.0009363295880149813	0.07397003745318352	0.007958801498127341	0.027153558052434457	51.12827715355805	0.03726496495232179	51	COMPLETE
52	0.10627340823970037	2020-04-26 15:50:16.215667	2020-04-26 15:50:45.576381	128	256	0.0017092225181060802	1.0032627574056527	0.0	0.10627340823970037	0.02762172284644195	0.060393258426966294	48.43328651685393	0.048390002592759766	0.04962546816479401	0.1352996254681648	0.05945692883895131	0.0749063670411985	46.45739700374532	0.08665342734267382	359762289	150	0.0	0.08801498127340825	0.010767790262172285	0.03464419475655431	50.409176029962545	0.039673637074465085	52	COMPLETE
53	0.0997191011235955	2020-04-26 15:50:45.603403	2020-04-26 15:51:54.327424	64	128	0.1501182945385917	1.0200802098719006	0.0032771535580524347	0.0997191011235955	0.030430711610486893	0.05056179775280899	49.31788389513109	0.04973195500208595	0.03838951310861423	0.11797752808988764	0.04447565543071161	0.06179775280898876	47.921816479400746	0.07457911414708032	2972276869	250	0.0032771535580524347	0.08614232209737828	0.01638576779026217	0.03745318352059925	50.713951310861425	0.04276003563880275	53	COMPLETE
54	0.09176029962546817	2020-04-26 15:51:54.374463	2020-04-26 15:52:33.580442	128	128	0.38763749470354514	1.0086234878924805	0.0	0.09176029962546817	0.018258426966292134	0.047752808988764044	48.600421348314605	0.045409576189510484	0.047752808988764044	0.1203183520599251	0.05196629213483146	0.06882022471910113	46.53838951310861	0.08290666453864828	2095033765	150	0.0	0.07397003745318352	0.00749063670411985	0.02247191011235955	50.6624531835206	0.03699388609815871	54	COMPLETE
55	0.09550561797752809	2020-04-26 15:52:33.640890	2020-04-26 15:52:59.336093	128	512	0.05618200774076346	1.017994754528278	0.0009363295880149813	0.09550561797752809	0.02855805243445693	0.054307116104868915	49.13576779026217	0.046998686301937195	0.04681647940074907	0.11704119850187265	0.05337078651685393	0.06694756554307116	47.16385767790262	0.08128593243446994	2585502843	150	0.0009363295880149813	0.07911985018726592	0.012640449438202247	0.032303370786516857	51.107677902621724	0.03867843524828229	55	COMPLETE
56	0.0950374531835206	2020-04-26 15:52:59.357085	2020-04-26 15:53:40.060699	256	256	0.9637788734302387	1.007584377931438	0.00046816479400749064	0.0950374531835206	0.026217228464419477	0.05383895131086142	48.60510299625468	0.04674228563624258	0.05290262172284644	0.12312734082397003	0.05711610486891386	0.07162921348314606	46.14887640449438	0.08786641874541684	3541619334	150	0.00046816479400749064	0.07443820224719101	0.008895131086142321	0.027153558052434457	51.06132958801498	0.03730238212348211	56	COMPLETE
57	0.09691011235955056	2020-04-26 15:53:40.082096	2020-04-26 15:54:17.975785	256	512	0.2542384056165914	1.0075337089204024	0.0009363295880149813	0.09691011235955056	0.02153558052434457	0.05149812734082397	48.640215355805246	0.045527745158777784	0.05852059925093633	0.12640449438202248	0.060861423220973786	0.07209737827715355	46.20365168539326	0.09141728211333157	580312123	150	0.0009363295880149813	0.07069288389513109	0.00749063670411985	0.02247191011235955	51.07677902621723	0.03633996658496942	57	COMPLETE
