number	value	datetime_start	datetime_complete	params_loss.margin	params_model.embedding_dim	params_model.feature_map_dropout	params_model.input_dropout	params_model.output_channels	params_model.output_dropout	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
10	0.6156367041198502	2020-05-14 21:36:10.736193	2020-05-14 22:04:57.086722	7.94845247866668	128	0.038640937952198195	0.2608022544939751	59	0.1150621112364193	75	0.004814502112906291	512	0.23387403620061664	0.11750936329588015	0.6156367041198502	0.274812734082397	0.39185393258426965	11.291198501872659	0.2612050357567736	0.11750936329588015	0.6156367041198502	0.274812734082397	0.39185393258426965	11.291198501872659	0.2612050357567736		516517515.0	200.0	0.11750936329588015	0.6156367041198502	0.274812734082397	0.39185393258426965	11.291198501872659	0.2612050357567736	10		COMPLETE
11	0.6226591760299626	2020-05-14 22:04:57.166935	2020-05-14 22:37:38.815554	8.83295013277678	128	0.1313756331819676	0.08884360383130685	48	0.3671179565450813	97	0.004914409714301445	512	0.24794260166717993	0.11235955056179775	0.6226591760299626	0.273876404494382	0.4035580524344569	11.926029962546817	0.25953440176470777	0.11235955056179775	0.6226591760299626	0.273876404494382	0.4035580524344569	11.926029962546817	0.25953440176470777		3782560867.0	200.0	0.11235955056179775	0.6226591760299626	0.273876404494382	0.4035580524344569	11.926029962546817	0.25953440176470777	11		COMPLETE
12	0.20973782771535582	2020-05-14 22:37:38.912804	2020-05-14 23:13:15.560986	6.745037673244606	256	0.4733005958723279	0.016330872716383393	29	0.43361507376356695	84	0.010808406312205848	256	0.6723607386172878	0.017322097378277154	0.20973782771535582	0.0599250936329588	0.09784644194756555	32.47799625468165	0.08591407524648584	0.017322097378277154	0.20973782771535582	0.0599250936329588	0.09784644194756555	32.47799625468165	0.08591407524648584		2166434714.0	200.0	0.017322097378277154	0.20973782771535582	0.0599250936329588	0.09784644194756555	32.47799625468165	0.08591407524648584	12		COMPLETE
13	0.10720973782771535	2020-05-14 23:13:15.674390	2020-05-14 23:18:53.514140	7.559496624156772	128	0.26858593487504423	0.4749523632265934	21	0.08003401280688222	27	0.07601516544720346	128	0.9937972534781022	0.011235955056179775	0.10720973782771535	0.03464419475655431	0.05383895131086142	47.88857677902622	0.055941784426666086	0.011235955056179775	0.10720973782771535	0.03464419475655431	0.05383895131086142	47.88857677902622	0.055941784426666086		1621201635.0	150.0	0.011235955056179775	0.10720973782771535	0.03464419475655431	0.05383895131086142	47.88857677902622	0.055941784426666086	13		COMPLETE
14	0.27808988764044945	2020-05-14 23:18:53.679870	2020-05-14 23:27:09.288356	1.3684800665613421	256	0.19928063294957576	0.4819979097529139	21	0.19422311979867873	18	0.0043875389547667456	256	0.626295373707919	0.03838951310861423	0.27808988764044945	0.0950374531835206	0.16151685393258428	30.31179775280899	0.11841688615898774	0.03838951310861423	0.27808988764044945	0.0950374531835206	0.16151685393258428	30.31179775280899	0.11841688615898774		1569249483.0	200.0	0.03838951310861423	0.27808988764044945	0.0950374531835206	0.16151685393258428	30.31179775280899	0.11841688615898774	14		COMPLETE
15	0.19288389513108614	2020-05-14 23:27:09.601644	2020-05-14 23:32:32.033701	6.607672020612716	64	0.24094729943429216	0.3160333075444797	17	0.3248456423057158	37	0.007353568608422964	512	0.6899717698477152	0.024812734082397005	0.19288389513108614	0.06179775280898876	0.10112359550561797	33.364700374531836	0.08868020770960967	0.024812734082397005	0.19288389513108614	0.06179775280898876	0.10112359550561797	33.364700374531836	0.08868020770960967		2642313660.0	200.0	0.024812734082397005	0.19288389513108614	0.06179775280898876	0.10112359550561797	33.364700374531836	0.08868020770960967	15		COMPLETE
16	0.30102996254681647	2020-05-14 23:32:32.136519	2020-05-14 23:45:15.120223	4.643206740808215	64	0.04949304034186364	0.39754145140577224	43	0.49931401541811543	72	0.07199977559514407	512	0.6109614046482362	0.0749063670411985	0.30102996254681647	0.15589887640449437	0.21301498127340823	29.38998127340824	0.15888304623746896	0.0749063670411985	0.30102996254681647	0.15589887640449437	0.21301498127340823	29.38998127340824	0.15888304623746896		484993283.0	200.0	0.0749063670411985	0.30102996254681647	0.15589887640449437	0.21301498127340823	29.38998127340824	0.15888304623746896	16		COMPLETE
17	0.19428838951310862	2020-05-14 23:45:15.232442	2020-05-14 23:53:31.599783	5.2914749822773555	64	0.054848768202553355	0.3118806287441409	42	0.004493406641233599	38	0.01755211392069806	256	0.7802609640586954	0.02153558052434457	0.19428838951310862	0.05852059925093633	0.09878277153558053	37.53183520599251	0.08344976304872208	0.02153558052434457	0.19428838951310862	0.05852059925093633	0.09878277153558053	37.53183520599251	0.08344976304872208		702439103.0	200.0	0.02153558052434457	0.19428838951310862	0.05852059925093633	0.09878277153558053	37.53183520599251	0.08344976304872208	17		COMPLETE
18	0.4091760299625468	2020-05-14 23:53:31.709542	2020-05-15 00:30:38.511701	4.324840698076124	256	0.009116235798248218	0.4835967201416554	43	0.4783106977871994	60	0.0019305213143208262	128	0.41895423359621303	0.05149812734082397	0.4091760299625468	0.15308988764044945	0.23923220973782772	20.119850187265918	0.16020831125880125	0.05149812734082397	0.4091760299625468	0.15308988764044945	0.23923220973782772	20.119850187265918	0.16020831125880125		88446627.0	200.0	0.05149812734082397	0.4091760299625468	0.15308988764044945	0.23923220973782772	20.119850187265918	0.16020831125880125	18		COMPLETE
19	0.20318352059925093	2020-05-15 00:30:38.624257	2020-05-15 00:49:49.144990	6.134927736615023	256	0.23477100195186718	0.45728231922868484	34	0.016068477971075523	37	0.04613102100295244	256	0.7371032888580755	0.024344569288389514	0.20318352059925093	0.06601123595505617	0.11142322097378277	35.6502808988764	0.09063862552795475	0.024344569288389514	0.20318352059925093	0.06601123595505617	0.11142322097378277	35.6502808988764	0.09063862552795475		1040217905.0	200.0	0.024344569288389514	0.20318352059925093	0.06601123595505617	0.11142322097378277	35.6502808988764	0.09063862552795475	19		COMPLETE
