number	value	datetime_start	datetime_complete	params_loss.margin	params_model.embedding_dim	params_model.feature_map_dropout	params_model.input_dropout	params_model.output_channels	params_model.output_dropout	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
10	0.012039660056657223	2020-05-12 10:07:37.691201	2020-05-12 10:52:32.677976	0.9791042050896986	128	0.46534338010780135	0.32183607801929576	19	0.14236384614184922	19	0.06889522626625201	128	0.8469247552460286	0.0010623229461756375	0.012039660056657223	0.0030099150141643057	0.005842776203966006	17168.251770538245	0.004925742015352188	0.5010623229461756	0.5120396600566572	0.5030099150141643	0.505842776203966	7034.06126062323	0.5049010842823386	2114439422	250	0.0010623229461756375	0.012039660056657223	0.0030099150141643057	0.005842776203966006	27302.44228045326	0.004913398366581999	10	COMPLETE
11	0.007259206798866855	2020-05-12 10:52:32.714644	2020-05-12 12:30:45.772044	8.112321581234843	128	0.2680469039786679	0.13266393204536459	24	0.23709619020947786	71	0.021413756198809634	128	0.9193590423884376	0.001593484419263456	0.007259206798866855	0.003186968838526912	0.004072237960339943	18637.216182719545	0.0038195822355822032	0.001593484419263456	0.007259206798866855	0.003186968838526912	0.004072237960339943	18637.214058073656	0.003819582247052185	954423399	250	0.001593484419263456	0.007259206798866855	0.003186968838526912	0.004072237960339943	18637.218307365438	0.0038195822241134988	11	COMPLETE
12	0.007082152974504249	2020-05-12 12:30:45.809239	2020-05-12 12:46:53.876138	6.901959790726333	128	0.48297296287212127	0.4379381346850463	22	0.47525346179527495	11	0.004459234938545423	256	0.9540258311103385	0.00017705382436260624	0.007082152974504249	0.0017705382436260624	0.0030099150141643057	19339.843218838527	0.002694372407929478	0.00017705382436260624	0.007082152974504249	0.0017705382436260624	0.0030099150141643057	19339.84206798867	0.00269437300562635	1974679340	150	0.00017705382436260624	0.007082152974504249	0.0017705382436260624	0.0030099150141643057	19339.844369688384	0.0026943718116640694	12	COMPLETE
13	0.0030099150141643057	2020-05-12 12:46:53.916535	2020-05-12 13:07:11.287500	1.3121139621326043	256	0.043562552453153824	0.05251635805145938	29	0.06520187884715634	4	0.025890013141062568	512	0.716301864758678	0.0005311614730878187	0.0030099150141643057	0.00141643059490085	0.0019475920679886685	14520.71715651558	0.002063616473161282	0.0005311614730878187	0.0030099150141643057	0.00141643059490085	0.0019475920679886685	14520.716536827196	0.0020636164759596197	4234743568	150	0.0005311614730878187	0.0030099150141643057	0.00141643059490085	0.0019475920679886685	14520.717776203966	0.0020636164703631728	13	COMPLETE
14	0.007790368271954674	2020-05-12 13:07:11.402550	2020-05-12 13:56:58.934023	3.0328579631006907	128	0.07058788766392754	0.22151527245463604	34	0.2668275317731304	70	0.005811419444218514	512	0.7743986958495975	0.00141643059490085	0.007790368271954674	0.0035410764872521247	0.005842776203966006	15697.49433427762	0.004478831757729715	0.00141643059490085	0.007790368271954674	0.0035410764872521247	0.005842776203966006	15697.492386685552	0.0044788317733274	2473116306	150	0.00141643059490085	0.007790368271954674	0.0035410764872521247	0.005842776203966006	15697.496281869688	0.0044788317421341215	14	COMPLETE
15	0.007790368271954674	2020-05-12 13:56:58.972615	2020-05-12 14:10:51.448018	0.849057014014297	64	0.22925494706009836	0.36606788464804635	23	0.30675984950859075	21	0.0049681072903454025	256	0.8852539129782705	0.0012393767705382436	0.007790368271954674	0.0056657223796034	0.006373937677053824	17946.949185552407	0.005272016595718717	0.006550991501416431	0.010623229461756374	0.0084985835694051	0.009206798866855524	17942.539837110482	0.00892920311898819	3080809570	150	0.0012393767705382436	0.007790368271954674	0.0056657223796034	0.006373937677053824	17951.358533994335	0.004857906793704409	15	COMPLETE
16	0.005488668555240793	2020-05-12 14:10:51.486340	2020-05-12 16:47:55.525419	9.425756848962578	256	0.07628222343745705	0.013494312840185818	25	0.4579158761904929	62	0.0026160553472154846	128	1.0007204966717431	0.0003541076487252125	0.005488668555240793	0.0012393767705382436	0.0017705382436260624	20287.458657932013	0.002025567897625019	0.0003541076487252125	0.005488668555240793	0.0012393767705382436	0.0017705382436260624	20287.45095609065	0.0020255679891492307	3589037807	250	0.0003541076487252125	0.005488668555240793	0.0012393767705382436	0.0017705382436260624	20287.46635977337	0.0020255678061273236	16	COMPLETE
17	0.016111898016997167	2020-05-12 16:47:55.565377	2020-05-12 17:38:36.284022	2.9769019545144593	128	0.12113097209156709	0.0871708999300696	55	0.4393079017544185	53	0.030115465767040293	256	0.8580099639637226	0.0008852691218130312	0.016111898016997167	0.005842776203966006	0.009383852691218131	17393.24796388102	0.006791101559108612	0.16519121813031162	0.18077195467422097	0.1703257790368272	0.17386685552407932	14463.88597733711	0.17120161591298658	504425176	150	0.0008852691218130312	0.016111898016997167	0.005842776203966006	0.009383852691218131	20322.60995042493	0.006786473947482171	17	COMPLETE
18	0.004426345609065156	2020-05-12 17:38:36.327595	2020-05-12 18:56:49.567280	7.768154361485382	128	0.4323010905044073	0.4182625035666573	51	0.3763612961835336	44	0.014356287751200124	512	0.9500405314630201	0.00017705382436260624	0.004426345609065156	0.0005311614730878187	0.000708215297450425	19260.581887393768	0.002426034362329455	0.00017705382436260624	0.004426345609065156	0.0005311614730878187	0.000708215297450425	19260.575247875353	0.0024260345145913896	1618697025	250	0.00017705382436260624	0.004426345609065156	0.0005311614730878187	0.000708215297450425	19260.588526912183	0.002426034210155785	18	COMPLETE
19	0.01080028328611898	2020-05-12 18:56:49.605906	2020-05-12 19:39:51.519899	1.9983177775983667	256	0.3901257311663624	0.2039028595728673	39	0.24109604046823907	12	0.0039372286184529495	128	0.89297353194721	0.002478753541076487	0.01080028328611898	0.0060198300283286115	0.007790368271954674	18102.009206798866	0.006137557492903654	0.004072237960339943	0.012393767705382436	0.007613314447592068	0.009383852691218131	18088.53859773371	0.0077308341131612215	1569448771	150	0.002478753541076487	0.01080028328611898	0.0060198300283286115	0.007790368271954674	18115.479815864022	0.006137451731041251	19	COMPLETE
20	0.0313385269121813	2020-05-12 19:39:51.560494	2020-05-12 20:13:10.470153	8.188428125519353	128	0.05979738718528127	0.36631890648296644	30	0.01585490286161817	27	0.0028428790099912786	512	0.5495111911279217	0.012393767705382436	0.0313385269121813	0.021246458923512748	0.026203966005665724	11138.487517705382	0.020847133289165407	0.012393767705382436	0.0313385269121813	0.021246458923512748	0.026203966005665724	11138.486543909348	0.020847133370357065	3011321085	200	0.012393767705382436	0.0313385269121813	0.021246458923512748	0.026203966005665724	11138.488491501417	0.02084713320804608	20	COMPLETE
21	0.010092067988668555	2020-05-12 20:13:10.513771	2020-05-12 21:50:27.305057	4.874001641782022	128	0.18338797723129596	0.38086578856219694	51	0.12406110267245835	47	0.022988645564632124	128	0.86406474665537	0.00017705382436260624	0.010092067988668555	0.0012393767705382436	0.004072237960339943	17516.184047450424	0.004190888509658876	0.00017705382436260624	0.010092067988668555	0.0012393767705382436	0.004072237960339943	9388.773194050991	0.005104790207471703	4036029071	250	0.00017705382436260624	0.010092067988668555	0.0012393767705382436	0.004072237960339943	25643.594900849857	0.004181012647806966	21	COMPLETE
