number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_optimizer.lr	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
10	0.17939061965080452	2020-05-13 23:45:36.733066	2020-05-14 00:43:02.439356	256	0.036869732210100724	256	0.007285402050215947	0.42715786341039846	0.08478831450416524	0.17939061965080452	0.12615542622389592	0.14720985963711058	3013.7861035033666	0.11727430025841835	0.08478831450416524	0.17939061965080452	0.12615542622389592	0.14720985963711058	3013.7860036517172	0.11727430028957204		1684230360.0	150.0	0.08478831450416524	0.17939061965080452	0.12615542622389592	0.14720985963711058	3013.7862033550155	0.11727430022729732	10		COMPLETE
11		2020-05-14 00:43:02.480257	2020-05-14 00:43:12.010128	128	0.001118943378441982	256	0.060111896353131494														CUDA out of memory. Tried to allocate 454.00 MiB (GPU 0; 31.75 GiB total capacity; 28.92 GiB already allocated; 422.50 MiB free; 1.62 GiB cached; 0 bytes inactive)									11	Setting status of trial#11 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
12	0.17722241241583933	2020-05-14 00:43:12.017385	2020-05-14 02:37:01.879550	256	0.0758542352591699	512	0.0017156717231941831	0.3997509925401483	0.08050895811936551	0.17722241241583933	0.12181901175396553	0.14427136825288142	2821.689033436038	0.11365359359746727	0.08050895811936551	0.17722241241583933	0.12181901175396553	0.14427136825288142	2821.68894784891	0.11365359363372002		1302430660.0	250.0	0.08050895811936551	0.17722241241583933	0.12181901175396553	0.14427136825288142	2821.6891190231654	0.11365359356124811	12		COMPLETE
13	0.2490014835102134	2020-05-14 02:37:01.919125	2020-05-14 03:08:05.149683	64	0.025047897944569613	512	0.0015927921106321612	0.19926816465769584	0.11494351249572064	0.2490014835102134	0.17108866826429306	0.20275590551181102	1393.5625641903457	0.16066287182414868	0.11494351249572064	0.2490014835102134	0.17108866826429306	0.20275590551181102	1393.562478603218	0.16066287468044996		3521217757.0	200.0	0.11494351249572064	0.2490014835102134	0.17108866826429306	0.20275590551181102	1393.5626497774736	0.16066286900432525	13		COMPLETE
14	0.3325915782266347	2020-05-14 03:08:05.189402	2020-05-14 04:34:04.455186	256	0.0035666877566718283	256	0.03726044699715989	0.09820879265502626	0.14127581878352163	0.3325915782266347	0.21941686636996463	0.2657195024534977	679.4548527901403	0.2043801987818108	0.14127581878352163	0.3325915782266347	0.21941686636996463	0.2657195024534977	679.454781467534	0.20438031158998862		2784237380.0	200.0	0.14127581878352163	0.3325915782266347	0.21941686636996463	0.2657195024534977	679.4549241127468	0.20438009537060114	14		COMPLETE
15		2020-05-14 04:34:04.512129	2020-05-14 04:34:14.157217	128	0.0774963591275538	256	0.9271567559838105														CUDA out of memory. Tried to allocate 454.00 MiB (GPU 0; 31.75 GiB total capacity; 28.92 GiB already allocated; 422.50 MiB free; 1.62 GiB cached; 0 bytes inactive)									15	Setting status of trial#15 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
16		2020-05-14 04:34:14.167729	2020-05-14 04:34:23.401545	128	0.042739784825630046	128	0.10952819176739638														CUDA out of memory. Tried to allocate 454.00 MiB (GPU 0; 31.75 GiB total capacity; 28.92 GiB already allocated; 422.50 MiB free; 1.62 GiB cached; 0 bytes inactive)									16	Setting status of trial#16 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
17	0.33193541024763207	2020-05-14 04:34:23.410192	2020-05-14 05:15:43.770677	64	0.0017899129031901189	512	0.010697359897992607	0.08042852530024139	0.14658222070067328	0.33193541024763207	0.2227547643501084	0.26717448362432955	561.2703554718704	0.2086158082721064	0.14658222070067328	0.33193541024763207	0.2227547643501084	0.26717448362432955	561.2702270911789	0.20861580873272115		3978493792.0	250.0	0.14658222070067328	0.33193541024763207	0.2227547643501084	0.26717448362432955	561.2704838525619	0.20861580781319364	17		COMPLETE
18	0.3351306630149492	2020-05-14 05:15:43.808741	2020-05-14 05:47:55.368640	64	0.0011904392958915627	256	0.23225565504498139	0.12774397683217525	0.14843660846741982	0.3351306630149492	0.2277188177564761	0.2724523564989159	880.2806401917152	0.21039828542495956	0.14843660846741982	0.3351306630149492	0.2277188177564761	0.2724523564989159	880.2805546045875	0.21039828543805544		2870875986.0	200.0	0.14843660846741982	0.3351306630149492	0.2277188177564761	0.2724523564989159	880.2807257788429	0.21039828541187075	18		COMPLETE
19	0.359551523450873	2020-05-14 05:47:55.423319	2020-05-14 07:13:32.168406	256	0.005996087669758142	512	0.5596625230127544	0.1217707835334549	0.15633915325801667	0.359551523450873	0.24001483510213398	0.28743010384571493	838.1573519342691	0.22297322382542867	0.15633915325801667	0.359551523450873	0.24001483510213398	0.28743010384571493	838.1572520826201	0.22297322387293966		220006176.0	200.0	0.15633915325801667	0.359551523450873	0.24001483510213398	0.28743010384571493	838.157451785918	0.22297322377795897	19		COMPLETE
