number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
9	TrialState.COMPLETE	0.3875323315679271	2020-01-05 23:57:34.562408	2020-01-06 01:22:10.471710	0.8223212845506214	29.36834131012985	350.0	10.0	0.005067326391861185	1100.0	0.48397427576829016	0.13269029437122798	0.3875323315679271	0.318004064539968	0.3586571622120951	9810.015580736545	0.23216115302196372	0.13269029437122798	0.3875323315679271	0.318004064539968	0.3586571622120951	9810.011762532331	0.23216116974548728	0.13269029437122798	0.3875323315679271	0.318004064539968	0.3586571622120951	9810.019398940756	0.23216113733340468	9																
10	TrialState.COMPLETE	0.018477980942570176	2020-01-06 01:22:10.472826	2020-01-06 01:52:18.538530	0.3297049865029127	24.332856959599933	50.0	10.0	0.0015513873813483407	500.0	0.6604787053243346	0.004603399433427762	0.018477980942570176	0.008595158382693794	0.011798223023435488	13389.155244012361	0.010051140453041573	0.004603399433427762	0.018477980942570176	0.008595158382693794	0.011798223023435488	13389.151171774402	0.010051140657852977	0.004603399433427762	0.018477980942570176	0.008595158382693794	0.011798223023435488	13389.159316250321	0.010051140248425247	10			0.016918476550204595	0.017776203966005665												
11	TrialState.COMPLETE	0.27846140226628896	2020-01-06 01:52:18.539375	2020-01-06 02:37:34.082442	0.22313036218216814	2.1132696585758914	450.0	70.0	0.08905619999778004	1700.0	0.4609828969907678	0.08612193106704438	0.27846140226628896	0.2028004013220019	0.24244570349386213	9344.54266259443	0.15501600294464116	0.08612193106704438	0.27846140226628896	0.2028004013220019	0.24244570349386213	9344.537800991502	0.15501611290969938	0.08612193106704438	0.27846140226628896	0.2028004013220019	0.24244570349386213	9344.547524197356	0.1550159050456557	11				0.2776381019830028	0.2780871748647953											
12	TrialState.COMPLETE	0.3161296033994334	2020-01-06 02:37:34.083978	2020-01-06 03:24:40.271904	0.5755207669069284	22.710285007332295	350.0	10.0	0.031895401124837915	1600.0	0.42411205452897327	0.005906009712666936	0.3161296033994334	0.21237606232294617	0.2733837515176042	8596.591947845001	0.11818355981499745	0.005906009712666936	0.3161296033994334	0.21237606232294617	0.2733837515176042	8596.590095103196	0.11818357823535493	0.005906009712666936	0.3161296033994334	0.21237606232294617	0.2733837515176042	8596.593800586807	0.11818354199030646	12						0.31475743626062325	0.3154962954892133									
13	TrialState.COMPLETE	0.38166902738432484	2020-01-06 03:24:40.273625	2020-01-06 04:30:43.063921	0.5669583204308718	4.371731363116023	150.0	20.0	0.005229196839690787	1800.0	0.41453387158489385	0.13822001888574126	0.38166902738432484	0.31421152030217187	0.3534331579657359	8402.035929279644	0.2332332821490406	0.13822001888574126	0.38166902738432484	0.31421152030217187	0.3534331579657359	8402.034668825037	0.23323328219566966	0.13822001888574126	0.38166902738432484	0.31421152030217187	0.3534331579657359	8402.03718973425	0.23323328210246086	13													0.3810291486506635	0.3813650849858357		
14	TrialState.COMPLETE	0.38402042642015805	2020-01-06 04:30:43.066303	2020-01-06 05:42:57.322246	0.6888266459124908	14.958822986343536	450.0	10.0	0.0040981639534318345	1100.0	0.41031190968795556	0.14293834799463248	0.38402042642015805	0.3176438795288505	0.3567541374683167	8316.550301923364	0.23712407603819166	0.14293834799463248	0.38402042642015805	0.3176438795288505	0.3567541374683167	8316.546444013717	0.23712407618622142	0.14293834799463248	0.38402042642015805	0.3176438795288505	0.3567541374683167	8316.554159833011	0.23712407589037085	14											0.38245709048491916	0.3832821844507397				
15	TrialState.COMPLETE	0.3359193922225084	2020-01-06 05:42:57.323332	2020-01-06 06:14:30.097478	0.1344413268704855	13.882991794871055	150.0	20.0	0.015965562446758202	1200.0	0.37559054240767786	0.05672160700489312	0.3359193922225084	0.23549768220448108	0.2953901622456863	7612.905694694824	0.15538517163722101	0.05672160700489312	0.3359193922225084	0.23549768220448108	0.2953901622456863	7612.903972443986	0.15538517197416823	0.05672160700489312	0.3359193922225084	0.23549768220448108	0.2953901622456863	7612.907416945661	0.15538517130203122	15			0.33683506452628265	0.3363314447592068												
16	TrialState.COMPLETE	0.3417659556740543	2020-01-06 06:14:30.099010	2020-01-06 07:10:53.196745	0.4671914467571485	11.119744851892188	150.0	80.0	0.021904620716441798	800.0	0.3143408549306325	0.02661014830861523	0.3417659556740543	0.2212131311448092	0.2866605565739043	6370.808198633561	0.13806252396684243	0.02661014830861523	0.3417659556740543	0.2212131311448092	0.2866605565739043	6370.803532744542	0.13806252557793083	0.02661014830861523	0.3417659556740543	0.2212131311448092	0.2866605565739043	6370.81286452258	0.1380625223684305	16																
17	TrialState.COMPLETE	0.2935280017432992	2020-01-06 07:10:53.198663	2020-01-06 07:58:06.099670	0.14048456174926235	10.457078294733504	450.0	20.0	0.04451621790665583	1700.0	0.4460069150679713	0.0038679450860753975	0.2935280017432992	0.19200806275877097	0.24850185225539334	9040.953107975594	0.10864633897548566	0.0038679450860753975	0.2935280017432992	0.19200806275877097	0.24850185225539334	9040.950193397255	0.10864634025644893	0.0038679450860753975	0.2935280017432992	0.19200806275877097	0.24850185225539334	9040.956022553934	0.10864633770558971	17					0.2921066185938707	0.2928765344664778										
18	TrialState.COMPLETE	0.37930830972615676	2020-01-06 07:58:06.101236	2020-01-06 08:43:01.463701	0.19112029365144417	2.2001244831776448	150.0	10.0	0.0073162060673259135	1300.0	0.3491723287095891	0.13949480642115203	0.37930830972615676	0.3038007554296506	0.3474032105760151	7076.862346553352	0.23000753756157133	0.13949480642115203	0.37930830972615676	0.3038007554296506	0.3474032105760151	7076.8613668555245	0.2300075375822157	0.13949480642115203	0.37930830972615676	0.3038007554296506	0.3474032105760151	7076.86332625118	0.23000753754093897	18							0.37790095881455654	0.3786548968029138								
19	TrialState.COMPLETE	0.04465297450424929	2020-01-06 08:43:01.464819	2020-01-06 09:31:09.891145	0.14091105242892943	8.304345393642379	50.0	70.0	0.0012560706860178686	700.0	0.6470647922989414	0.015191218130311615	0.04465297450424929	0.025472143531633618	0.031161473087818695	13116.942788007555	0.025767576732839657	0.015191218130311615	0.04465297450424929	0.025472143531633618	0.031161473087818695	13116.940557129366	0.025767576934737926	0.015191218130311615	0.04465297450424929	0.025472143531633618	0.031161473087818695	13116.94501888574	0.02576757653147255	19																
20	TrialState.COMPLETE	0.3417518211250506	2020-01-06 09:31:09.892315	2020-01-06 10:15:25.152609	0.2614712753056718	13.17005558180542	250.0	60.0	0.002426348968646067	900.0	0.5642826068802387	0.0995168959935249	0.3417518211250506	0.2714740995548361	0.3113238567381627	11437.792998785917	0.193089326127903	0.0995168959935249	0.3417518211250506	0.2714740995548361	0.3113238567381627	11437.790469445568	0.19308932634078405	0.0995168959935249	0.3417518211250506	0.2714740995548361	0.3113238567381627	11437.795528126264	0.1930893259154889	20						0.3399876062322946	0.34093756809762477									
21	TrialState.COMPLETE	0.3251352047386042	2020-01-06 10:15:25.153520	2020-01-06 10:52:14.323676	0.9824133296367062	29.96178320891075	250.0	60.0	0.001472896943449037	500.0	0.5642039239587167	0.09499742467164564	0.3251352047386042	0.2590458408447077	0.2966939222250837	11435.761291205254	0.1839999525583411	0.09499742467164564	0.3251352047386042	0.2590458408447077	0.2966939222250837	11435.757130440381	0.18399995309374467	0.09499742467164564	0.3251352047386042	0.2590458408447077	0.2966939222250837	11435.765451970126	0.183999952026426	21																
22	TrialState.COMPLETE	0.3132192811614731	2020-01-06 10:52:14.324714	2020-01-06 11:48:25.216347	0.25693117027646284	19.981864623519606	350.0	60.0	0.038901914362740105	1300.0	0.384046916942322	0.0010844546742209632	0.3132192811614731	0.20831489022662888	0.2681590828611898	7783.9334000973795	0.1152046549265024	0.0010844546742209632	0.3132192811614731	0.20831489022662888	0.2681590828611898	7783.930805152267	0.1152046552402459	0.0010844546742209632	0.3132192811614731	0.20831489022662888	0.2681590828611898	7783.935995042493	0.11520465461363294	22								0.3133220356131121	0.31326723323890465							
23	TrialState.COMPLETE	0.26530925401322003	2020-01-06 11:48:25.217601	2020-01-06 12:43:46.198954	0.45534559198764835	18.16016359744517	350.0	100.0	0.08905137494216907	1300.0	0.4685434986257049	0.005512275731822474	0.26530925401322003	0.17786827195467422	0.2230996222851747	9497.860859301227	0.10283541837424448	0.005512275731822474	0.26530925401322003	0.17786827195467422	0.2230996222851747	9497.854721435317	0.10283542435540945	0.005512275731822474	0.26530925401322003	0.17786827195467422	0.2230996222851747	9497.866997167139	0.10283541252087336	23							0.26428688167356723	0.26483458114123837								
24	TrialState.COMPLETE	0.35280925401322	2020-01-06 12:43:46.200833	2020-01-06 13:35:01.098195	0.20160585143937318	13.367557994520665	350.0	30.0	0.010563543686158429	2000.0	0.39102351389752865	0.01706798866855524	0.35280925401322	0.24805240793201133	0.31389282341831914	7925.165793201133	0.13939055783505838	0.01706798866855524	0.35280925401322	0.24805240793201133	0.31389282341831914	7925.164010859301	0.1393905580260997	0.01706798866855524	0.35280925401322	0.24805240793201133	0.31389282341831914	7925.167575542965	0.13939055764456296	24							0.35168337328393984	0.35228652367462565								
25	TrialState.COMPLETE	0.3440248993588788	2020-01-06 13:35:01.099759	2020-01-06 14:33:02.435655	0.6677854695228609	20.051188722465305	50.0	60.0	0.029998837071268096	1300.0	0.250943595108693	0.1195486059340987	0.3440248993588788	0.23813739376770537	0.2884765916206948	5086.212059229164	0.19610591920078374	0.1195486059340987	0.3440248993588788	0.23813739376770537	0.2884765916206948	5086.2094360369765	0.1961059196287201	0.1195486059340987	0.3440248993588788	0.23813739376770537	0.2884765916206948	5086.2146824213505	0.1961059187741292	25											0.3446508915180803	0.3443205067673906				
26	TrialState.COMPLETE	0.3584402599566739	2020-01-06 14:33:02.436558	2020-01-06 15:34:05.516185	0.7840402045379531	17.619055256190173	250.0	90.0	0.015952109272646866	800.0	0.33819734229156007	0.012372937843692719	0.3584402599566739	0.23681469755040827	0.30806323946009	6854.010185802366	0.1370438138335743	0.012372937843692719	0.3584402599566739	0.23681469755040827	0.30806323946009	6854.006134394268	0.13704381532681395	0.012372937843692719	0.3584402599566739	0.23681469755040827	0.30806323946009	6854.014237210465	0.1370438123563003	26																
27	TrialState.COMPLETE	0.33414885397888233	2020-01-06 15:34:05.517914	2020-01-06 16:20:07.598169	0.8108017873503268	29.524340800385307	450.0	80.0	0.010212748354086686	500.0	0.42550764066458124	0.05041205253669843	0.33414885397888233	0.24328805047643576	0.2997843162503219	8624.331364280195	0.15360237261305892	0.05041205253669843	0.33414885397888233	0.24328805047643576	0.2997843162503219	8624.327340329643	0.1536023729133029	0.05041205253669843	0.33414885397888233	0.24328805047643576	0.2997843162503219	8624.33538823075	0.15360237231364132	27																
