model	columns	mean	std
TransH	mean_reciprocal_rank.best	2.54	0.20
TransH	hits_at_k.worst.1	1.69	0.25
TransH	hits_at_k.worst.3	2.95	0.20
TransH	hits_at_k.worst.5	3.29	0.22
TransH	hits_at_k.worst.10	3.74	0.18
TransH	hits_at_k.avg.1	1.69	0.25
TransH	hits_at_k.avg.3	2.95	0.20
TransH	hits_at_k.avg.5	3.29	0.22
TransH	hits_at_k.avg.10	3.74	0.18
TransH	hits_at_k.best.1	1.69	0.25
TransH	hits_at_k.best.3	2.95	0.20
TransH	hits_at_k.best.5	3.29	0.22
TransH	hits_at_k.best.10	3.74	0.18
TransH	adjusted_mean_rank	85.63	0.40
TransR	training	1960.10	13.40
TransR	evaluation	33.99	0.06
TransR	mean_rank.worst	6795.95	16.65
TransR	mean_rank.avg	6795.95	16.65
TransR	mean_rank.best	6795.94	16.65
TransR	mean_reciprocal_rank.worst	0.65	0.02
TransR	mean_reciprocal_rank.avg	0.65	0.02
TransR	mean_reciprocal_rank.best	0.65	0.02
TransR	hits_at_k.worst.1	0.37	0.00
TransR	hits_at_k.worst.3	0.63	0.04
TransR	hits_at_k.worst.5	0.78	0.06
TransR	hits_at_k.worst.10	1.03	0.07
TransR	hits_at_k.avg.1	0.37	0.00
TransR	hits_at_k.avg.3	0.63	0.04
TransR	hits_at_k.avg.5	0.78	0.06
TransR	hits_at_k.avg.10	1.03	0.07
TransR	hits_at_k.best.1	0.37	0.00
TransR	hits_at_k.best.3	0.63	0.04
TransR	hits_at_k.best.5	0.78	0.06
TransR	hits_at_k.best.10	1.03	0.07
TransR	adjusted_mean_rank	91.99	0.22
TuckER	training	63480.42	61.46
TuckER	evaluation	45.11	0.05
TuckER	mean_rank.worst	7327.77	29.22
TuckER	mean_rank.avg	7327.77	29.22
TuckER	mean_rank.best	7327.77	29.22
TuckER	mean_reciprocal_rank.worst	0.07	0.02
TuckER	mean_reciprocal_rank.avg	0.07	0.02
TuckER	mean_reciprocal_rank.best	0.07	0.02
TuckER	hits_at_k.worst.1	0.01	0.00
TuckER	hits_at_k.worst.3	0.02	0.00
TuckER	hits_at_k.worst.5	0.03	0.01
TuckER	hits_at_k.worst.10	0.15	0.17
TuckER	hits_at_k.avg.1	0.01	0.00
TuckER	hits_at_k.avg.3	0.02	0.00
TuckER	hits_at_k.avg.5	0.03	0.01
TuckER	hits_at_k.avg.10	0.15	0.17
TuckER	hits_at_k.best.1	0.01	0.00
TuckER	hits_at_k.best.3	0.02	0.00
TuckER	hits_at_k.best.5	0.03	0.01
TuckER	hits_at_k.best.10	0.15	0.17
TuckER	adjusted_mean_rank	99.11	0.39
