number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
9	TrialState.COMPLETE	0.0008410056657223796	2020-01-17 03:15:57.065851	2020-01-17 03:39:02.537484	0.9455422493910431	26.988937371372945	2.025414325817476	0.04609897471638631	50.0	90.0	0.0022763360312692453	1500.0	0.9788093125658703	8.852691218130312e-05	0.0008410056657223796	0.0005754249291784702	0.0005754249291784702	19843.49696795326	0.0005547025383798765	8.852691218130312e-05	0.0008410056657223796	0.0005754249291784702	0.0005754249291784702	19843.489066926344	0.0005547026601254229	8.852691218130312e-05	0.0008410056657223796	0.0005754249291784702	0.0005754249291784702	19843.50486898017	0.0005547024167013987	9	8.852691218130312e-05	0.0005901794145420207						
10	TrialState.COMPLETE	0.01874241197895589	2020-01-17 03:39:02.544896	2020-01-17 05:13:17.888464	0.98420555618119	10.465767194015593	5.165829288760458	0.026643762018409706	350.0	80.0	0.0036792473054934574	1300.0	0.7383319697874832	0.007132739781464994	0.01874241197895589	0.010167948199109673	0.012596114933225416	14966.68634915014	0.011415165987096014	0.007132739781464994	0.01874241197895589	0.010167948199109673	0.012596114933225416	14966.661726021854	0.011415169536122198	0.007132739781464994	0.01874241197895589	0.010167948199109673	0.012596114933225416	14966.71097227843	0.01141516248003336	10				0.017740793201133146	0.018325070821529746			
11	TrialState.COMPLETE	0.0057011331444759205	2020-01-17 05:13:17.892984	2020-01-17 05:59:07.019984	0.42375895631261207	27.621882776730015	3.0038100767109315	0.09384839422479477	250.0	60.0	0.07326382186072793	1600.0	0.6693321882074811	0.0008852691218130312	0.0057011331444759205	0.002337110481586402	0.003576487252124646	13566.40704674221	0.003338539637861472	0.0008852691218130312	0.0057011331444759205	0.002337110481586402	0.003576487252124646	13566.388066572237	0.0033385584117414427	0.0008852691218130312	0.0057011331444759205	0.002337110481586402	0.003576487252124646	13566.42602691218	0.0033385213836283293	11		0.005724740321057601	0.005709985835694051					
12	TrialState.COMPLETE	0.018464184540671794	2020-01-17 05:59:07.021713	2020-01-17 06:59:33.986089	0.44462492484329164	13.32127050658633	2.1069914377842993	0.0480971350905274	150.0	60.0	0.007430163010162511	1000.0	0.7452884563459765	0.005286321327397815	0.018464184540671794	0.008447996762444355	0.011432618373128289	15107.49032527317	0.009809710620354848	0.005286321327397815	0.018464184540671794	0.008447996762444355	0.011432618373128289	15107.475136584379	0.009809711130773936	0.005286321327397815	0.018464184540671794	0.008447996762444355	0.011432618373128289	15107.505513961958	0.009809710110594361	12				0.018059490084985835	0.018295561850802645			
13	TrialState.COMPLETE	0.016253541076487254	2020-01-17 06:59:33.988521	2020-01-17 09:01:01.857113	0.8613048471458348	4.371081764452798	6.2616437726793315	0.03447458975078546	250.0	80.0	0.0012852179754677298	1100.0	0.832200691746629	0.004727337110481586	0.016253541076487254	0.007312322946175637	0.010357648725212465	16870.007932011333	0.008658232742872403	0.004727337110481586	0.016253541076487254	0.007312322946175637	0.010357648725212465	16869.987765580736	0.008658233384476906	0.004727337110481586	0.016253541076487254	0.007312322946175637	0.010357648725212465	16870.028098441926	0.008658232102086091	13							0.014961048158640227	0.01567909977966635
14	TrialState.COMPLETE	0.017370947434686812	2020-01-17 09:01:01.858370	2020-01-17 10:45:49.132670	0.27695069843636033	24.940503963116377	6.062063076906259	0.03801176417029857	250.0	70.0	0.0015836148175041723	1900.0	0.8202006186834451	0.005921466792571608	0.017370947434686812	0.009501888574126535	0.011862606232294617	16626.62653446648	0.010073240511868739	0.005921466792571608	0.017370947434686812	0.009501888574126535	0.011862606232294617	16626.605583097262	0.010073241427224777	0.005921466792571608	0.017370947434686812	0.009501888574126535	0.011862606232294617	16626.647485835692	0.010073239599055326	14						0.0162636584378794	0.016886508498583568	
15	TrialState.COMPLETE	0.017262747875354107	2020-01-17 10:45:49.134007	2020-01-17 12:36:56.926894	0.827487473620337	9.778167944360343	7.096245937384237	0.05481334596185438	350.0	80.0	0.002404993941160853	800.0	0.7933848678096177	0.006418201133144476	0.017262747875354107	0.009915014164305949	0.012725743626062323	16082.68053957153	0.010711361272945842	0.006418201133144476	0.017262747875354107	0.009915014164305949	0.012725743626062323	16082.647618626062	0.010711362257074815	0.006418201133144476	0.017262747875354107	0.009915014164305949	0.012725743626062323	16082.713460516998	0.010711360290044297	15					0.016229933899905572	0.01682011331444759		
16	TrialState.COMPLETE	0.01761685552407932	2020-01-17 12:36:56.928251	2020-01-17 14:29:20.065670	0.5449637279530568	9.941717701533744	3.663773740749117	0.014847301427959413	450.0	30.0	0.0012286420415681223	1100.0	0.7925508512304855	0.006285410764872521	0.01761685552407932	0.010136331444759207	0.012858533994334278	16066.33304930949	0.010627981567316702	0.006285410764872521	0.01761685552407932	0.010136331444759207	0.012858533994334278	16066.312367209632	0.010627982160731207	0.006285410764872521	0.01761685552407932	0.010136331444759207	0.012858533994334278	16066.353731409348	0.010627980974551381	16					0.01646600566572238	0.01712363415621206		
17	TrialState.COMPLETE	0.003434844192634561	2020-01-17 14:29:20.066926	2020-01-17 15:02:44.535781	0.3756866883094696	18.58890164143161	4.144794817389164	0.016292158840702838	50.0	90.0	0.004458269770264568	1300.0	0.8694661032226251	0.0010977337110481585	0.003434844192634561	0.002478753541076487	0.003045325779036827	17626.198300283286	0.0022949933218522384	0.0010977337110481585	0.003434844192634561	0.002478753541076487	0.003045325779036827	17626.189518413597	0.0022949934775521475	0.0010977337110481585	0.003434844192634561	0.002478753541076487	0.003045325779036827	17626.207082152974	0.002294993166239263	17		0.0033640226628895184	0.00340828611898017					
18	TrialState.COMPLETE	0.0026558073654390935	2020-01-17 15:02:44.537900	2020-01-17 15:37:01.469568	0.3089285707972792	8.60353577391022	6.488292633470026	0.06560925747466514	50.0	100.0	0.06666510015086607	600.0	0.7169350332591375	0.00017705382436260624	0.0026558073654390935	0.0007790368271954674	0.0012747875354107649	14532.193130311614	0.0016507447519090584	0.00017705382436260624	0.0026558073654390935	0.0007790368271954674	0.0012747875354107649	14532.178611898016	0.00165074592364186	0.00017705382436260624	0.0026558073654390935	0.0007790368271954674	0.0012747875354107649	14532.207648725212	0.0016507435852581211	18		0.002891879131255902	0.0027443342776203965					
19	TrialState.COMPLETE	0.016415418858761636	2020-01-17 15:37:01.471051	2020-01-17 16:36:26.866148	0.6347995303706987	7.746606554209538	3.58376157977837	0.06327738244639364	150.0	10.0	0.056389973292765384	800.0	0.6614175806771304	0.004097531363820316	0.016415418858761636	0.007284500202347228	0.010193241602590044	13406.094483508701	0.008737462019158648	0.004097531363820316	0.016415418858761636	0.007284500202347228	0.010193241602590044	13406.082026507487	0.008737465822579024	0.004097531363820316	0.016415418858761636	0.007284500202347228	0.010193241602590044	13406.106940509915	0.008737458242844666	19				0.015545325779036827	0.016052880075542966			
20	TrialState.COMPLETE	0.0004426345609065156	2020-01-17 16:36:26.870115	2020-01-17 16:59:17.312652	0.8621255752844809	22.023251287139523	1.6375707420015224	0.01618935866057995	50.0	90.0	0.02649368533570084	2000.0	0.8757387412272197	4.426345609065156e-05	0.0004426345609065156	8.852691218130312e-05	0.0002655807365439094	17753.170591359773	0.00041279312142601784	4.426345609065156e-05	0.0004426345609065156	8.852691218130312e-05	0.0002655807365439094	17753.161384560906	0.00041279588329013443	4.426345609065156e-05	0.0004426345609065156	8.852691218130312e-05	0.0002655807365439094	17753.17979815864	0.0004127903772863015	20	0.0005311614730878187	0.00047214353163361664						
