number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_regularizer.weight	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
11	0.17976149720415383	2020-03-03 15:16:25.284718	2020-03-03 15:43:00.447138	128	2	8	0.010274588295410777	0.0157724247747697	512	0.2571255589310147	0.08110806801323747	0.17976149720415383	0.11511468675111264	0.140448476549127	1828.5503965536916	0.11380358243494018	0.08110806801323747	0.17976149720415383	0.11511468675111264	0.140448476549127	1828.5494693598082	0.11380358411488517	1093920941	300	0.08110806801323747	0.17976149720415383	0.11511468675111264	0.140448476549127	1828.551323747575	0.11380358076269072	11	COMPLETE
12	0.001626155426223896	2020-03-03 15:43:00.485283	2020-03-03 16:02:57.379538	256	2	70	0.08557769978195516	0.22760933909776498	256	1.0183789845866513	0.00017117425539198904	0.001626155426223896	0.0007417551066986192	0.0009699874472212713	7278.941572520826	0.001168271599040748	0.00017117425539198904	0.001626155426223896	0.0007417551066986192	0.0009699874472212713	7278.711656966792	0.0011682990429535622	1922872263	150	0.00017117425539198904	0.001626155426223896	0.0007417551066986192	0.0009699874472212713	7279.1714880748605	0.0011682443031837497	12	COMPLETE
13	0.001740271596485222	2020-03-03 16:02:57.416453	2020-03-03 16:17:47.142220	256	1	80	0.07635552575019666	0.04162065797523759	512	1.0114291280840353	0.0005705808513066301	0.001740271596485222	0.0008273422343946138	0.0010841036174825973	7229.325858724181	0.001560098030114597	0.0005705808513066301	0.001740271596485222	0.0008273422343946138	0.0010841036174825973	7229.298613488531	0.0015601044463082225	514532144	150	0.0005705808513066301	0.001740271596485222	0.0008273422343946138	0.0010841036174825973	7229.353103959831	0.001560091629451107	13	COMPLETE
14	0.16629578911331735	2020-03-03 16:17:47.179586	2020-03-03 16:42:52.837541	128	2	96	0.002840303040637302	0.055684412646752265	512	0.1749074660671636	0.08242040397124273	0.16629578911331735	0.12005021111491498	0.13802350793107385	1237.9161531439006	0.11388824330985824	0.08242040397124273	0.16629578911331735	0.12005021111491498	0.13802350793107385	1237.9124728974095	0.11388827640984878	3231474762	250	0.08242040397124273	0.16629578911331735	0.12005021111491498	0.13802350793107385	1237.9198333903914	0.1138882112260164	14	COMPLETE
15	0.08056601620449617	2020-03-03 16:42:52.875402	2020-03-03 16:58:23.746345	64	1	3	0.061228956089842086	0.03762892203763677	256	0.851932270672799	0.02929932671459546	0.08056601620449617	0.054861348853132486	0.06564532694282779	6071.943369850508	0.04753259143533335	0.02929932671459546	0.08056601620449617	0.054861348853132486	0.06564532694282779	6071.941344288486	0.047532592005796855	3926806574	150	0.02929932671459546	0.08056601620449617	0.054861348853132486	0.06564532694282779	6071.94539541253	0.04753259086555978	15	COMPLETE
16	0.1530297843204382	2020-03-03 16:58:23.783933	2020-03-03 17:14:54.307709	256	2	5	0.014332716517108924	0.031009280271972577	512	0.27913110033555183	0.0609380349195481	0.1530297843204382	0.09654228004108183	0.11811023622047244	1983.6195081593062	0.09274450821020776	0.0609380349195481	0.1530297843204382	0.09654228004108183	0.11811023622047244	1983.618680817072	0.09274450891173062	1169104285	200	0.0609380349195481	0.1530297843204382	0.09654228004108183	0.11811023622047244	1983.6203355015405	0.09274450751123546	16	COMPLETE
17	0.19080223667693713	2020-03-03 17:14:54.345688	2020-03-03 17:41:52.243704	256	1	36	0.005357316687227987	0.05412289827488722	256	0.4173942148813157	0.09069382631518887	0.19080223667693713	0.1324888736733995	0.15596827570466734	2959.8273422343946	0.12444576904433712	0.09069382631518887	0.19080223667693713	0.1324888736733995	0.15599680474723268	2959.8230914070523	0.1244462913696415	62374661	200	0.09069382631518887	0.19080223667693713	0.1324888736733995	0.15596827570466734	2959.831593061737	0.12444533319488564	17	COMPLETE
18	0.1390790825059911	2020-03-03 17:41:52.281632	2020-03-03 18:58:22.455824	128	2	72	0.005750513675040335	0.21987796982527508	128	0.19278261403309385	0.06869793449731827	0.1390790825059911	0.09277644642245807	0.1130035376012781	1361.559796873217	0.09424204822323995	0.06869793449731827	0.1390790825059911	0.09277644642245807	0.1130035376012781	1361.556373388109	0.09424205293791549	1013232393	300	0.06869793449731827	0.1390790825059911	0.09277644642245807	0.1130035376012781	1361.5632203583248	0.09424204352480865	18	COMPLETE
19	0.002025562022138537	2020-03-03 18:58:23.003810	2020-03-03 19:09:33.252561	64	1	56	0.07540493899911145	0.0718512515287968	512	1.0281420729076645	0.0011696907451785917	0.002025562022138537	0.00151203925596257	0.001626155426223896	7347.66091806459	0.002004387331064058	0.0011696907451785917	0.002025562022138537	0.00151203925596257	0.001626155426223896	7347.6477233824035	0.0020043886005181484	2997915614	150	0.0011696907451785917	0.002025562022138537	0.00151203925596257	0.001626155426223896	7347.674112746776	0.0020043860629558774	19	COMPLETE
20	0.16849252539084789	2020-03-03 19:09:33.290821	2020-03-03 19:45:21.522678	128	2	73	0.003187652180592328	0.12644931661152814	512	0.20838611941208227	0.08307657195024536	0.16849252539084789	0.11910875271025904	0.1431587355928335	1475.1829710144928	0.11343765188136068	0.08307657195024536	0.16849252539084789	0.11910875271025904	0.1431587355928335	1475.1796188519913	0.1134378905578375	2340021596	350	0.08307657195024536	0.16849252539084789	0.11910875271025904	0.1431587355928335	1475.1863231769942	0.11343743734332236	20	COMPLETE
21	0.014635398836015064	2020-03-03 19:45:21.560845	2020-03-03 20:06:59.974357	256	1	100	0.032348155594876735	0.029880598906568006	256	1.0182807446081759	0.009585758301951387	0.014635398836015064	0.011554262238959261	0.01266689489900719	7276.06116626726	0.01176695688739924	0.009585758301951387	0.014635398836015064	0.011554262238959261	0.01266689489900719	7276.033293392674	0.011766964512618957	873379118	150	0.009585758301951387	0.014635398836015064	0.011554262238959261	0.01266689489900719	7276.089039141846	0.011766949284822687	21	COMPLETE
22	0.19291338582677164	2020-03-03 20:07:00.011988	2020-03-03 20:52:40.389018	128	1	34	0.003203513942590703	0.1918274580034656	128	0.2032985531664334	0.07680018258587241	0.19291338582677164	0.13100536346000227	0.15317242953326488	1438.8273850279584	0.11832276548944493	0.07680018258587241	0.19291338582677164	0.13100536346000227	0.15317242953326488	1438.8254022595002	0.11832304042119957	2442852843	200	0.07680018258587241	0.19291338582677164	0.13100536346000227	0.15317242953326488	1438.8293677964168	0.11832252454083259	22	COMPLETE
23	0.14732397580737192	2020-03-03 20:52:40.427541	2020-03-03 21:20:38.222975	256	2	19	0.01572710661544537	0.0650135465530251	512	0.499145705577189	0.07434668492525391	0.14732397580737192	0.10786830993951843	0.12455779984023736	3542.0084873901633	0.10093188666238938	0.07434668492525391	0.14732397580737192	0.10786830993951843	0.12455779984023736	3542.0038514207463	0.10093189584001716	2687383184	300	0.07434668492525391	0.14732397580737192	0.10786830993951843	0.12455779984023736	3542.0131233595803	0.10093187762366534	23	COMPLETE
24	0.0031096656396211344	2020-03-03 21:20:38.261940	2020-03-03 21:55:42.482891	64	1	89	0.048827366041233194	0.011016048321601518	256	1.0103212648302984	0.0014835102133972384	0.0031096656396211344	0.0018829168093118796	0.0021111491498345316	7220.515391418464	0.0027033227180517966	0.0014835102133972384	0.0031096656396211344	0.001911445851877211	0.0021111491498345316	7220.500142645213	0.0027046832466954243	392397959	250	0.0014835102133972384	0.0031096656396211344	0.0018829168093118796	0.0021111491498345316	7220.530640191715	0.00270230182396802	24	COMPLETE
25	0.06384799726121192	2020-03-03 21:55:42.521834	2020-03-03 22:14:15.999649	128	2	99	0.02549865260957559	0.012608924068641588	256	0.6227257611682574	0.024135570010270457	0.06384799726121192	0.039113317357069494	0.04804290768001826	4430.9056972498	0.03844874723893554	0.024135570010270457	0.06384799726121192	0.039113317357069494	0.04804290768001826	4430.894528129636	0.03844878962647985	64741647	150	0.024135570010270457	0.06384799726121192	0.039113317357069494	0.04804290768001826	4430.916866369965	0.03844870585741312	25	COMPLETE
26	0.16427022709117883	2020-03-03 22:14:16.043279	2020-03-03 22:42:53.759821	256	1	59	0.0070849426005423115	0.18370687180987993	256	0.30024341291635054	0.07882574460801095	0.16427022709117883	0.11157708547301153	0.13086271824717563	2131.4929533264863	0.108983174529189	0.07882574460801095	0.16427022709117883	0.11157708547301153	0.13086271824717563	2131.4897580737193	0.10898317762107138	3378131966	200	0.07882574460801095	0.16427022709117883	0.11157708547301153	0.13086271824717563	2131.4961485792537	0.10898317145149995	26	COMPLETE
