number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_model.feature_map_dropout	params_model.input_dropout	params_model.output_channels	params_model.output_dropout	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
13		2020-05-15 23:54:01.926288	2020-05-15 23:54:04.276597	0.9613549358694197	17.95082107911169	256	0.4184279946218459	0.4760253324921274	54	0.030674079748493843	89	0.009734430622805048	512														The current model can't be trained on this hardware with these parameters.									13	Setting status of trial#13 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
14	0.6161048689138576	2020-05-15 23:54:04.422240	2020-05-16 00:07:06.515591	0.98085704228683	12.870966132843849	256	0.16723519097299083	0.08716499816514323	47	0.4700871391258461	40	0.0016132391465623539	512	0.24662523216145874	0.15730337078651685	0.6161048689138576	0.35814606741573035	0.4606741573033708	11.859082397003744	0.30721484329384585	0.15730337078651685	0.6161048689138576	0.35814606741573035	0.4606741573033708	11.859082397003744	0.30721484329384585		2155691021.0	200.0	0.15730337078651685	0.6161048689138576	0.35814606741573035	0.4606741573033708	11.859082397003744	0.30721484329384585	14		COMPLETE
15	0.25	2020-05-16 00:07:06.696103	2020-05-16 00:10:48.033032	0.7643985807166102	23.796910805228563	64	0.46398069315532886	0.1152956291772228	50	0.3181708632091454	7	0.010161903123162185	128	0.6095624930113693	0.02949438202247191	0.25	0.08052434456928839	0.1203183520599251	29.57560861423221	0.1056684376084284	0.06882022471910113	0.3038389513108614	0.12874531835205993	0.1802434456928839	27.999531835205993	0.14879907744317403		1874965159.0	300.0	0.02949438202247191	0.23220973782771537	0.08052434456928839	0.11938202247191011	31.151685393258425	0.10306479983718118	15		COMPLETE
16	0.9138576779026217	2020-05-16 00:10:48.147966	2020-05-16 00:25:55.974992	0.5157259029613296	16.453341176121143	128	0.4250268904948293	0.3412885284667282	16	0.29864685805063207	97	0.0035219035194425192	128	0.09967620273500905	0.2841760299625468	0.9138576779026217	0.596441947565543	0.7368913857677902	4.811329588014981	0.480955751135775	0.2841760299625468	0.9138576779026217	0.596441947565543	0.7368913857677902	4.811329588014981	0.480955751135775		2036043933.0	250.0	0.2841760299625468	0.9138576779026217	0.596441947565543	0.7368913857677902	4.811329588014981	0.480955751135775	16		COMPLETE
17	0.6465355805243446	2020-05-16 00:25:56.077168	2020-05-16 00:32:50.279611	0.7726330465076402	19.75360256886196	64	0.4562269097587271	0.2985535472172301	35	0.22267985411324193	31	0.0030043796107542893	512	0.20054254746361033	0.07958801498127341	0.6465355805243446	0.27340823970037453	0.4101123595505618	9.669007490636703	0.24496606420283518	0.07958801498127341	0.6465355805243446	0.27340823970037453	0.4101123595505618	9.669007490636703	0.24496606420283518		1695636115.0	400.0	0.07958801498127341	0.6465355805243446	0.27340823970037453	0.4101123595505618	9.669007490636703	0.24496606420283518	17		COMPLETE
18	0.19288389513108614	2020-05-16 00:32:50.380127	2020-05-16 00:47:55.225886	0.6376471359199355	10.434075893302314	128	0.004410238206970896	0.11080161865457239	50	0.13449144425020737	84	0.03407320775872933	256	0.7198429686507413	0.017322097378277154	0.19288389513108614	0.056179775280898875	0.10018726591760299	34.60697565543071	0.0826402364485857	0.017322097378277154	0.19288389513108614	0.056179775280898875	0.10018726591760299	34.60674157303371	0.08264038094389249		3598778755.0	200.0	0.017322097378277154	0.19288389513108614	0.056179775280898875	0.10018726591760299	34.607209737827716	0.08264009547755469	18		COMPLETE
19	0.6619850187265918	2020-05-16 00:47:55.336877	2020-05-16 01:00:31.302760	0.2392683271452485	26.461917162438233	128	0.31653910932569584	0.09064824728691856	42	0.31597066473638596	78	0.0997564180229602	512	0.21006981976947675	0.12312734082397003	0.6619850187265918	0.2902621722846442	0.42228464419475653	10.122191011235955	0.2750066551010125	0.12312734082397003	0.6619850187265918	0.2902621722846442	0.42228464419475653	10.122191011235955	0.2750066551010125		3517934339.0	200.0	0.12312734082397003	0.6619850187265918	0.2902621722846442	0.42228464419475653	10.122191011235955	0.2750066551010125	19		COMPLETE
20	0.8352059925093633	2020-05-16 01:00:31.409917	2020-05-16 01:24:52.372856	0.7898988210058068	20.14610381006304	128	0.4966488947671122	0.18864542540888501	49	0.38015346961462243	84	0.0012564940288649843	512	0.12797515570841841	0.24906367041198502	0.8352059925093633	0.5173220973782772	0.6554307116104869	6.155430711610487	0.4313177338384915	0.24906367041198502	0.8352059925093633	0.5173220973782772	0.6554307116104869	6.155430711610487	0.4313177338384915		3291753156.0	300.0	0.24906367041198502	0.8352059925093633	0.5173220973782772	0.6554307116104869	6.155430711610487	0.4313177338384915	20		COMPLETE
21	0.8764044943820225	2020-05-16 01:24:52.473692	2020-05-16 01:32:07.514755	0.6819148799167589	1.7823452961700785	64	0.03983094791655728	0.38081593330918634	21	0.06027627479381292	78	0.07544652291427228	256	0.11021174226228274	0.2308052434456929	0.8764044943820225	0.5290262172284644	0.6816479400749064	5.340355805243446	0.43035705369141136	0.2308052434456929	0.8764044943820225	0.5290262172284644	0.6816479400749064	5.340355805243446	0.43035705369141136		2716261087.0	250.0	0.2308052434456929	0.8764044943820225	0.5290262172284644	0.6816479400749064	5.340355805243446	0.43035705369141136	21		COMPLETE
22	0.5201310861423221	2020-05-16 01:32:07.617569	2020-05-16 01:40:12.286226	0.31418920180271787	20.985721838632237	64	0.4591763712124265	0.0015704401872869145	56	0.20093537056522975	68	0.004273378874090643	128	0.2980894389630327	0.06601123595505617	0.5201310861423221	0.1900749063670412	0.30290262172284643	14.42743445692884	0.19654724695420012	0.06601123595505617	0.5201310861423221	0.19054307116104868	0.3038389513108614	14.261704119850187	0.19685158904398242		1707365955.0	200.0	0.06601123595505617	0.5191947565543071	0.1900749063670412	0.30290262172284643	14.59316479400749	0.19643133739338772	22		COMPLETE
