number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
11	TrialState.COMPLETE	0.19670584655178971	2020-01-19 14:55:41.639044	2020-01-19 16:23:34.168072	0.4725562320784049	14.914249081514226	250.0	40.0	0.0012158661856875937	700.0	0.16625585243685098	0.026360835330366313	0.19670584655178971	0.07597474228764883	0.11748069534786412	1177.9265862147665	0.08077623925332518	0.026360835330366313	0.19670584655178971	0.07597474228764883	0.11748069534786412	1177.9256704325003	0.08077624548456146	0.026360835330366313	0.19670584655178971	0.07597474228764883	0.11748069534786412	1177.927501997033	0.08077623327385121	11												
12	TrialState.COMPLETE	0.0010199132717106014	2020-01-19 16:23:34.168938	2020-01-19 16:36:15.404391	0.3444943677001172	20.60532822538011	150.0	80.0	0.04308588527589919	600.0	0.8019541531942275	9.27193883373274e-05	0.0010199132717106014	0.0003352162501426452	0.0006062421545132945	5733.288225350907	0.0008798974257406231	9.27193883373274e-05	0.0010199132717106014	0.0003352162501426452	0.0006062421545132945	5733.286609893872	0.0008798974618188986	9.27193883373274e-05	0.0010199132717106014	0.0003352162501426452	0.0006062421545132945	5733.289840807943	0.0008798973896698917	12	0.0010413100536346	0.0010270455323519343										
13	TrialState.COMPLETE	0.08743438320209974	2020-01-19 16:36:15.405284	2020-01-19 17:37:25.675669	0.5487193409873544	3.5404934136654695	350.0	10.0	0.004379148480327293	1000.0	0.14671080627367492	0.014200330936893758	0.08743438320209974	0.033766499296283614	0.050722260260945645	1036.4957206436152	0.04202849429570438	0.014200330936893758	0.08743438320209974	0.033766499296283614	0.050722260260945645	1036.4951881014872	0.04202849455763101	0.014200330936893758	0.08743438320209974	0.033766499296283614	0.050722260260945645	1036.4962531857432	0.04202849403526195	13									0.08749001483510213	0.08745967030800991		
14	TrialState.COMPLETE	0.054793592377039825	2020-01-19 17:37:25.676504	2020-01-19 18:20:54.957672	0.7132741412989513	2.9969092125928145	450.0	30.0	0.006070575605008871	1000.0	0.16871443396715857	0.009963768115942028	0.054793592377039825	0.021849680474723267	0.03185980828483396	1194.790069040283	0.028827920815538758	0.009963768115942028	0.054793592377039825	0.021849680474723267	0.03185980828483396	1194.7897980143787	0.028827920864838697	0.009963768115942028	0.054793592377039825	0.021849680474723267	0.03185980828483396	1194.7903400661874	0.02882792076632278	14					0.05343965156529347	0.054213332029148534						
15	TrialState.COMPLETE	0.2590377003789858	2020-01-19 18:20:54.958549	2020-01-19 19:59:37.108585	0.893633081802972	5.970678209632227	50.0	30.0	0.0019696240423293493	900.0	0.10519859023389082	0.05598599374162898	0.2590377003789858	0.12531607176105275	0.17406619939098003	743.1321397682841	0.12164440801621901	0.05598599374162898	0.2590377003789858	0.12531607176105275	0.17406619939098003	743.13142128687	0.12164440821930526	0.05598599374162898	0.2590377003789858	0.12531607176105275	0.17406619939098003	743.1328582496982	0.12164440781390871	15												
16	TrialState.COMPLETE	0.0012410133515919205	2020-01-19 19:59:37.109442	2020-01-19 20:17:20.128484	0.6273992628390718	14.216868045495644	350.0	100.0	0.0360273900857159	800.0	0.7506019339708542	8.558712769599452e-05	0.0012410133515919205	0.0003066872075773137	0.0006276389364372932	5370.991027616114	0.0009854576697450371	8.558712769599452e-05	0.0012410133515919205	0.0003066872075773137	0.0006276389364372932	5370.989929247974	0.0009854576943400806	8.558712769599452e-05	0.0012410133515919205	0.0003066872075773137	0.0006276389364372932	5370.992125984252	0.0009854576451558065	16	0.0011982197877439234	0.0012267488303092549										
17	TrialState.COMPLETE	0.05404827114002054	2020-01-19 20:17:20.129327	2020-01-19 21:24:20.422691	0.3873645680668518	14.864722485682496	50.0	150.0	0.005722230536230795	700.0	0.1536807551027504	0.006243784744298267	0.05404827114002054	0.01724988180825223	0.027605924259467566	1085.6331776462725	0.027799083245762992	0.006243784744298267	0.05404827114002054	0.01724988180825223	0.027605924259467566	1085.6272619455176	0.02779908573743671	0.006243784744298267	0.05404827114002054	0.01724988180825223	0.027605924259467566	1085.6390933470273	0.02779908080776296	17											0.05253860930427175	0.053351504138905714
18	TrialState.COMPLETE	0.17703602267107915	2020-01-19 21:24:20.423548	2020-01-19 22:47:04.653357	0.25062155602701847	20.87710942422605	250.0	20.0	0.001045553764043101	700.0	0.1765237639951643	0.022724333371372057	0.17703602267107915	0.06632051428354065	0.10379626459736012	1251.9521149530221	0.07245749575170948	0.022724333371372057	0.17703602267107915	0.06632051428354065	0.10379626459736012	1251.9508939100003	0.07245753958486244	0.022724333371372057	0.17703602267107915	0.06632051428354065	0.10379626459736012	1251.953335996044	0.07245745602384503	18												
19	TrialState.COMPLETE	0.0010627068355585987	2020-01-19 22:47:04.654275	2020-01-19 22:59:04.464843	0.6557256800907367	22.756849197636207	50.0	150.0	0.06750757214342981	800.0	0.7952361826313872	0.00010698390961999315	0.0010627068355585987	0.00028529042565331506	0.0005848453725892959	5681.896842548214	0.0009245209372430377	0.00010698390961999315	0.0010627068355585987	0.00028529042565331506	0.0005848453725892959	5681.895676423599	0.0009245209664165216	0.00010698390961999315	0.0010627068355585987	0.00028529042565331506	0.0005848453725892959	5681.898008672829	0.00092452090807616	19	0.000870135798242611	0.0009985164897866028										
20	TrialState.COMPLETE	0.0007346228460572863	2020-01-19 22:59:04.465698	2020-01-19 23:12:10.158097	0.4473045615294198	29.55559859742588	50.0	110.0	0.05581366917241407	500.0	0.8238376521425812	0.00010698390961999315	0.0007346228460572863	0.0002710259043706493	0.00035661303206664386	5884.028258016661	0.0007648408323927609	0.00010698390961999315	0.0007346228460572863	0.0002710259043706493	0.00035661303206664386	5884.026852961315	0.0007648408627822836	0.00010698390961999315	0.0007346228460572863	0.0002710259043706493	0.00035661303206664386	5884.029663072008	0.0007648408020100191	20	0.0006133744151546274	0.0006942067024230667										
21	TrialState.COMPLETE	0.0017830651603332193	2020-01-19 23:12:10.159012	2020-01-19 23:32:51.186781	0.7458921687516603	12.072898559704806	250.0	180.0	0.039521480818743314	500.0	0.716600299539641	0.0003066872075773137	0.0017830651603332193	0.0008273422343946138	0.0011126326600479288	5127.164405740044	0.0014140572409777068	0.0003066872075773137	0.0017830651603332193	0.0008273422343946138	0.0011126326600479288	5127.163407223554	0.001414057270102676	0.0003066872075773137	0.0017830651603332193	0.0008273422343946138	0.0011126326600479288	5127.165404256533	0.001414057211859874	21	0.001797329681615885	0.0017878200007607746										
22	TrialState.COMPLETE	0.0025961428734451674	2020-01-19 23:32:51.187614	2020-01-19 23:48:46.353876	0.7393431343216497	12.876856417526708	450.0	30.0	0.010579972486829807	500.0	0.5934729504203922	0.0007631518886226179	0.0025961428734451674	0.001155426223895926	0.0016546844687892275	4233.99433341892	0.002065881827004853	0.0007631518886226179	0.0025961428734451674	0.001155426223895926	0.0016546844687892275	4233.9676837270345	0.0020658832668984037	0.0007631518886226179	0.0025961428734451674	0.001155426223895926	0.0016546844687892275	4234.020983110807	0.0020658803892911574	22	0.001683213511354559	0.002291833086081631										
23	TrialState.COMPLETE	0.15119251397923086	2020-01-19 23:48:46.354715	2020-01-20 01:21:48.678973	0.2932336940939232	24.851329954758295	250.0	50.0	0.0011156172124663973	700.0	0.1937824774677404	0.01763094830537487	0.15119251397923086	0.05346913157594431	0.08514207463197535	1376.5913461904217	0.061753404888087865	0.01763094830537487	0.15119251397923086	0.05346913157594431	0.08514397656814637	1376.5902982235916	0.061753451588163144	0.01763094830537487	0.15119251397923086	0.05346913157594431	0.08514207463197535	1376.592394157252	0.06175336470771664	23												
