number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.scoring_fct_norm	params_optimizer.lr	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
40	0.26170411985018727	2020-03-07 00:27:15.499577	2020-03-07 00:27:40.156795	256	2	0.00803077029512673	256	0.006102657571123486	0.6636049733950655	0.05852059925093633	0.26170411985018727	0.12359550561797752	0.17322097378277154	31.953651685393258	0.1345211136236929	0.05852059925093633	0.26170411985018727	0.12359550561797752	0.17322097378277154	31.953651685393258	0.1345211136236929	2054916594	200	0.05852059925093633	0.26170411985018727	0.12359550561797752	0.17322097378277154	31.953651685393258	0.1345211136236929	40	COMPLETE
41	0.25842696629213485	2020-03-07 00:27:40.168702	2020-03-07 00:28:23.746015	64	2	0.01570177504363224	512	0.0028215407707345053	0.6654012652893624	0.06179775280898876	0.25842696629213485	0.1198501872659176	0.16853932584269662	32.047284644194754	0.13504600830675506	0.06179775280898876	0.25842696629213485	0.1198501872659176	0.16853932584269662	32.047284644194754	0.13504600830675506	3209741791	350	0.06179775280898876	0.25842696629213485	0.1198501872659176	0.16853932584269662	32.047284644194754	0.13504600830675506	41	COMPLETE
42	0.09129213483146068	2020-03-07 00:28:23.756789	2020-03-07 00:28:44.751996	256	1	0.04589920211868061	128	0.0035574672542994694	1.0065721247339976	0.00046816479400749064	0.09129213483146068	0.02294007490636704	0.041666666666666664	48.568820224719104	0.044533013798677946	0.00046816479400749064	0.09129213483146068	0.02294007490636704	0.041666666666666664	48.568820224719104	0.044533013798677946	2676586248	150	0.00046816479400749064	0.09129213483146068	0.02294007490636704	0.041666666666666664	48.568820224719104	0.044533013798677946	42	COMPLETE
43	0.28885767790262173	2020-03-07 00:28:44.764003	2020-03-07 00:29:16.045208	128	1	0.012638844813388436	128	0.15494055714650248	0.6474145895946241	0.028089887640449437	0.28885767790262173	0.10814606741573034	0.17415730337078653	31.27949438202247	0.11749350149403291	0.028089887640449437	0.28885767790262173	0.10814606741573034	0.17415730337078653	31.27949438202247	0.11749350149403291	2707976154	200	0.028089887640449437	0.28885767790262173	0.10814606741573034	0.17415730337078653	31.27949438202247	0.11749350149403291	43	COMPLETE
44	0.6371722846441947	2020-03-07 00:29:16.062509	2020-03-07 00:29:48.689403	128	1	0.0019930339168336814	256	0.0029513974270433336	0.31478687623002977	0.1891385767790262	0.6371722846441947	0.40308988764044945	0.4957865168539326	15.30430711610487	0.33820956324915846	0.1891385767790262	0.6371722846441947	0.40308988764044945	0.4957865168539326	15.30430711610487	0.33820956324915846	1448746192	250	0.1891385767790262	0.6371722846441947	0.40308988764044945	0.4957865168539326	15.30430711610487	0.33820956324915846	44	COMPLETE
45	0.2532771535580524	2020-03-07 00:29:48.701489	2020-03-07 00:30:40.168456	128	2	0.003510301116592324	128	0.13719799497559323	0.6633968318957305	0.06554307116104868	0.2532771535580524	0.12921348314606743	0.175561797752809	31.939138576779026	0.13938390959655972	0.06554307116104868	0.2532771535580524	0.12921348314606743	0.175561797752809	31.939138576779026	0.13938390959655972	758369542	300	0.06554307116104868	0.2532771535580524	0.12921348314606743	0.175561797752809	31.939138576779026	0.13938390959655972	45	COMPLETE
46	0.5121722846441947	2020-03-07 00:30:40.179058	2020-03-07 00:31:20.791402	128	1	0.007703123126895796	128	0.011791797741981745	0.41081753153919004	0.08333333333333333	0.5121722846441947	0.2687265917602996	0.375936329588015	19.8876404494382	0.22553584125891665	0.08333333333333333	0.5121722846441947	0.2687265917602996	0.375936329588015	19.8876404494382	0.22553584125891665	1820325676	250	0.08333333333333333	0.5121722846441947	0.2687265917602996	0.375936329588015	19.8876404494382	0.22553584125891665	46	COMPLETE
47	0.11376404494382023	2020-03-07 00:31:20.802293	2020-03-07 00:31:42.193321	64	2	0.0472295285410564	512	0.9812151038667961	0.9429291368423777	0.0009363295880149813	0.11376404494382023	0.031835205992509365	0.05383895131086142	45.35744382022472	0.05098827119880581	0.0009363295880149813	0.11376404494382023	0.031835205992509365	0.05383895131086142	45.357209737827716	0.050988431200444224	3817054532	200	0.0009363295880149813	0.11376404494382023	0.031835205992509365	0.05383895131086142	45.357677902621724	0.0509881152997735	47	COMPLETE
48	0.25795880149812733	2020-03-07 00:31:42.205162	2020-03-07 00:32:17.002861	64	2	0.0652820241952816	512	0.0056346537237663905	0.6642565046653347	0.047752808988764044	0.25795880149812733	0.11750936329588015	0.17088014981273408	31.975655430711612	0.12654402815257107	0.047752808988764044	0.25795880149812733	0.11750936329588015	0.17088014981273408	31.975655430711612	0.12654402815257107	2241984585	300	0.047752808988764044	0.25795880149812733	0.11750936329588015	0.17088014981273408	31.975655430711612	0.12654402815257107	48	COMPLETE
49	0.6240636704119851	2020-03-07 00:32:17.013630	2020-03-07 00:32:58.796797	64	1	0.003698062504583531	512	0.08400791924248933	0.3359176765138472	0.1853932584269663	0.6240636704119851	0.40168539325842695	0.4957865168539326	16.353464419475657	0.33510982369658654	0.1853932584269663	0.6240636704119851	0.40168539325842695	0.4957865168539326	16.353464419475657	0.33510982369658654	3614750479	350	0.1853932584269663	0.6240636704119851	0.40168539325842695	0.4957865168539326	16.353464419475657	0.33510982369658654	49	COMPLETE
