number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
10	0.09035580524344569	2020-04-16 00:02:42.506992	2020-04-16 00:03:34.206057	128	27	128	1.003327150993949	0.008426966292134831	0.09035580524344569	0.023408239700374533	0.042134831460674156	48.41338951310861	0.0491167647159499	0.008426966292134831	0.09035580524344569	0.023408239700374533	0.042134831460674156	48.41338951310861	0.0491167647159499	1400645284	150.0	0.008426966292134831	0.09035580524344569	0.023408239700374533	0.042134831460674156	48.41338951310861	0.0491167647159499	10	COMPLETE
11	0.10393258426966293	2020-04-16 00:03:34.228318	2020-04-16 00:04:32.631974	256	54	128	1.0209675654803825	0.010767790262172285	0.10393258426966293	0.03136704119850187	0.05664794007490637	49.27574906367041	0.0543852367240304	0.010767790262172285	0.10393258426966293	0.03136704119850187	0.05664794007490637	49.27574906367041	0.0543852367240304	1441132802	150.0	0.010767790262172285	0.10393258426966293	0.03136704119850187	0.05664794007490637	49.27574906367041	0.0543852367240304	11	COMPLETE
12	0.09831460674157304	2020-04-16 00:04:32.675927	2020-04-16 00:05:07.866535	256	68	512	1.0065940711028134	0.008426966292134831	0.09831460674157304	0.026217228464419477	0.047752808988764044	48.59410112359551	0.050859394548500345	0.008426966292134831	0.09831460674157304	0.026217228464419477	0.047752808988764044	48.59410112359551	0.050859394548500345	728658372	150.0	0.008426966292134831	0.09831460674157304	0.026217228464419477	0.047752808988764044	48.59410112359551	0.050859394548500345	12	COMPLETE
13	0.11657303370786516	2020-04-16 00:05:07.887664	2020-04-16 00:06:04.105685	128	95	512	0.9930589439439821	0.0149812734082397	0.11657303370786516	0.04073033707865169	0.06132958801498127	47.91573033707865	0.06010817775962282	0.0149812734082397	0.11657303370786516	0.04073033707865169	0.06132958801498127	47.91573033707865	0.06010817775962282	1162683693	250.0	0.0149812734082397	0.11657303370786516	0.04073033707865169	0.06132958801498127	47.91573033707865	0.06010817775962282	13	COMPLETE
14	0.0950374531835206	2020-04-16 00:06:04.155570	2020-04-16 00:06:32.955186	64	15	256	1.0109770653293249	0.013108614232209739	0.0950374531835206	0.032303370786516857	0.05102996254681648	48.78370786516854	0.0550106980534006	0.013108614232209739	0.0950374531835206	0.032303370786516857	0.05102996254681648	48.78370786516854	0.0550106980534006	137886341	150.0	0.013108614232209739	0.0950374531835206	0.032303370786516857	0.05102996254681648	48.78370786516854	0.0550106980534006	14	COMPLETE
15	0.11095505617977527	2020-04-16 00:06:32.981698	2020-04-16 00:06:58.950813	128	76	512	0.9950489495900087	0.009831460674157303	0.11095505617977527	0.03277153558052434	0.060393258426966294	48.02949438202247	0.05459289198910838	0.009831460674157303	0.11095505617977527	0.03277153558052434	0.060393258426966294	48.02949438202247	0.05459289198910838	3990711319	150.0	0.009831460674157303	0.11095505617977527	0.03277153558052434	0.060393258426966294	48.02949438202247	0.05459289198910838	15	COMPLETE
16	0.10065543071161048	2020-04-16 00:06:58.976841	2020-04-16 00:07:42.460833	64	31	256	1.0219332780976769	0.006554307116104869	0.10065543071161048	0.024812734082397005	0.04353932584269663	49.29447565543071	0.048712938881716183	0.006554307116104869	0.10065543071161048	0.024812734082397005	0.04353932584269663	49.29447565543071	0.048712938881716183	1046077030	200.0	0.006554307116104869	0.10065543071161048	0.024812734082397005	0.04353932584269663	49.29447565543071	0.048712938881716183	16	COMPLETE
17	0.11470037453183521	2020-04-16 00:07:42.487701	2020-04-16 00:08:35.107061	64	24	128	0.9787005399796791	0.01451310861423221	0.11470037453183521	0.03651685393258427	0.05805243445692884	47.25187265917603	0.05950083397073861	0.01451310861423221	0.11470037453183521	0.03651685393258427	0.05805243445692884	47.25187265917603	0.05950083397073861	2975732581	150.0	0.01451310861423221	0.11470037453183521	0.03651685393258427	0.05805243445692884	47.25187265917603	0.05950083397073861	17	COMPLETE
18	0.10955056179775281	2020-04-16 00:08:35.133939	2020-04-16 00:09:07.888521	128	43	256	1.0003410371583765	0.011235955056179775	0.10955056179775281	0.03464419475655431	0.060861423220973786	48.29447565543071	0.056691885151645936	0.011235955056179775	0.10955056179775281	0.03464419475655431	0.060861423220973786	48.29447565543071	0.056691885151645936	201339046	150.0	0.011235955056179775	0.10955056179775281	0.03464419475655431	0.060861423220973786	48.29447565543071	0.056691885151645936	18	COMPLETE
19	0.10955056179775281	2020-04-16 00:09:07.915406	2020-04-16 00:09:43.767185	256	40	256	1.0010291106330949	0.012172284644194757	0.10955056179775281	0.0351123595505618	0.0552434456928839	48.33286516853933	0.056620821130327806	0.012172284644194757	0.10955056179775281	0.0351123595505618	0.0552434456928839	48.33286516853933	0.056620821130327806	2043981780	150.0	0.012172284644194757	0.10955056179775281	0.0351123595505618	0.0552434456928839	48.33286516853933	0.056620821130327806	19	COMPLETE
