number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.scoring_fct_norm	params_optimizer.lr	params_regularizer.weight	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
39	0.10627340823970037	2020-03-07 00:37:53.848797	2020-03-07 00:38:11.723822	256	2	0.001806507483155067	0.09176917138290934	512	0.012148671423179073	1.013564523370511	0.0	0.10627340823970037	0.02294007490636704	0.04073033707865169	48.89513108614232	0.04519460263509701	0.0	0.10627340823970037	0.02294007490636704	0.04073033707865169	48.89513108614232	0.04519460263509701	1138205699	150.0	0.0	0.10627340823970037	0.02294007490636704	0.04073033707865169	48.89513108614232	0.04519460263509701	39	COMPLETE
40	0.09316479400749064	2020-03-07 00:38:11.735751	2020-03-07 00:38:44.333814	256	2	0.01026160389865999	0.06747413349530625	256	0.057064189355939564	1.0147263995469427	0.0	0.09316479400749064	0.02200374531835206	0.042134831460674156	49.01498127340824	0.04328908756935522	0.0	0.09316479400749064	0.02200374531835206	0.042134831460674156	49.01498127340824	0.04328908756935522	2488267881	200.0	0.0	0.09316479400749064	0.02200374531835206	0.042134831460674156	49.01498127340824	0.04328908756935522	40	COMPLETE
41	0.09737827715355805	2020-03-07 00:38:44.345834	2020-03-07 00:39:06.020654	128	2	0.01235883763064014	0.11286988181915968	256	0.0011499517134870327	1.001392068400672	0.0	0.09737827715355805	0.02153558052434457	0.04119850187265917	48.36704119850187	0.04373291154091574	0.0	0.09737827715355805	0.02153558052434457	0.04119850187265917	48.36704119850187	0.04373291154091574	3262552263	150.0	0.0	0.09737827715355805	0.02153558052434457	0.04119850187265917	48.36704119850187	0.04373291154091574	41	COMPLETE
42	0.09269662921348315	2020-03-07 00:39:06.032635	2020-03-07 00:39:23.232843	128	2	0.015477184202618462	0.05159260060909629	512	0.44994188900622	0.9905213581603928	0.0	0.09269662921348315	0.020599250936329586	0.04353932584269663	47.79822097378277	0.04453052884582683	0.0	0.09269662921348315	0.020599250936329586	0.04353932584269663	47.79822097378277	0.04453052884582683	2076846462	150.0	0.0	0.09269662921348315	0.020599250936329586	0.04353932584269663	47.79822097378277	0.04453052884582683	42	COMPLETE
43	0.08754681647940075	2020-03-07 00:39:23.244848	2020-03-07 00:39:44.800503	128	2	0.021653752794184074	0.016981934296633364	256	0.009946452461089588	1.0250866626884634	0.0	0.08754681647940075	0.01638576779026217	0.03838951310861423	49.44733146067416	0.04163737022212464	0.0	0.08754681647940075	0.01638576779026217	0.03838951310861423	49.44709737827716	0.04163742198163753	1308508164	150.0	0.0	0.08754681647940075	0.01638576779026217	0.03838951310861423	49.447565543071164	0.04163731922378107	43	COMPLETE
44	0.10159176029962547	2020-03-07 00:39:44.812478	2020-03-07 00:40:15.545656	64	2	0.003330133494465964	0.15410512602296825	128	0.43848669969937887	1.0222806610386777	0.0	0.10159176029962547	0.021067415730337078	0.0449438202247191	49.3497191011236	0.044252149088532276	0.0	0.10159176029962547	0.021067415730337078	0.0449438202247191	49.3497191011236	0.044252149088532276	3637248525	150.0	0.0	0.10159176029962547	0.021067415730337078	0.0449438202247191	49.3497191011236	0.044252149088532276	44	COMPLETE
45	0.09597378277153558	2020-03-07 00:40:15.556445	2020-03-07 00:40:46.658146	128	2	0.0015604252007190835	0.18777206544664488	128	0.33215439178878275	1.0039813594058966	0.0	0.09597378277153558	0.018258426966292134	0.04307116104868914	48.42088014981273	0.044063186758111036	0.0	0.09597378277153558	0.018258426966292134	0.04307116104868914	48.42088014981273	0.044063186758111036	3433569637	150.0	0.0	0.09597378277153558	0.018258426966292134	0.04307116104868914	48.42088014981273	0.044063186758111036	45	COMPLETE
46	0.0997191011235955	2020-03-07 00:40:46.670187	2020-03-07 00:41:08.467642	64	1	0.004339666581224875	0.2162922438319056	256	0.6164373037497837	1.00390793912615	0.0	0.0997191011235955	0.02153558052434457	0.039794007490636704	48.45224719101124	0.044471342084105546	0.0	0.0997191011235955	0.02153558052434457	0.039794007490636704	48.45224719101124	0.044471342084105546	498937419	150.0	0.0	0.0997191011235955	0.02153558052434457	0.039794007490636704	48.45224719101124	0.044471342084105546	46	COMPLETE
47	0.09597378277153558	2020-03-07 00:41:08.479618	2020-03-07 00:41:39.364636	64	2	0.0819871498504493	0.010631062494608021	128	0.015238156147724358	1.027361315439633	0.009831460674157303	0.09597378277153558	0.02949438202247191	0.04962546816479401	49.58567415730337	0.05137687249272284	0.009831460674157303	0.09597378277153558	0.02949438202247191	0.04962546816479401	49.58567415730337	0.05137687249272284	726198056	150.0	0.009831460674157303	0.09597378277153558	0.02949438202247191	0.04962546816479401	49.58567415730337	0.05137687249272284	47	COMPLETE
48	0.08848314606741572	2020-03-07 00:41:39.376546	2020-03-07 00:42:10.323775	64	1	0.008999250145409698	0.04588119276163638	128	0.005115950811331253	1.0073100129048225	0.0	0.08848314606741572	0.01451310861423221	0.031835205992509365	48.55524344569288	0.0414694315351525	0.0	0.08848314606741572	0.01451310861423221	0.031835205992509365	48.55524344569288	0.0414694315351525	3522918804	150.0	0.0	0.08848314606741572	0.01451310861423221	0.031835205992509365	48.55524344569288	0.0414694315351525	48	COMPLETE
