number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
10	0.03198105671573662	2020-05-14 11:23:41.316099	2020-05-14 11:59:20.960960	0.8463902548166485	4.331491524821164	128	75	0.01169982891724346	256	0.1398546977387308	0.005819924683327628	0.03198105671573662	0.011982197877439232	0.018458290539769485	988.0000713226065	0.01858183573457411	0.005819924683327628	0.03198105671573662	0.011982197877439232	0.018458290539769485	987.9999714709575	0.01858183596723894	2068299390	250	0.005819924683327628	0.03198105671573662	0.011982197877439232	0.018458290539769485	988.0001711742553	0.018581835502586037	10	COMPLETE
11	0.02539084788314504	2020-05-14 11:59:20.995871	2020-05-14 12:31:36.400930	0.5563958482005466	29.849749593126784	64	71	0.010627843364736048	512	0.13632979969567688	0.0031096656396211344	0.02539084788314504	0.008301951386511469	0.01326600479287915	960.650989957777	0.014553355439888201	0.0031096656396211344	0.02539084788314504	0.008301951386511469	0.01326600479287915	960.6508615770855	0.014553355521170664	2925659991	350	0.0031096656396211344	0.02539084788314504	0.008301951386511469	0.01326600479287915	960.6511183384686	0.014553355358727517	11	COMPLETE
12	0.0009414584046559398	2020-05-14 12:31:36.439781	2020-05-14 13:02:46.484586	0.913049484975128	19.0907616951126	64	72	0.06484042360385725	128	0.863377731953416	0.00017117425539198904	0.0009414584046559398	0.0003138194682186466	0.0005991098938719617	6165.991854958347	0.0008804900496799859	0.00017117425539198904	0.0009414584046559398	0.0003138194682186466	0.0005991098938719617	6165.990014835103	0.0008804901627487482	1340439129	150	0.00017117425539198904	0.0009414584046559398	0.0003138194682186466	0.0005991098938719617	6165.993695081593	0.000880489936779254	12	COMPLETE
13	0.0013693940431359123	2020-05-14 13:02:46.518446	2020-05-14 13:35:08.961559	0.4446994405595606	29.00969180976425	256	80	0.08185146050266126	128	0.8618953293699259	0.00019970329795732054	0.0013693940431359123	0.0004279356384799726	0.0007702841492639507	6158.642074631975	0.001141057957722847	0.00019970329795732054	0.0013693940431359123	0.0004279356384799726	0.0007702841492639507	6158.640819354103	0.0011410580006675135	2105867325	150	0.00019970329795732054	0.0013693940431359123	0.0004279356384799726	0.0007702841492639507	6158.643329909848	0.0011410579147907332	13	COMPLETE
14	0.0921773365285861	2020-05-14 13:35:08.997629	2020-05-14 14:07:16.704052	0.16889744466540912	5.733848077401176	64	55	0.008032140215574388	512	0.06477544846857732	0.01115485564304462	0.0921773365285861	0.029955494693598084	0.04747232682871163	451.334930959717	0.0436952145911252	0.01115485564304462	0.0921773365285861	0.029955494693598084	0.04747232682871163	451.33490243067445	0.04369521459601629	592959301	350	0.01115485564304462	0.0921773365285861	0.029955494693598084	0.04747232682871163	451.3349594887596	0.043695214586236146	14	COMPLETE
15	0.018058883943854843	2020-05-14 14:07:16.745184	2020-05-14 14:48:15.013749	0.8872787909018747	21.4408676217884	256	9	0.007335032453771449	512	0.18900459590918156	0.00396553691658108	0.018058883943854843	0.007103731598767545	0.010441629578911331	1333.836799612005	0.012098514742233406	0.00396553691658108	0.018058883943854843	0.007103731598767545	0.010441629578911331	1333.8365285861007	0.012098515285315855	827620804	450	0.00396553691658108	0.018058883943854843	0.007103731598767545	0.010441629578911331	1333.8370706379094	0.012098514201179938	15	COMPLETE
16	0.00907223553577542	2020-05-14 14:48:15.048844	2020-05-14 15:16:48.199267	0.625368768036364	26.798889626971892	256	55	0.01244946672136942	512	0.2903643117216957	0.0026246719160104987	0.00907223553577542	0.004507588725322378	0.006105215108980943	2061.0920632203583	0.006667371379565073	0.0026246719160104987	0.00907223553577542	0.004507588725322378	0.006105215108980943	2061.0919205751457	0.006667371413213666	2884373414	300	0.0026246719160104987	0.00907223553577542	0.004507588725322378	0.006105215108980943	2061.092205865571	0.006667371345943501	16	COMPLETE
17	0.00795960287572749	2020-05-14 15:16:48.238804	2020-05-14 15:38:27.530201	0.5662209774768053	23.46819186807551	64	68	0.020810760148273152	512	0.24607701976280516	0.0012267488303092549	0.00795960287572749	0.0025961428734451674	0.003994065959146411	1743.5193997489444	0.005515442426135606	0.0012267488303092549	0.00795960287572749	0.0025961428734451674	0.003994065959146411	1743.5192000456464	0.0055154424722711265	1067403550	250	0.0012267488303092549	0.00795960287572749	0.0025961428734451674	0.003994065959146411	1743.5195994522423	0.005515442380030133	17	COMPLETE
18	0.0022823234052265205	2020-05-14 15:38:27.567453	2020-05-14 16:10:52.884708	0.9212827295426588	28.731268727064805	256	91	0.0062669626267636775	128	0.3658694527019128	0.0003138194682186466	0.0022823234052265205	0.0007702841492639507	0.0011126326600479288	2606.2512695423943	0.002156518020104472	0.0003138194682186466	0.0022823234052265205	0.0007702841492639507	0.0011126326600479288	2606.2507702841494	0.002156518077172063	2622096182	150	0.0003138194682186466	0.0022823234052265205	0.0007702841492639507	0.0011126326600479288	2606.251768800639	0.0021565179630712154	18	COMPLETE
19	0.012181901175396553	2020-05-14 16:10:52.926610	2020-05-14 16:58:47.002412	0.9852719276126658	3.284140482549362	256	68	0.015204490073833165	128	0.3011375727197479	0.003908478831450416	0.012181901175396553	0.006476092662330252	0.00813077713111948	2146.9775191144586	0.00867329460921447	0.003908478831450416	0.012181901175396553	0.006476092662330252	0.00813077713111948	2146.9773194111604	0.008673294626912536	1705085246	200	0.003908478831450416	0.012181901175396553	0.006476092662330252	0.00813077713111948	2146.9777188177563	0.00867329459152449	19	COMPLETE
20	0.24977176765947734	2020-05-14 16:58:47.039137	2020-05-14 21:20:14.634996	0.10031956342551944	24.08153402372489	64	89	0.0011355767628328628	128	0.06737012955385434	0.04604587470044505	0.24977176765947734	0.11229031153714482	0.16284377496291225	471.87559910989387	0.11191086468845862	0.04604587470044505	0.24977176765947734	0.11229031153714482	0.16284377496291225	471.8753851420746	0.11191086705787279	3456853321	900	0.04604587470044505	0.24977176765947734	0.11229031153714482	0.16284377496291225	471.87581307771313	0.11191086233632032	20	COMPLETE
21	0.002367910532922515	2020-05-14 21:20:14.674381	2020-05-14 21:36:07.597376	0.6652252953948219	20.379087295911987	256	21	0.019667821933303416	512	0.49534772071401134	0.0010555745749172658	0.002367910532922515	0.0012838069154399178	0.001683213511354559	3529.2609836813876	0.0023811674453183486	0.0010555745749172658	0.002367910532922515	0.0012838069154399178	0.001683213511354559	3529.260698390962	0.0023811674724127036	1991647777	200	0.0010555745749172658	0.002367910532922515	0.0012838069154399178	0.001683213511354559	3529.2612689718135	0.0023811674182381013	21	COMPLETE
22	0.14586899463654	2020-05-14 21:36:07.633358	2020-05-14 22:29:03.242125	0.978504065153041	19.985088316078635	256	87	0.0017915589100235736	512	0.10685587589899154	0.017459774049982883	0.14586899463654	0.05149492183042337	0.08079424854501883	751.1112347369623	0.06170458671498679	0.017459774049982883	0.14586899463654	0.05149492183042337	0.08079424854501883	751.1110920917494	0.061704586880889645	3239052582	500	0.017459774049982883	0.14586899463654	0.05149492183042337	0.08079424854501883	751.1113773821751	0.06170458654956253	22	COMPLETE
23	0.04841378523336757	2020-05-14 22:29:03.282550	2020-05-14 23:15:06.892550	0.956549487363654	15.281102365823966	256	12	0.004507466915766671	512	0.10352955586943052	0.008444596599338126	0.04841378523336757	0.019342690859294763	0.028044048841720872	726.5954153828598	0.027755138900967608	0.008444596599338126	0.04841378523336757	0.019342690859294763	0.028044048841720872	726.5952870021682	0.02775514494598822	3575453672	500	0.008444596599338126	0.04841378523336757	0.019342690859294763	0.028044048841720872	726.5955437635513	0.02775513296834855	23	COMPLETE
