number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_optimizer.lr	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
29	0.8398876404494382	2020-03-17 02:08:50.516393	2020-03-17 02:09:26.238004	128	0.023288714680832125	128	0.051332164208465675	0.13157151479706558	0.21207865168539325	0.8398876404494382	0.4943820224719101	0.6573033707865169	6.34878277153558	0.40424985370825056	0.21207865168539325	0.8398876404494382	0.4943820224719101	0.6573033707865169	6.34878277153558	0.40424985370825056	313186797	300	0.21207865168539325	0.8398876404494382	0.4943820224719101	0.6573033707865169	6.34878277153558	0.40424985370825056	29	COMPLETE
30	0.8586142322097379	2020-03-17 02:09:26.263799	2020-03-17 02:09:46.464238	64	0.006858948286425145	256	0.06507570248742828	0.12953260004928524	0.2397003745318352	0.8586142322097379	0.5201310861423221	0.6882022471910112	6.26310861423221	0.4300844421053932	0.2397003745318352	0.8586142322097379	0.5201310861423221	0.6882022471910112	6.26310861423221	0.4300844421053932	1810575277	250	0.2397003745318352	0.8586142322097379	0.5201310861423221	0.6882022471910112	6.26310861423221	0.4300844421053932	30	COMPLETE
31	0.7893258426966292	2020-03-17 02:09:46.491119	2020-03-17 02:10:09.513050	256	0.021038750972962185	512	0.006058901976177213	0.15868258881487288	0.16900749063670412	0.7893258426966292	0.41760299625468167	0.5800561797752809	7.654494382022472	0.3537587021904121	0.16900749063670412	0.7893258426966292	0.41760299625468167	0.5800561797752809	7.654494382022472	0.3537587021904121	3035524761	300	0.16900749063670412	0.7893258426966292	0.41760299625468167	0.5800561797752809	7.654494382022472	0.3537587021904121	31	COMPLETE
32	0.8239700374531835	2020-03-17 02:10:09.539516	2020-03-17 02:10:30.977706	128	0.03346349353244392	512	0.08274286012894859	0.14258200922555356	0.19288389513108614	0.8239700374531835	0.4639513108614232	0.6282771535580525	6.859550561797753	0.38384700479410366	0.19288389513108614	0.8239700374531835	0.4639513108614232	0.6282771535580525	6.859550561797753	0.38384700479410366	777323567	300	0.19288389513108614	0.8239700374531835	0.4639513108614232	0.6282771535580525	6.859550561797753	0.38384700479410366	32	COMPLETE
33	0.773876404494382	2020-03-17 02:10:31.003409	2020-03-17 02:10:53.599896	256	0.015115843324022894	256	0.10392753836953349	0.16990037127537477	0.1760299625468165	0.773876404494382	0.44756554307116103	0.5950374531835206	8.198501872659175	0.36333117733147924	0.1760299625468165	0.773876404494382	0.44756554307116103	0.5950374531835206	8.198501872659175	0.36333117733147924	2928705758	250	0.1760299625468165	0.773876404494382	0.44756554307116103	0.5950374531835206	8.198501872659175	0.36333117733147924	33	COMPLETE
34	0.8389513108614233	2020-03-17 02:10:53.641809	2020-03-17 02:11:35.529191	64	0.0028403547005825215	512	0.308696271026234	0.1349156461281123	0.2542134831460674	0.8389513108614233	0.5323033707865169	0.6811797752808989	6.535112359550562	0.4383844344755942	0.2542134831460674	0.8389513108614233	0.5323033707865169	0.6811797752808989	6.535112359550562	0.4383844344755942	4229283319	550	0.2542134831460674	0.8389513108614233	0.5323033707865169	0.6811797752808989	6.535112359550562	0.4383844344755942	34	COMPLETE
35	0.7471910112359551	2020-03-17 02:11:35.555065	2020-03-17 02:12:04.772400	128	0.0010521340645083214	128	0.004870821252838274	0.18845349973353664	0.1896067415730337	0.7471910112359551	0.42790262172284643	0.5655430711610487	9.09129213483146	0.3615138202077466	0.1896067415730337	0.7471910112359551	0.42790262172284643	0.5655430711610487	9.09129213483146	0.3615138202077466	1026456697	250	0.1896067415730337	0.7471910112359551	0.42790262172284643	0.5655430711610487	9.09129213483146	0.3615138202077466	35	COMPLETE
36	0.8380149812734082	2020-03-17 02:12:04.798650	2020-03-17 02:12:30.727839	256	0.07882362706508263	256	0.06441506923739365	0.13453125145045644	0.27247191011235955	0.8380149812734082	0.5650749063670412	0.6863295880149812	6.499063670411985	0.46182531197665877	0.3150749063670412	0.8380149812734082	0.5702247191011236	0.6867977528089888	6.450374531835206	0.4811220126859851	2707074001	300	0.27247191011235955	0.8375468164794008	0.5566479400749064	0.6816479400749064	6.547752808988764	0.4551678482486746	36	COMPLETE
37	0.7808988764044944	2020-03-17 02:12:30.755091	2020-03-17 02:12:55.246738	128	0.017430679272034295	512	0.12663332566607713	0.17069499385421083	0.17275280898876405	0.7808988764044944	0.44147940074906367	0.5908239700374532	8.244850187265918	0.36065635377596933	0.17275280898876405	0.7808988764044944	0.44147940074906367	0.5908239700374532	8.244850187265918	0.36065635377596933	1353673866	350	0.17275280898876405	0.7808988764044944	0.44147940074906367	0.5908239700374532	8.244850187265918	0.36065635377596933	37	COMPLETE
38	0.7673220973782772	2020-03-17 02:12:55.294338	2020-03-17 02:13:18.622572	256	0.054540022475111576	128	0.39338590947432717	0.17199960775840817	0.1797752808988764	0.7673220973782772	0.4190074906367041	0.579119850187266	8.260533707865168	0.35614738829963616	0.1802434456928839	0.7673220973782772	0.41947565543071164	0.5795880149812734	8.258426966292134	0.35653043222200603	638908421	200	0.1797752808988764	0.7673220973782772	0.4190074906367041	0.579119850187266	8.262640449438202	0.3561090839073992	38	COMPLETE
