number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.relation_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
10	0.046348314606741575	2020-03-12 12:43:22.246818	2020-03-12 12:46:52.570332	256	128	58	0.031228548341777903	128	1.2041567179813897	0.0	0.046348314606741575	0.004213483146067416	0.011704119850187267	57.94850187265918	0.028958601578334485	0.0	0.046348314606741575	0.004213483146067416	0.011704119850187267	57.94850187265918	0.028958601578334485	1982292080	150	0.0	0.046348314606741575	0.004213483146067416	0.011704119850187267	57.94850187265918	0.028958601578334485	10	COMPLETE
11	0.04588014981273408	2020-03-12 12:46:52.582185	2020-03-12 12:51:19.677707	256	256	77	0.033740767794715326	256	1.228473978003745	0.0	0.04588014981273408	0.010299625468164793	0.01638576779026217	59.258426966292134	0.030671491211609954	0.0	0.04588014981273408	0.010299625468164793	0.01638576779026217	59.258426966292134	0.030671491211609954	3355208541	250	0.0	0.04588014981273408	0.010299625468164793	0.01638576779026217	59.258426966292134	0.030671491211609954	11	COMPLETE
12	0.042134831460674156	2020-03-12 12:51:19.689725	2020-03-12 12:54:50.497177	128	64	80	0.03709317401096869	128	1.2705279651310728	0.0	0.042134831460674156	0.009831460674157303	0.017790262172284643	61.28277153558052	0.028169444985028692	0.0	0.042134831460674156	0.009831460674157303	0.017790262172284643	61.28277153558052	0.028169444985028692	3064799467	150	0.0	0.042134831460674156	0.009831460674157303	0.017790262172284643	61.28277153558052	0.028169444985028692	12	COMPLETE
13	0.040262172284644196	2020-03-12 12:54:50.509822	2020-03-12 13:07:16.456831	256	256	75	0.023778496610333107	128	1.284864841274959	0.0	0.040262172284644196	0.00749063670411985	0.0149812734082397	61.94803370786517	0.02760184674373514	0.0	0.040262172284644196	0.00749063670411985	0.0149812734082397	61.94803370786517	0.02760184674373514	84170541	400	0.0	0.040262172284644196	0.00749063670411985	0.0149812734082397	61.94803370786517	0.02760184674373514	13	COMPLETE
14	0.10627340823970037	2020-03-12 13:07:16.468540	2020-03-12 13:12:01.974015	128	256	51	0.0028332349869100502	256	0.9025689447630015	0.0	0.10627340823970037	0.0149812734082397	0.0351123595505618	43.22003745318352	0.0468104996212227	0.0	0.10627340823970037	0.0149812734082397	0.0351123595505618	43.22003745318352	0.0468104996212227	236873323	300	0.0	0.10627340823970037	0.0149812734082397	0.0351123595505618	43.22003745318352	0.0468104996212227	14	COMPLETE
15	0.23595505617977527	2020-03-12 13:12:01.984343	2020-03-12 13:13:36.424097	256	256	22	0.001967961026887558	512	0.6922418097878217	0.0	0.23595505617977527	0.06132958801498127	0.11235955056179775	33.02902621722846	0.07989017316757309	0.0	0.23595505617977527	0.06132958801498127	0.11235955056179775	33.02902621722846	0.07989017316757309	752465938	200	0.0	0.23595505617977527	0.06132958801498127	0.11235955056179775	33.02902621722846	0.07989017316757309	15	COMPLETE
16	0.09691011235955056	2020-03-12 13:13:36.436239	2020-03-12 13:16:22.525231	128	64	78	0.013791303913376329	256	1.0324311801162636	0.0	0.09691011235955056	0.02294007490636704	0.04541198501872659	49.602059925093634	0.04514629121407836	0.0	0.09691011235955056	0.02294007490636704	0.04541198501872659	49.602059925093634	0.04514629121407836	3123213624	200	0.0	0.09691011235955056	0.02294007490636704	0.04541198501872659	49.602059925093634	0.04514629121407836	16	COMPLETE
17	0.38108614232209737	2020-03-12 13:16:22.536660	2020-03-12 13:20:25.517446	64	256	2	0.0071172216304428906	256	0.5409227770714836	0.06554307116104868	0.38108614232209737	0.17649812734082396	0.25608614232209737	26.100187265917604	0.17059475126244902	0.06554307116104868	0.38108614232209737	0.17649812734082396	0.25608614232209737	26.100187265917604	0.17059475126244902	409690252	300	0.06554307116104868	0.38108614232209737	0.17649812734082396	0.25608614232209737	26.100187265917604	0.17059475126244902	17	COMPLETE
18	0.10205992509363296	2020-03-12 13:20:25.535417	2020-03-12 13:23:30.388339	128	64	52	0.0067559891815780326	512	0.8986554637425737	0.0	0.10205992509363296	0.019194756554307114	0.040262172284644196	43.079588014981276	0.04797175598240904	0.0	0.10205992509363296	0.019194756554307114	0.040262172284644196	43.079588014981276	0.04797175598240904	2997313446	350	0.0	0.10205992509363296	0.019194756554307114	0.040262172284644196	43.079588014981276	0.04797175598240904	18	COMPLETE
19	0.09550561797752809	2020-03-12 13:23:30.400351	2020-03-12 13:26:16.222425	256	64	48	0.04577273916852265	256	1.0082468151617168	0.0	0.09550561797752809	0.017790262172284643	0.03604868913857678	48.45692883895131	0.04307693571602184	0.0	0.09550561797752809	0.017790262172284643	0.03604868913857678	48.45692883895131	0.04307693571602184	1692538367	200	0.0	0.09550561797752809	0.017790262172284643	0.03604868913857678	48.45692883895131	0.04307693571602184	19	COMPLETE
20	0.08614232209737828	2020-03-12 13:26:16.233396	2020-03-12 13:31:28.148330	64	256	67	0.0028178035658772264	128	1.00971413870806	0.0	0.08614232209737828	0.015917602996254682	0.03136704119850187	48.625	0.042270433453448074	0.0	0.08614232209737828	0.015917602996254682	0.03136704119850187	48.625	0.042270433453448074	904260766	200	0.0	0.08614232209737828	0.015917602996254682	0.03136704119850187	48.625	0.042270433453448074	20	COMPLETE
21	0.07911985018726592	2020-03-12 13:31:28.160340	2020-03-12 13:32:36.037037	128	64	94	0.006350427484747762	512	1.0578637365740113	0.0	0.07911985018726592	0.01544943820224719	0.030430711610486893	50.93398876404494	0.03905176369589494	0.0	0.07911985018726592	0.01544943820224719	0.030430711610486893	50.93398876404494	0.03905176369589494	1782749932	150	0.0	0.07911985018726592	0.01544943820224719	0.030430711610486893	50.93398876404494	0.03905176369589494	21	COMPLETE
22	0.07584269662921349	2020-03-12 13:32:36.049123	2020-03-12 13:38:03.704889	128	64	59	0.052265018377580894	256	1.0876998785352998	0.0	0.07584269662921349	0.011704119850187267	0.026685393258426966	52.4190074906367	0.038098967724136394	0.0	0.07584269662921349	0.011704119850187267	0.026685393258426966	52.4190074906367	0.038098967724136394	3379080085	350	0.0	0.07584269662921349	0.011704119850187267	0.026685393258426966	52.4190074906367	0.038098967724136394	22	COMPLETE
23	0.0599250936329588	2020-03-12 13:38:03.716901	2020-03-12 13:44:56.062486	64	256	38	0.07870082476574078	128	1.1029022950748826	0.0	0.0599250936329588	0.010767790262172285	0.021067415730337078	53.19522471910113	0.03450745926280349	0.0	0.0599250936329588	0.010767790262172285	0.021067415730337078	53.19522471910113	0.03450745926280349	1449965491	250	0.0	0.0599250936329588	0.010767790262172285	0.021067415730337078	53.19522471910113	0.03450745926280349	23	COMPLETE
