number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
10	TrialState.COMPLETE	0.01504957507082153	2020-01-17 00:56:59.611696	2020-01-17 01:32:01.115510	9.936206519059954	250.0	50.0	1.0	0.012649346494025243	600.0	0.8161073845390795	0.00483947119924457	0.01504957507082153	0.008882200188857412	0.011626534466477809	16544.294529036826	0.008393446715342052	0.00483947119924457	0.01504957507082153	0.008882200188857412	0.011626534466477809	16544.282282813976	0.00839344758244354	0.00483947119924457	0.01504957507082153	0.008882200188857412	0.011626534466477809	16544.30677525968	0.008393445851338457	10			0.015315155807365439	0.015155807365439094						
11	TrialState.COMPLETE	0.019020639417239985	2020-01-17 01:32:01.116487	2020-01-17 02:29:13.961963	8.658910837281534	350.0	150.0	26.0	0.015489530022408899	800.0	0.7720763673693856	0.005159854309995953	0.019020639417239985	0.011078510724403075	0.01504957507082153	15651.364945872117	0.010215656966781214	0.005159854309995953	0.019020639417239985	0.011078510724403075	0.01504957507082153	15651.337236948604	0.010215673649147598	0.005159854309995953	0.019020639417239985	0.011078510724403075	0.01504957507082153	15651.392654795629	0.010215640667294627	11				0.018271954674220964	0.018708687440982058					
12	TrialState.COMPLETE	0.0010623229461756375	2020-01-17 02:29:13.962857	2020-01-17 02:46:56.340344	4.092727178866397	50.0	250.0	11.0	0.0032370899943967024	500.0	0.9568151583088605	0.000708215297450425	0.0010623229461756375	0.0009295325779036828	0.0009737960339943342	19397.57766023371	0.0011157460422872147	0.000708215297450425	0.0010623229461756375	0.0009295325779036828	0.0009737960339943342	19397.570290368272	0.0011157461852928786	0.000708215297450425	0.0010623229461756375	0.0009295325779036828	0.0009737960339943342	19397.58503009915	0.0011157458994522959	12	0.0010623229461756375	0.0010623229461756375								
13	TrialState.COMPLETE	0.017047753945770943	2020-01-17 02:46:56.341995	2020-01-17 03:37:31.849381	4.847818449233693	250.0	50.0	26.0	0.009149302644666268	800.0	0.8207527997409105	0.0059692432213678676	0.017047753945770943	0.009434439498178874	0.01188789963577499	16638.212123128287	0.009468195722425628	0.0059692432213678676	0.017047753945770943	0.009434439498178874	0.01188789963577499	16638.20282780251	0.009468195974337784	0.0059692432213678676	0.017047753945770943	0.009434439498178874	0.01188789963577499	16638.221418454068	0.009468195470735121	13				0.01565155807365439	0.01646600566572238					
14	TrialState.COMPLETE	0.020907105760151087	2020-01-17 03:37:31.850403	2020-01-17 05:18:14.271217	2.941632515849083	250.0	250.0	21.0	0.0016531363658558818	1000.0	0.9003809047179082	0.0009590415486307838	0.020907105760151087	0.011567516525023608	0.015743035882908405	18253.093403269595	0.008217156305513834	0.0009590415486307838	0.020907105760151087	0.011567516525023608	0.015743035882908405	18253.08060375354	0.008217157149924603	0.0009590415486307838	0.020907105760151087	0.011567516525023608	0.015743035882908405	18253.106202785646	0.008217155463768142	14									0.019564447592067987	0.020296806592840586
15	TrialState.COMPLETE	0.020462363415621205	2020-01-17 05:18:14.272334	2020-01-17 06:15:37.870803	5.445265406820384	350.0	250.0	21.0	0.039441670207055385	500.0	0.7170033336297191	0.005058680696074464	0.020462363415621205	0.010395588830433023	0.014214892755969244	14534.636280857952	0.01031662822668525	0.005058680696074464	0.020462363415621205	0.010395588830433023	0.014214892755969244	14534.617209631728	0.010316631509512305	0.005058680696074464	0.020462363415621205	0.010395588830433023	0.014214892755969244	14534.655352084177	0.01031662496362845	15				0.01951133144475921	0.020066100094428708					
16	TrialState.COMPLETE	0.017262747875354107	2020-01-17 06:15:37.871695	2020-01-17 07:27:26.336605	1.4440377749794946	50.0	250.0	31.0	0.014310313322360671	700.0	0.8193375054828955	0.0019475920679886685	0.017262747875354107	0.009330736543909349	0.012553116147308781	16609.35684313031	0.0074679556201935355	0.0019475920679886685	0.017262747875354107	0.009330736543909349	0.012553116147308781	16609.350743626062	0.00746795609230064	0.0019475920679886685	0.017262747875354107	0.009330736543909349	0.012553116147308781	16609.36294263456	0.007467955149213128	16							0.015691395184135978	0.016564368901479384		
17	TrialState.COMPLETE	0.01673158640226629	2020-01-17 07:27:26.337623	2020-01-17 08:13:24.473303	9.053947598443482	350.0	150.0	26.0	0.01812269108693022	500.0	0.7711737927289668	0.006108356940509915	0.01673158640226629	0.010623229461756374	0.013721671388101982	15633.17028151558	0.010082335918790365	0.006108356940509915	0.01673158640226629	0.010623229461756374	0.013721671388101982	15633.142616855524	0.010082338572761581	0.006108356940509915	0.01673158640226629	0.010623229461756374	0.013721671388101982	15633.197946175638	0.01008233328968262	17			0.015802053824362606	0.016359773371104815						
18	TrialState.COMPLETE	0.013869216241737488	2020-01-17 08:13:24.474330	2020-01-17 08:54:00.650069	9.862681906458594	250.0	450.0	11.0	0.029362050435939542	500.0	0.7656152539091567	0.002154154863078376	0.013869216241737488	0.006728045325779037	0.010092067988668555	15519.953006964117	0.006467560910318554	0.002154154863078376	0.013869216241737488	0.006728045325779037	0.010092067988668555	15519.912535410765	0.006467578847867542	0.002154154863078376	0.013869216241737488	0.006728045325779037	0.010092067988668555	15519.99347851747	0.006467543358887636	18			0.013013456090651559	0.013526912181303117						
19	TrialState.COMPLETE	0.012747875354107648	2020-01-17 08:54:00.651212	2020-01-17 09:26:05.126294	7.573143150567979	250.0	450.0	41.0	0.028839303108651376	800.0	0.7468244965780938	0.0017705382436260624	0.012747875354107648	0.006834277620396601	0.009313031161473088	15139.245910056658	0.006074866532625781	0.0017705382436260624	0.012747875354107648	0.006834277620396601	0.009313031161473088	15139.217351274787	0.00607487224539313	0.0017705382436260624	0.012747875354107648	0.006834277620396601	0.009313031161473088	15139.274468838526	0.006074860869432069	19		0.01251180358829084	0.012659348441926345							
20	TrialState.COMPLETE	0.01682011331444759	2020-01-17 09:26:05.127301	2020-01-17 10:07:35.099135	3.468925364115224	250.0	350.0	36.0	0.025717305633307156	600.0	0.7207051015519703	0.0022426817752596788	0.01682011331444759	0.00967894239848914	0.012364258734655336	14609.609079910293	0.008055276895416134	0.0022426817752596788	0.01682011331444759	0.00967894239848914	0.012364258734655336	14609.597320585459	0.008055280061171769	0.0022426817752596788	0.01682011331444759	0.00967894239848914	0.012364258734655336	14609.620839235127	0.008055273752203534	20			0.016111898016997167	0.01653682719546742						
21	TrialState.COMPLETE	0.02535804217815549	2020-01-17 10:07:35.100182	2020-01-17 11:37:14.145002	4.469094725393106	450.0	350.0	41.0	0.0023791110493175064	1000.0	0.8472119373636589	0.0036984576644633303	0.02535804217815549	0.013692162417374882	0.01849228832231665	17174.58117917847	0.011302876240190572	0.0036984576644633303	0.02535804217815549	0.013692162417374882	0.01849228832231665	17174.56859852062	0.01130287651835023	0.0036984576644633303	0.02535804217815549	0.013692162417374882	0.01849228832231665	17174.593759836323	0.011302875962189214	21						0.0243069607446378	0.0248981940509915			
22	TrialState.COMPLETE	0.012697288547146903	2020-01-17 11:37:14.146061	2020-01-17 12:23:32.712617	5.0052151419217985	150.0	450.0	21.0	0.004712927784785946	1000.0	0.8743055529510914	0.0010117361392148927	0.012697288547146903	0.007891541885876164	0.009662080129502227	17724.039432416026	0.005823598900159966	0.0010117361392148927	0.012697288547146903	0.007891541885876164	0.009662080129502227	17724.028834479966	0.005823599999243831	0.0010117361392148927	0.012697288547146903	0.007891541885876164	0.009662080129502227	17724.050030352086	0.005823597805418278	22				0.011473087818696884	0.012187204910292728					
23	TrialState.COMPLETE	0.002478753541076487	2020-01-17 12:23:32.713689	2020-01-17 12:46:28.514424	6.574606147337452	350.0	150.0	21.0	0.0010433942802579674	700.0	0.9525150283705549	0.000708215297450425	0.002478753541076487	0.0010623229461756375	0.00141643059490085	19310.458348087817	0.0014342877255452198	0.000708215297450425	0.002478753541076487	0.0010623229461756375	0.00141643059490085	19310.44462641643	0.00143429181742735	0.000708215297450425	0.002478753541076487	0.0010623229461756375	0.00141643059490085	19310.472069759206	0.001434283669452748	23	0.000708215297450425	0.0018885741265344666								
24	TrialState.COMPLETE	0.00141643059490085	2020-01-17 12:46:28.515480	2020-01-17 13:05:00.324706	6.83084946348464	150.0	350.0	11.0	0.0017221196149562093	600.0	0.9665174626938391	0.000708215297450425	0.00141643059490085	0.0009295325779036828	0.001106586402266289	19594.215408109067	0.0011851741124743697	0.000708215297450425	0.00141643059490085	0.0009295325779036828	0.001106586402266289	19594.20166430595	0.0011851742310199304	0.000708215297450425	0.00141643059490085	0.0009295325779036828	0.001106586402266289	19594.229151912183	0.001185173993956159	24	0.0012393767705382436	0.0013574126534466478								
25	TrialState.COMPLETE	0.018081621813031162	2020-01-17 13:05:00.325588	2020-01-17 14:12:30.895313	2.2957421883031275	350.0	50.0	36.0	0.00999720991141692	900.0	0.8038071346184936	0.006506728045325779	0.018081621813031162	0.010999468838526913	0.014009383852691218	16294.573997432719	0.01051065402964605	0.006506728045325779	0.018081621813031162	0.010999468838526913	0.014009383852691218	16294.568209985835	0.010510654591100647	0.006506728045325779	0.018081621813031162	0.010999468838526913	0.014009383852691218	16294.579784879603	0.01051065347005663	25					0.01679060434372049	0.017528328611898018				
26	TrialState.COMPLETE	0.021777620396600566	2020-01-17 14:12:30.896354	2020-01-17 15:22:00.128761	3.4508834138680085	350.0	50.0	6.0	0.020053947456236416	600.0	0.7897683580609715	0.006078847969782814	0.021777620396600566	0.012079005350960025	0.01646600566572238	16010.107992996538	0.011375242501095612	0.006078847969782814	0.021777620396600566	0.012079005350960025	0.01646600566572238	16010.097832074283	0.011375242889991527	0.006078847969782814	0.021777620396600566	0.012079005350960025	0.01646600566572238	16010.118153918791	0.01137524211277321	26						0.020209429380817483	0.021091536827195466			
27	TrialState.COMPLETE	0.003673866855524079	2020-01-17 15:22:00.129911	2020-01-17 15:42:49.362804	2.2463926754091466	250.0	150.0	21.0	0.0012073469117658132	500.0	0.9654545500488521	0.000708215297450425	0.003673866855524079	0.002478753541076487	0.002921388101983003	19572.88801345609	0.00211519627970104	0.000708215297450425	0.003673866855524079	0.002478753541076487	0.002921388101983003	19572.876283640227	0.0021151966257229107	0.000708215297450425	0.003673866855524079	0.002478753541076487	0.002921388101983003	19572.899743271955	0.0021151959340517134	27	0.0011508498583569404	0.0028328611898017								
